Herr Präsident!	Mr President.
Ich komme auf den gleichen Punkt zu sprechen.	I wish to speak on the same point.
Ich bin nicht der Ansicht, daß die Aussprache heute und damit auch die Abstimmung morgen überflüssig geworden wäre, ganz im Gegenteil.	I do not take the view that the debate here and hence the vote tomorrow are irrelevant. Quite the contrary.
Was ich aber für den Ausschuß für Landwirtschaft und ländliche Entwicklung gerne geklärt haben möchte - und weil der Rat nicht anwesend ist, erführe ich es gerne von Herrn Kommissar Byrne vor dieser Aussprache -, ist, wie denn diese Meldungen und die Schlußfolgerung des Rates, die uns vorliegt, zu verstehen sind.	What I would like clarified for the Committee on Agriculture and Rural Development, and because the Council is not here I would be happy to hear it from Commissioner Byrne before the debate, is this: how are we to interpret these announcements and the Council conclusions before us.
Offenbar wurde nämlich ein Beschluß gefaßt, daß der Rat, wenn wir auf die Vorlage der Verordnung der Kommission mit Änderungsanträgen reagieren, diesem vereinfachten Verfahren - nämlich der Annahme dieses unter Mitentscheidung laufenden Verschiebungsverfahrens - nicht zustimmen könnte.	Obviously the Council has decided that, if we react to the regulation presented by the Commission with proposed amendments, it may not agree to the simplified procedure, i.e. to accept this postponement under the codecision procedure.
Dann würde er einer anderen Vorlage der Kommission zustimmen, die nach dem alten 820 verfaßt ist und nach Artikel 19 eine Ausführungsbestimmung vorsieht, die besagt, daß im Rahmen dieser Ausführungsbestimmung eine Verschiebung um ein Jahr stattfindet.	It would then approve another proposal from the Commission, drafted in accordance with the old Regulation 820, article 19 of which establishes implementing provisions which allow a postponement of one year.
Der Rat soll beschlossen haben, wenn die Kommission diesen förmlichen Vorschlag macht, diesem Vorschlag zuzustimmen.	The Council has apparently decided, should the Commission make this formal proposal, to agree to it.
Wir haben es hier also offensichtlich mit einer zweigleisigen Vorgehensweise der Kommission zu tun, und es interessiert uns natürlich, Herr Kommissar Byrne, wenn wir uns mitten in einem Mitentscheidungsverfahren befinden, ob die Kommission mittels einer zweigleisigen Verfahrensweise diese Mitentscheidung umgeht, indem sie dem Rat eine andere Vorgehensweise ankündigt.	So, obviously what we have here is a twin-track approach by the Commission and we are naturally curious to know, Commissioner Byrne, now that we are in the middle of a codecision procedure, if the Commission is using a twin-track approach to circumvent this codecision by announcing a different approach to the Council.
Ich hätte gerne von Ihnen gewußt, ob Sie denn dieses Verhalten des Rates billigen, das beinhaltet, daß nur dann einem vereinfachten Verfahren in der Mitentscheidung zugestimmt werden kann, wenn das Parlament von seinem Recht, nämlich diese Vorlage der Kommission an den Rat zu verändern nicht, Gebrauch macht, um dann feststellen zu müssen: Wenn wir davon Gebrauch machen, dann sind wir aus diesem Mitentscheidungsverfahren jedenfalls praktisch raus!	I would be most obliged if you could tell me if you condone this approach by the Council, whereby a simplified codecision procedure can only be approved if Parliament does not exercise its right to amend the text presented by the Commission to the Council, in which case we must conclude that, if we exercise that right we are, to all intents and purposes, out of the codecision procedure!
Dieses hätten wir gerne vor der Diskussion geklärt durch den Kommissar.	We would like this point cleared up by the Commissioner before the debate.
Es tut mir leid, Herr Kommissar, daß ich Sie nun fragen muß; der Rat ist nicht anwesend, aber wir möchten das gerne vor der Diskussion und vor der Abstimmung morgen geklärt wissen.	I am sorry, Commissioner, but I must put this question to you; the Council is not here and we would like this cleared up before the debate and before tomorrow' s vote.
Um es nochmals zu sagen, ich halte diese Diskussion und auch die Abstimmung morgen, also die Verabschiedung für dringend geboten.	I repeat that I consider that this debate and tomorrow' s vote, i.e. the postponement, are urgently needed.
Da unterscheide ich mich von meinem Vorredner, aber geklärt werden muß es, da habe ich die gleiche Ansicht wie er.	I disagree in this respect with the previous speaker, but I share his view that this needs to be clarified.
