Herr Präsident, neun Millionen Arbeitsplätze heute, zwölf Millionen in zehn Jahren.	Mr President, nine million jobs today, twelve million in ten years.
Der Tourismus ist eine sprudelnde Quelle für Jobs in Europa, doch noch fehlen aussagefähige Statistiken, um die Sektoren der Beschäftigung zu identifizieren.	Tourism is a wellspring of jobs in Europe yet we still do not have reliable statistics enabling us to identify the different employment sectors.
Es gibt weder weitsichtige Förderungen noch eine Konzentration auf die kleinen und mittelständischen Unternehmen.	There are no far-sighted support measures and nor are we concentrating on small and medium-sized enterprises.
Da wir von einer wissensorientierten Strategie noch weit entfernt sind, ist es kein Wunder, wenn das Bewußtsein für Gemeinschaftsdimensionen fehlt.	Since we are a long way off having a knowledge-based strategy it is little wonder that that there is a lack of awareness of Community dimensions.
Nie verstanden habe ich den Boykott des PHILOXENIA-Programms durch einige Mitgliedstaaten, obwohl doch diese Initiative die Einheit von Tourismus, Umwelt und Kultur anstrebt.	I have never understood how certain Member States could boycott the Philoxenia programme when in fact this initiative is designed to unite tourism, environmental and cultural concerns.
Daher die Frage an Herrn Kommissar Liikanen: Gibt er einem solchen Programm überhaupt noch eine Chance?	Hence I would like to ask Commissioner Liikanen if he intends to give this programme any chance at all.
Tourismus ist in den meisten nationalen Aktionsplänen zur Umsetzung unserer gemeinsamen europäischen Beschäftigungsstrategie schlichtweg nicht aufgeführt.	Tourism simply does not feature in most national action plans for the transposition of our common European employment strategy.
Daß das Potential hier groß ist, konnte ich in meinem Bericht über Zukunftsarbeitsplätze nachweisen, den das Europäische Parlament vor fast genau einem Jahr hier verabschiedete.	I was able to demonstrate that there is a great deal of potential here in my report on future jobs, which the European Parliament adopted here almost exactly a year ago.
Der Ausschuß für Beschäftigung und soziale Angelegenheiten hat ausdrücklich Elemente dieses Papiers in seine Stellungnahme mit einbezogen.	The Committee on Employment and Social Affairs expressly included elements of this paper in its position.
Die Synergieeffekte zwischen Tourismus, Geschichte, Bildung, Sport, Gesundheit, Ökologie und ländlicher Entwicklung sind erheblich.	Tourism, history, education, sport, health, ecology and rural development produce considerable synergistic effects.
Durch verbesserte Infrastrukturmaßnahmen, den Erhalt des kulturellen Erbes, die Pflege regionaler Traditionen und das Anbieten lokaler Erzeugnisse werden selbst entlegenste Gebiete attraktiv.	By improving infrastructure measures, conserving our cultural heritage, nurturing regional traditions, and offering local products, it will be possible to enhance the appeal of even the most out-of-the-way regions.
Zu den Beschäftigungsgewinnern gehören Fremdenverkehrskräfte, Marketing und Softwareexperten, Umweltberater und die Betreuer von nachfragenden Zielgruppen.	Those who stand to benefit on the job creation front include tourist industry workers, marketing and software experts, environmental consultants and those in charge of target groups undertaking enquiries.
Im Fremdenverkehr werden Arbeitsuchende und Minderqualifizierte leichter integriert.	It is easier for jobseekers and those with fewer qualifications to find work in tourism.
Beruf und Familie lassen sich meist besser aufeinander abstimmen.	It is usually easier to combine a working and family life.
Allerdings besteht bei Teilzeit- und bei Saisonjobs die Gefahr nicht geregelter und ungesicherter Arbeitsverhältnisse.	Nevertheless, part-time and seasonal jobs carry with them the risk of unregulated and unsecured working conditions.
Der Dialog zwischen den Sozialpartnern, aber auch mit den lokalen Behörden sollte intensiviert werden.	The dialogue with the two sides of industry, as well as with local authorities, must be stepped up.
Für Tourismusberufe spricht folglich die Quantität, aber auch die Qualität, die sich durch Weiterbildung festigen und steigern läßt.	Therefore, whilst quantity of staff is important on the tourist industry front, so too is quality, which can be consolidated and enhanced by means of further vocational training.
Kommunikationsstärke und Kreativität werden trainiert.	People can be trained in communication skills and creativity.
Teamfähigkeit, Verantwortungsbewußtsein und Management-know how werden erzielt.	Team spiritedness, a sense of responsibility and management know how can be achieved.
Durch Mehrsprachigkeit und das Einfühlungsvermögen in fremde Kulturkreise entsteht ein besseres Verständnis für unsere Gemeinschaft.	Multilingualism and a capacity for empathy with foreign cultures will enable people to gain a better understanding of our Community.
Um so wichtiger, daß stabile Grundlagen für eine europäische Orientierung selbstverständlich immer unter Wahrung des Subsidiaritätsprinzips geschaffen werden.	Which is why it is all the more important for us to create stable foundations for a European approach, whilst always upholding the principle of subsidiarity of course.
Dazu gehören meiner Ansicht nach Befähigungsnachweise, etwa Diplome, die in allen Mitgliedstaaten anerkannt werden können.	In my view, this includes having certificates of qualifications, i.e. diplomas that are recognised by all Member States.
Dafür gilt es, die Voraussetzungen zu schaffen1	We need to set the scene for this.
Es spricht also viel für den Beschäftigungs- und Integrationsmotor Tourismus.	Therefore, there is a lot to be said for tourism as a driving force in employment and integration.
Er macht am ehesten deutlich, daß die weite Welt letztlich ein globales Dorf ist.	More than any other sector, it is tourism that brings home to us the fact that, ultimately, the big, wide world is a global village.
