Herr Präsident! Der Kollege Zahradil hat gefragt, wer den Nutzen trage.	Mr President, Mr Zahradil asked who will benefit from this.
Er meinte, wir als Parlamentarier.	He thinks it is we parliamentarians.
Mag sein. Es ist ja auch nicht so schlecht, wenn in einer parlamentarischen Demokratie die Parlamente - es handelt sich ja nicht nur um das Europäische Parlament, sondern auch um die nationalen Parlamente - etwas davon haben.	That may be the case, and it is not such a bad thing if, in a parliamentary democracy, the parliaments - it is, of course, not only about the European Parliament, but the national parliaments as well - benefit to some degree.
Aber in Wirklichkeit profitieren die Bürgerinnen und Bürger, wenn wir deren Interessen stärker und besser vertreten können.	However, it is, in fact, the citizens who will benefit if we are able to represent their interests in a stronger and better way.
Kollege Schulz hat bereits darauf hingewiesen: Wir leben in einer veränderten Welt, in einer Welt, in der es ein starkes China, ein stärker werdendes Indien, ein stärker werdendes Brasilien und nach wie vor starke Vereinigten Staaten von Amerika gibt.	Mr Schulz has already pointed out that we live in a changing world, a world in which China is strong, India is growing in strength, Brazil is growing in strength and the United States of America is still as strong as ever.
Wenn wir heute nach Washington schauen, sehen wir, dass gerade auch die neue Regierung fragt: Was sagt denn Europa zu den verschiedenen Themen, von Afghanistan bis zu anderen Fragen?	If we look at Washington today, we see that even the new administration is asking what Europe has to say about various issues, from Afghanistan to other matters.
Gibt es da eine klare Aussage und eine klare Sprache?	Do we have a clear statement and a clear language in this regard?
Wenn wir die nicht haben, werden wir nicht ernst genommen.	If not, we will not be taken seriously.
Russland versucht immer wieder, die EU-Mitgliedstaaten gegeneinander auszuspielen, weil das natürlich angenehmer ist für unsere Partner.	Russia is always trying to play the EU Member States off against one another because that is, of course, more satisfying for our partners.
Wer heute diesen Vertrag nach wie vor bekämpft, weil er fälschlicherweise meint, das sei ein Vertrag, der die Europäische Union stärkt, dem sei gesagt: In Wirklichkeit stärken die, die diesen Vertrag bekämpfen, eigentlich unsere so genannten Partner, wenn man so will auch unsere Gegner.	To anyone who today is still fighting this treaty in the erroneous belief that it is a treaty that strengthens the European Union, I would say: those who fight this treaty are, in actual fact, strengthening our so-called partners or, if you like, our opponents.
Es ist bereits angeklungen: Ja, wir haben noch einige institutionelle Fragen zu lösen, insbesondere im Zusammenhang mit dem Auswärtigen Dienst.	It has already been said that, yes, we still have a few institutional issues to resolve, in particular in connection with the External Action Service.
Aber versuchen wir jetzt nicht, weiter institutionelle Debatten zu führen.	However, let us not attempt to conduct further institutional debates now.
Die Bürgerinnen und Bürger wollen eine klare inhaltliche Antwort haben.	Our citizens want a clear and substantive answer.
Sie wollen, dass wir eine starke Sprache sprechen, wenn es um den Klimaschutz, um Sicherheitsfragen, um die Finanzregulierung geht.	They want us to speak forcefully on matters to do with climate protection, security issues, financial regulation.
In jedem einzelnen Fall können wir beweisen: Mit Lissabon geht es besser.	In every single case, we can show that Lisbon brings improvement.
Aber wir müssen inhaltlich argumentieren, sodass der Bürger das Gefühl hat, dass die Europäische Union sich nicht nur um sich selbst kümmert, sondern um die Interessen ihrer Bürgerinnen und Bürger. <BRK>	However, our arguments must have substance so that people do not feel that the European Union is only concerned about itself, but can see that it is concerned about the interests of its citizens.
