Herr Präsident, Frau Kommissarin! Das Auto ist ein Teil unserer Freiheit.	Mr President, Madam Commissioner, the car is part of our freedom.
Wir wollen nicht darauf verzichten, und das Auto ist unverzichtbar für die Wirtschaft.	We do not want to give it up, and the car is essential for our economy.
Aber es ist ein sehr junges Verkehrsmittel, das erst am Anfang seiner Entwicklung steht.	But it is a very young means of transport, still at the beginning of its life cycle.
Es ist für mich faszinierend zu sehen, was die Autoindustrie heute bereits kann.	For me, it is fascinating what the car industry is already capable of.
Der Konkurrenzkampf, wer das bessere, das umweltfreundlichere, das Auto der Zukunft früher auf den Markt bringen wird, ist sicher groß.	The competition to get a better and more environmentally friendly car on the market first, the car of the future, is enormous.
Aber es ist sicherlich nicht unsere Aufgabe, nicht die Aufgabe von Abgeordneten, sich schützend vor jene Industrien zu stellen, die glauben, am Markt vorbei, an der Gesundheit der Bevölkerung vorbei produzieren zu müssen.	However, it is certainly not our job as Members of Parliament to protect the automotive industry in its efforts to produce cars despite the impact on the market and the health of our population.
Ich finde es auch faszinierend, daß gerade der für Abgastechnik zuständige Mann von Renault, Monsieur Hublain, die Europaparlamentarier auffordert, höhere Anforderungen an Benzin und Diesel zu beschließen.	I also find it fascinating that Renault's exhaust gas expert, Mr Hublain, is calling on this Parliament to adopt stricter requirements for petrol and diesel.
Besserer Kraftstoff ist der Schlüssel zu weniger Emissionen, und wir können ihm nur voll und ganz zustimmen.	Better fuels are the key to reducing emissions, and we must give them our wholehearted support.
Die Mineralölkonzerne fürchten um ihre hohen Investitionen.	The oil companies are worried about their high investments.
Erstens: Den vom Parlament gewünschten Treibstoff gibt es in mehreren Ländern bereits.	For one thing, the fuels Parliament wants to see already exist in various countries.
Daß dazu hohe Investitionen notwendig sein werden, das bestreitet ja niemand. Die Bilanzen der Mineralölindustrie sind beruhigend positiv.	No-one denies they will involve greater investment, but the oil companies' balance sheets are remarkably healthy; they are making enormous profits.
Die Gewinne, die sie machen, sind enorm. Sie werden diese Investitionen mit Sicherheit verkraften.	I am sure they can take these investments in their stride.
Um hier nicht mißverstanden zu werden, ich bin sehr wohl dafür, daß hohe Gewinne gemacht werden, auch von den großen internationalen Konzernen, aber unsere Aufgabe ist es, die Gesundheit der Bevölkerung zu schützen, und diese zu schützen, ist auch das erklärte Ziel der Gemeinschaft.	To avoid any misunderstandings, I have nothing against large international companies or anyone else making big profits, but it is our job to look after our population's health, and it is also one of the Community's declared objectives.
Ich glaube, wir Abgeordneten sind verpflichtet, die vertraglich festgelegten Aufgaben der Gemeinschaft zu erfüllen.	As Members of Parliament, we are bound to implement the duties of the Community as laid down in the treaties.
Wir werden uns bei der morgigen Abstimmung dazu bekennen können.	We will have a chance to put this into practice in tomorrow's vote.
