Mitglied der Kommission. - Herr Präsident! Danke für die Fragen!	Mr President, thank you for your questions.
Zur Forschungsinfrastruktur: Insbesondere, wenn es um den Bereich der Innovation geht, erhalten die Klein- und Mittelbetriebe heute schon aus den EFRE-Fonds erhebliche Mittel in einem hohen zweistelligen Milliarden-Euro-Betrag im Bereich der Innovationsförderung.	Where research infrastructure is concerned, small and medium-sized enterprises already receive considerable resources from the European Regional Development Fund, particularly in the area of encouraging innovation - where they receive innovation subsidies into the high tens of billions of euro.
In der Periode 2000-2006 haben sich insgesamt über 30 000 Unternehmen sich ganz fokussiert auf diesen Bereich konzentriert.	In the period 2000-2006, more than 30 000 enterprises in total concentrated on this area in a focused manner.
Wir denken darüber nach, dass die Forschungsinfrastruktur auch eine erhebliche Bedeutung haben sollte, gerade in der Zukunft, durchaus auch über den Bereich der Wirtschaft hinausgehend im Bereich der Grundlagenforschung.	We are giving consideration to the fact that substantial importance should also be attached to the research infrastructure, particularly in the future - not just in the area of the economy, but also in the area of basic research.
Möglicherweise werden wir noch in der laufenden Periode ein Forschungsinfrastrukturprojekt, das auch in der ESFRI-Roadmap aufgezeichnet ist, erstmalig mit entsprechenden Mitteln fördern, weil die Untersuchung dieses Projektes ergeben hat, dass es sich hier um eine sehr nachhaltige Wirkung in einer Region über das reine Projekt hinaus handelt, indem eben Arbeitsplätze geschaffen werden, nicht nur Forscherarbeitsplätze, sondern auch Arbeitsplätze in Zulieferbetrieben, denn auch Basisforschungsinfrastruktur braucht Zulieferung und Service.	It is possible that even in the current period we will subsidise a research infrastructure project that is also included in the ESFRI - the European Strategy Forum on Research Infrastructures - Road map with such funds for the first time, because investigations into this project have revealed that it has a very sustained impact in a region beyond that of the project itself in that jobs will be created, not just research jobs, but also jobs in enterprises that supply these, since even basic research infrastructure needs services and supplies.
Das kann also ein echter Hub in einem bestimmten Bereich in einer Region - in dem Fall einer ungarischen Region - sein.	In other words, it could be a real hub in a particular area in a region - in this case, a region of Hungary.
Das soll auch ein Signal für die nächste Programmperiode sein, etwa in Richtung von Universitäten, die dann letztlich auch wieder konkrete Auswirkungen haben.	That should also send out a signal for the coming programming period, perhaps to universities, which, in the final event, also have concrete effects.
Denn heute schon befinden sich die Forschungsaktivitäten im universitären Bereich fast zu einem Drittel im Bereich der angewandten Forschung, was letztlich der Wirtschaft zugute kommt und nachhaltig Arbeitsplätze schafft.	Already today, nearly a third of university research activities are in the area of applied research, which, in the end, benefits the economy and creates lasting jobs.
Zur Frage der Frau Kollegin: Im Rahmen des Europäischen Sozialfonds werden in aller Regel die beschäftigten oder momentan nicht beschäftigten Personen durch Schulungen gefördert und in die Lage versetzt, ihre Möglichkeiten am Arbeitsmarkt zu verbessern.	If I may turn to the honourable lady's question, within the framework of the European Social Fund, it is generally employed or temporarily unemployed workers who receive assistance with training, in order to put them in a position in which their prospects on the jobs market are improved.
Sei es innerhalb des Unternehmens, in dem sie beschäftigt sind, oder sei es - wenn sie nicht beschäftigt sind - um ihre Qualifikationen zu verbessern oder einfach um ihre Qualifikationen für andere Jobmöglichkeiten insgesamt zu verbessern.	This may be within the enterprise in which they are employed or, if they are not employed, it may be in order to improve their skills or simply to make them better qualified generally for other possible types of employment.
Ich kann Ihnen aber ein Beispiel geben, weil Sie vielleicht darauf angespielt haben und das auch immer kritisiert worden ist, dass beispielsweise für Mitarbeiter von McDonald's Fortbildungsmaßnahmen angeboten wurden.	I can give you an example - because perhaps that is what you were hinting at and because it has come in for a lot of criticism - and that is that McDonald's workers, for example, have been offered further training.
Hier muss man klar unterscheiden: Das waren Fortbildungsmaßnahmen für McDonald's-Mitarbeiter, um sie am Arbeitsplatz und in der Arbeitswelt besser zu qualifizieren.	A clear distinction must be made here: these were further training measures for McDonald's workers in order to make them better qualified on the jobs market and in the world of work.
Sie wissen, es wird ja manchmal kritisiert, dass die Arbeitsplätze bei McDonald's - sie haben ja auch den Spitznamen "McJobs" - durchaus Jobs sind, die Teilzeitjobs sind, die zum Teil keine hohe Qualifizierung erfordern, die Jobs sind, die von Studenten und Studentinnen ausgeübt werden und wo es darum geht, diese Personen weiter zu qualifizieren.	As you know - it has, after all, been somewhat criticised - jobs at McDonald's, often nicknamed 'McJobs', are generally part-time jobs that may require no great qualifications; jobs that are often done by students. It is a matter of upskilling these people.
