Herr Präsident, Frau Kommissarin! Werbung ist wichtig, da stimme ich Ihnen zu.	Mr President, Commissioner, I agree with you that advertising is important.
Nur, Werbung geschieht nicht nur, wenn man sie offensiv und professionell betreibt, sondern sie erfolgt auch durch Vorkommnisse, die in dem Gebiet stattfinden, aus dem die Nahrungsmittel kommen.	Yet advertising comes about not only as a result of professional offensives but also of occurrences in the region from which the foodstuffs originate.
Wenn wir in der Welt mit "mad cows", also mit Rinderwahnsinn, in Verbindung gebracht werden, wenn also unser Wappentier durch uns verrückt gemacht worden ist oder wenn wie jetzt durch die Dioxin-Problematik - die natürlich auch um die Welt geht - Rückholaktionen in den Ländern stattfinden, wenn in unseren Nachrichten im Fernsehen weltweit Millionen von abgeschlachteten kranken Kühen gezeigt werden, dann ist das auch eine Werbung, nur, diese ist negativ.	When the world associates us with BSE, when we have turned our heraldic animal mad, or when, as now, countries are issuing product recalls because of the dioxin problem - which, of course, is also going around the world - and when millions of slaughtered sick cattle are shown on television news around the world, this is also a kind of advertising: negative advertising.
Wir müssen aufpassen, dass wir hier nicht in einen Widerspruch geraten. Auf der einen Seite sprechen wir von guten Produkten, auf der anderen Seite stehen die negativen Meldungen.	We must be careful to avoid contradiction here.
Aber wir arbeiten daran. Das haben wir ja eben in der Debatte und mit dem, was wir zum Abschluss gebracht haben, gesehen.	On the one hand, there is our talk of good products but, on the other, there are the negative reports - but we are working on this, as we have just seen with the debate and what we have concluded.
Wenn wir Werbung nach außen betreiben wollen - ja, richtig, wir haben auch allen Grund dazu, wir haben gute Produkte - dann möchte ich nicht, dass eine generelle Werbung betrieben wird, sondern dass die Vielfalt Europas auch in dieser Werbung sichtbar wird.	If we wish to advertise externally - yes, that is right, we have good reason to do so, as we have good products - I do not want it to be generalised advertising, but advertising showing European diversity.
Sie wissen, dass wir in Deutschland eine Situation haben, in der das Bundesverfassungsgericht eine Werbung, eine Art Zwangswerbung mit einer Zwangsabgabe gestrichen hat.	As you know, we have the situation in Germany where the Federal Constitutional Court has ruled against a kind of compulsory advertising with a compulsory levy.
Es hat darauf hingewiesen, dass eine Werbung, die nicht zwischen den einzelnen Qualitäten differenziert, eben nicht den Absatz erhöht, sondern dass es wichtig ist, dass die einzelnen Erzeuger/Erzeugerinnen für ihre spezifischen Produkte Werbung machen können.	It pointed out that advertising that does not differentiate between the individual qualities does not increase sales, and that instead, it is important that the individual producers be able to advertise for their specific products.
Es kommt auch immer mehr darauf an - nicht nur innerhalb Europas, sondern auch nach außen -, nicht nur die Endqualität eines Produktes zu beschreiben, sondern die Prozessqualität.	In addition, it is increasingly important - not only within Europe but also externally - to describe not only the quality of the end product but also the quality of the process.
Was ist mit dem Tierschutz, was ist mit der Umwelt, mit den Inhaltsstoffen, mit der Struktur der Landwirtschaft, was ist mit dem fairen Handel?	What is the situation with regard to animal protection, to the environment, to the ingredients, to the structure of the farming, to fair trade?
Das alles sind Kriterien, die nicht unbedingt die Endqualität bestimmen, die aber für die Verbraucherinnen und Verbraucher immer wichtiger werden.	These are all criteria that do not necessarily affect the quality of the end product, but are becoming increasingly important to consumers.
Also müssen wir auch dieses in die Werbung einbauen und müssen sehen, dass damit der Ruf Europas in der Welt weiterhin gestärkt wird.	We must incorporate this into our advertising too, therefore, and must see that Europe's reputation in the world is further enhanced as a result.
