. – Herr Präsident! Dieser Bericht von Frau Hermange ist tatsächlich ein sehr wichtiger Bericht.	– Mr President, Mrs Hermange’s report is in fact a very important one.
Die Anerkennung und Vollstreckung sowie die Zusammenarbeit auf dem Gebiet der elterlichen Verantwortung und die Maßnahmen zum Schutze von Kindern sind ein so hohes Gut, dass unsere Fraktion natürlich uneingeschränkt allen Änderungsanträgen und auch dem Bericht der Berichterstatterin zustimmen wird.	Recognition, enforcement and cooperation in respect of parental responsibility and measures for the protection of children are of such great value that the Group of the Party of European Socialists will vote unreservedly in favour of all of the amendments and Mrs Hermange’s report.
Die Fraktion wird dies tun, weil sie weiß, wie wichtig gerade der Schutz der Kinder ist.	We will do this because we know how important the protection of children is.
Wie Sie wissen, bin ich in einer Mediatorengruppe zwischen Deutschland und Frankreich tätig, und weiß, mit welchen Schwierigkeiten und traurigen Fällen wir es zu tun haben.	As you know, I am a member of a Franco-German mediation group, and know what difficulties and sad cases we have to deal with in it.
Gerade die Kinder sind die Leidtragenden.	It is the children themselves who suffer.
Wir werden also zustimmen, obwohl ich als Mitglied des Rechtsausschusses und als Berichterstatterin oder vorgesehene Berichterstatterin des Rechtsausschusses – wir konnten keinen Bericht mehr ausarbeiten, weil die Zeit dazu nicht gereicht hat – eines hinzufügen möchte.	We will vote in favour, although as a Member of the Committee on Legal Affairs and the Internal Market and as a rapporteur, or a designated rapporteur for this Committee – we could not draw up another report because there was not enough time to do so – I would like to make a few remarks.
Ich möchte doch an drei Fragen erinnern, die ich über Herrn Gargani, dem Vorsitzenden des Rechtsausschusses an die Europäische Kommission, habe weiterleiten lassen. Auch an eine Frage, die von Frau Hermange gestellt wurde, nämlich nach dem Stellenwert dieser Übereinkommen im Zusammenhang mit dem Gemeinschaftsrecht.	In fact, I would like to mention three questions, which I forwarded to the Commission through Mr Gargani, the Chairman of the Committee on Legal Affairs and the Internal Market, and also a question that Mrs Hermange asked, which referred to the importance of this agreement in connection with Community law.
Wir haben Brüssel II, wir haben eine Gesetzgebung für die Europäische Union gemacht, wir haben uns in diese Gesetzgebung in einer – wie ich meine – sehr positiven Art und Weise eingebracht.	We have Brussels II, we have drawn up legislation for the European Union, and our input into this legislation is, in my view, highly creditable.
Parallel dazu hat die Europäische Kommission, ohne das Parlament zu benachrichtigen, erlaubt, dass eben dieses Übereinkommen diskutiert wird und damit bestimmte Dinge beraten wurden, ohne dass das Europäische Parlament eine Möglichkeit hatte, mitzuwirken.	Yet, at the same time, the Commission allowed this agreement to be discussed and certain things to be deliberated on without informing Parliament or giving it the chance to be involved.
Da stellt sich schon eine institutionelle Frage, in welchem Zusammenhang die Übereinkommen und die europäischen Gesetzgebungsverfahren stehen und wie die Rechte des Parlaments in dieser Frage aussehen.	That poses an important institutional question as to what the connection is between the agreement and the European legislative procedure, and what Parliament’s rights are on this matter.
Fazit: Wir stimmen hier dieser Ausnahmeregelung zu, weil wir dieses Übereinkommen für außerordentlich wichtig halten und wir auf keinen Fall Kinder dafür bestrafen wollen, dass es ein interinstitutionelles Konfliktpotenzial gibt.	The upshot is that we agree with this exception, because we see this agreement as exceptionally important and we do not want children to be punished in any way just because it there a potential interinstitutional conflict.
Wir werden jedoch im Rechtsausschuss noch einmal diese Frage aufwerfen, denn es darf nicht angehen, dass durch parallele Gesetzgebung auf europäischer Ebene und internationaler Ebene die Rechte des Parlaments ausgehebelt werden.	We will, however, raise this question again in the Committee on Legal Affairs and the Internal Market, since it cannot be acceptable for Parliament’s rights to be annulled due to parallel legislation at European and International level.
Das wäre auch keine sinnvolle Sache.	That would not be in the least bit sensible.
