im Namen der PPE-Fraktion. - Frau Präsidentin, sehr geehrter Herr Kommissar Tajani!	Madam President, Mr Tajani, thank you very much indeed for your initiative.
Recht herzlichen Dank für Ihre Initiative! Rohstoffe sind die Grundlage für eine gesunde Industrie der Zukunft und deshalb ist es wichtig, nicht nur in der Handelspolitik dafür zu sorgen, dass wir bilaterale Abkommen mit China und vielen anderen Ländern dieser Welt schließen.	Raw materials will help to ensure that we have a healthy industrial sector in future and, therefore, it is important for us to conclude bilateral agreements with China and many other countries, and not just in the field of trade policy.
Dabei können wir uns z. B. auch auf Investitionsschutzabkommen konzentrieren, weil hier langfristige Kontrakte geschlossen werden können, die für den return on investment neuer Minen, die wir dringend brauchen, auch einen Investitionsschutz bieten.	For example, we should also be focusing on investment protection agreements, because we can sign long-term contracts in this area which will protect the return on investments in the new mines that we urgently need.
Also langfristige Kontrakte bieten einen Investitionsschutz, sodass neue Minen, die mit den bestehenden konkurrieren, auch entsprechend gefördert werden können.	In other words, long-term contracts will provide protection for our investments so that the new mines, which will be competing with existing ones, can receive the financial support that they require.
Wir können im Bereich der WTO-Nachfolgekonferenz zur Doha-Runde auch prüfen, wie es mit den Singapore Issues aussieht.	In the context of the World Trade Organisation's (WTO) follow-up conference to the Doha round, we can also investigate the situation of the Singapore issues.
Wir haben in Singapur schon ein gutes Maßnahmenpaket geschnürt, auch das müsste man vorantreiben, vielleicht sogar parallel zu den derzeitigen Doha-Verhandlungen.	We have already put together a good package of measures in Singapore and we need to take this forward, perhaps even in parallel with the current Doha negotiations.
Es ist zu prüfen, ob nicht ein Verstoß gegen die Antidumping-Vorschriften vorliegt, wenn man sieht, zu welchem Preis die Industrie in China teilweise die Rohstoffe für die Verarbeitung bezieht und welchen Aufschlag die europäische Industrie zu bezahlen hat.	We need to find out whether there has been a breach of anti-dumping regulations with regard to the prices which industry in China pays in some cases for raw materials for processing and the surcharges imposed on European industry.
Das wäre zu klären, aber das ist schon in Arbeit.	Work on clarifying this is already in progress.
Es geht ja nicht nur um seltene Erden, es geht beispielsweise auch um Magnesit, das ist der wichtigste Rohstoff für feuerfeste Produkte, ohne die z. B. kein Stahl, kein Glas, kein Zement und andere Rohstoffe produziert werden können.	However, this is not just about rare earth elements (REEs), but also about magnesite, for example, which is the most important raw material for fireproof products and which is essential for the production of steel, glass, cement and other materials.
Wir sollten uns auch darauf konzentrieren, welche Substitutionsprodukte in Zukunft möglich sind, und vielleicht dementsprechend ein eigenes Programm für die Erforschung von Substitutionsprodukten gestalten.	We should be considering possible substitute products which can be used in the future and perhaps establishing our own research programme for these products.
Außerdem begrüße ich den Vorschlag von Kommissarin Hedegaard für eine CO2-Footprint-Abgabe, in deren Rahmen z. B. für Produkte, die mit einem hohen CO2-Ausstoß produziert und über lange Strecken transportiert werden, ein zusätzlicher Mehrwertsteueraufschlag verrechnet wird.	I also welcome Mrs Hedegaard's proposal for a carbon footprint tax, which would allow additional VAT to be charged on products manufactured with high levels of CO2 emissions that are transported over long distances.
