Meine Damen und Herren! Wir können jetzt nicht allen irischen Mitgliedern das Wort erteilen.	Ladies and gentlemen, we cannot invite all Irish Members to speak.
Ich habe in unserer aller Namen gesprochen, und das sollte ausreichend sein.	I have spoken on behalf of us all, and that should be sufficient.
Stimmen Sie zu, dass dies ein würdiger Tribut für jene war, die ihr Leben verloren haben?	Do you agree that this has been a worthy tribute to those who lost their lives?
Ich danke Ihnen.	Thank you.
Ich habe noch eine kurze Erklärung zum gestrigen Internationalen Frauentag zu machen.	I also have a brief statement to make on yesterday's International Women's Day.
Ich möchte die Gelegenheit nutzen und heute besonders alle weiblichen Mitglieder dieses Hauses begrüßen und ihnen wärmstens für ihre Engagement danken.	To mark the occasion, I wish today to extend a particular welcome to all the female Members of this House and give them an emphatic vote of thanks for their commitment.
Ich möchte auch dafür eintreten, alles zu tun, was im Rahmen unserer Möglichkeiten liegt, um das Prinzip der Gleichstellung der Geschlechter sowohl auf europäischer als auch auf internationaler Ebene zu einer Realität zu machen.	I also wish to advocate that we do our utmost to make the principle of gender equality a reality at both European and international level.
Vor einhundert Jahren demonstrierten 15 000 Frauen in New York für die Anerkennung ihrer Würde und Rechte.	A hundred years ago, 15 000 women demonstrated in New York for the recognition of their dignity and rights.
Heute ehren wir ihr Vermächtnis.	We pay tribute to their legacy today.
Es gibt keinen Zweifel, dass seit damals im Sinne der Anerkennung und des Schutzes der Rechte der Frauen und der Förderung der Chancengleichheit für Frauen und Männer in allen Bereichen der Gesellschaft viel erreicht wurde.	There is no doubt that a great deal has been accomplished since then in terms of the recognition and protection of women's rights and the promotion of equal opportunities for men and women in all areas of society.
Wir dürfen uns aber nicht auf den Lorbeeren ausruhen; es ist noch viel zu tun, um die Gleichstellung der Geschlechter innerhalb der Europäischen Union zu verwirklichen, und die Beteiligung der Frauen bei in Arbeit, Zivilgesellschaft und Politik zu erreichen.	We must not let up in our endeavours; a great deal more must be done to realise gender equality within the European Union and also to increase the participation of women in work, civil society and politics.
Nach Ansicht des Europäischen Parlaments gibt es noch Raum für eine weitere Steigerung des gegenwärtigen Grades der Beteiligung von Frauen an den Entscheidungen auf lokaler, nationaler und europäischer Ebene.	In the opinion of the European Parliament, there is scope for further increasing the present degree of participation by women in decision-making at local, national and European Union level.
Unsere Mitgliedstaaten müssen Wege finden, um die Beteiligung von Frauen am Entscheidungsfindungsprozess in der Politik sowohl auf nationaler als auch auf internationaler Ebene zu stimulieren und zu unterstützen.	Our Member States must find ways of encouraging and supporting women's participation in the decision-making process and in politics at both national and international level.
Es verbleiben nur noch wenige Monate bis zu den Europawahlen.	We are only a few months away from the European elections.
Ich möchte heute unterstreichen, dass die Teilnahme von Frauen an diesen Wahlen und eine ausgewogene Vertretung der Geschlechter im Europäischen Parlament von besonderer Bedeutung sind, sowohl für die demokratische Entwicklung der Europäischen Union als auch unserer Gesellschaft als Ganzes.	I wish to emphasise today that the participation of women in these elections and balanced gender representation in the European Parliament are particularly important both to the democratic development of the European Union and to our society as a whole.
Zum Schluss möchte ich das Haus daran erinnern, dass viele Kriege auf dieser Welt zahlreiche Frauen besonders hart getroffen haben, und wir arbeiten daran, um zu verhindern, dass sexuelle Belästigung und Entführung von Frauen als Kriegswaffen eingesetzt werden.	In conclusion, I should like to remind the House that many wars on this earth hit many women particularly hard, and we are working to prevent the use of harassment and rape of women as weapons of war.
Wir müssen die Würde aller Menschen auf der Erde verteidigen und dürfen nie unser Engagement einstellen.	We must defend the dignity of all the people of this earth and must never let up in our commitment.
Ich danke Ihnen für Ihre Aufmerksamkeit.	Thank you for your attention.
(Beifall)	(Applause)
