Herr Präsident, ich möchte mich beim Berichterstatter, Herrn van Dam, bedanken.	Mr President, I would like to thank the rapporteur, Mr van Dam.
Ich glaube, er hat einen sehr guten Bericht vorgelegt.	I think he has submitted a very good report.
Wenn man sich die Begründung noch einmal anschaut, stellt man fest, dass sie eine ganze Menge an Argumenten und Material darüber enthält, was auf Europas Straßen passiert.	Looking again at the explanatory statement, one realises that it contains a whole lot of arguments and material about what is happening on Europe's roads.
Auf Europas Straßen passiert, was man entweder als kriminell oder als Schweinerei oder als beides zusammen bezeichnen muss, und häufig nicht in Ordnung ist!	What is happening on Europe's roads can either be described as criminal or disgraceful, or both at the same time, and it is often simply unacceptable.
Dass wir mit diesem Dossier nicht alle Probleme lösen, hat Herr van Dam auch sehr ausführlich in seinem Bericht dargestellt.	The fact that we are not solving all the problems with this dossier has been described in detail by Mr van Dam in his report.
Aber ich glaube, wir gehen zumindest einer wichtigen Sache auf den Grund, nämlich dass dem Sozialdumping einiger schwarzer Schafe in der Lkw-Branche ein Riegel vorgeschoben wird.	However, I think that we are really getting to grips with at least one important matter, that of clamping down on social dumping by a few black sheep in the haulage sector.
Man muss immer festhalten, dass die große Mehrheit, wie ich glaube, es ordentlich macht.	One must always stress that the great majority, as I believe, do things by the book.
Es geht hier um einige wenige, deren Verhalten aber verheerende Auswirkungen hat.	Here we are talking about a very few people, but their behaviour has devastating consequences.
Die Lenk- und Ruhezeiten sind das eine, sie müssen eingehalten werden, das ist keine Frage, die sozialen Bedingungen der Fahrer sind eben der andere Aspekt.	Driving and rest periods are one thing, and these must be adhered to, there is no question about that; the social conditions of the drivers are the other aspect of this.
Alle Fahrer haben einen Anspruch darauf, zu den in den Mitgliedstaaten üblichen Bedingungen angestellt zu werden.	All drivers have a right to be employed in accordance with the conditions that usually apply in the Member States.
Der Versuch, mit zwei Fahrern aus Mittel- oder Osteuropa die Lenk- und Ruhezeiten einzuhalten, gleichzeitig aber mit Lohndumping Wettbewerbsvorteile zu erlangen, muss unterbunden werden, denn wenn zwei Fahrer zusammen weniger verdienen als der Fahrer, der in einem Mitgliedstaat zu den üblichen Bedingungen angestellt wird, dann ist das einfach nicht in Ordnung.	The attempt to use two drivers from central or eastern Europe to comply with the driving and rest periods, while at the same time gaining competitive advantages by means of wage dumping, must be stopped, because if two drivers together earn less than a driver who is employed on the usual terms, then that is simply out of order.
Das ist die Schweinerei, die man auch brandmarken muss!	It is a disgrace and must be denounced as such.
Deshalb ist es gut, dass wir zunächst mit den Drittstaaten anfangen, wie wir es jetzt vorgeschlagen haben.	It is good, therefore, that we are starting with third countries first, as we have suggested.
In nicht allzu langer Zeit sollten wir das dann auch auf die Union, auf die Mitgliedstaaten ausweiten, damit diese Regelung für alle gilt.	We should not wait too long to extend this to the Union, and to the Member States, so that this regulation applies to everyone.
Ich hoffe, dass es nicht mehr solange dauert wie beim ERIKA-Paket, sondern dass wir sehr schnell zu einer Regelung kommen.	I hope that it will not take as long as the ERIKA package, but that we can arrive at a regulation speedily.
Die Osterweiterung steht vor der Tür, und wir brauchen hier anständige soziale, aber auch faire Wettbewerbsbedingungen auf unseren Straßen und im Fuhrgewerbe.	Eastward expansion is imminent and we need to have decent social conditions, but also fair conditions for competition, on our roads and in the haulage industry.
