Herr Präsident! Sehr viele Menschen in Europa sind unzufrieden.	– Mr President, a great many people in Europe are dissatisfied.
Sie fühlen sich von zu vielen Gesetzen überfordert und in zentralen Bereichen verunsichert: am Arbeitsmarkt, in den verschiedenen Systemen der sozialen Sicherheit und im Gefühl der subjektiven Sicherheit.	They feel overwhelmed by too many laws and uncertain in key areas of their lives: on the labour market, in the various different social security systems and in terms of how safe and secure they feel.
Die Menschen reagieren, wo sie können und wie sie können.	People react how and where they can.
Sie sagen nein zum politischen bei Wahlen und sie sagen nein bei den Volksabstimmungen über die europäische Verfassung.	They say ‘no’ to the political establishment in elections and they say ‘no’ in the referenda on the European constitution.
Die Politik muss in dieser Situation mit Ruhe und Augenmaß reagieren.	In this situation, we politicians must respond calmly and perceptively.
Angesagt sind weder noch Schnellschüsse und Überreaktionen.	Neither ‘business as usual’ nor quick-fire responses and over-reactions are called for.
Verfehlt wäre es jedenfalls, die Verfassung zum Sündenbock zu machen.	It would in any case be wrong to make the constitution a scapegoat.
Sie ist nicht das Problem, sondern am ehesten noch der Ansatz zu einer besseren Lösung unserer Probleme in Europa und mit Europa.	It is not the problem, but at best a way of resolving our problems in Europe and with Europe more effectively.
Die europäische Politik sollte sich daher die Mühe machen nachzudenken, wie wir diese Situation meistern.	We European politicians should therefore take the trouble to consider how we can turn this situation round.
Ich stimme denen zu, die den Ratifizierungsprozess für die Verfassung für eine bestimmte Zeit unterbrechen wollen.	I agree with those who want to suspend the process of ratifying the treaty for a certain period.
Damit könnte man den negativen Domino-Effekt stoppen.	This could put a stop to the negative domino effect.
Dann aber sollte der Entscheidungsprozess wieder aufgenommen werden, vielleicht sogar in der zeitlich koordinierten Form einer gebündelten Entscheidung über die Verfassung.	However, the decision-making process should then be re-started, perhaps even in a coordinated form, with the remaining decisions on the constitution all being made at the same time.
Eine Woche für Europa im kommenden Juli würde ich mir wünschen.	I would like to see a week for Europe next July.
