Herr Präsident! Bitte entschuldigen Sie meine Verspätung.	Mr President, do excuse me for arriving late.
Ich habe es leider immer noch nicht verstanden, mich aus dem Gewirr der Garagen auf kürzestem Wege herauszufinden.	Unfortunately, I am still at a loss as to how to find my way out of the maze of garages by the shortest route.
Meine sehr geehrten Damen und Herren, verehrte Kolleginnen und Kollegen! Ich möchte zu einem Problem sprechen, das insbesondere in den baltischen Staaten, und dort besonders in Lettland und Estland, präsent ist.	Ladies and gentlemen, I would like to address a problem that is largely to be found in the Baltic States, in particular Latvia and Estonia.
Das ist die Existenz einer relativ großen russischsprachigen Bevölkerungsgruppe, ergänzt durch Bürger aus Kleinrussland und aus der Ukraine.	It concerns the existence of a relatively large Russian-speaking ethnic group, supplemented by people from Ruthenia and the Ukraine.
Zum überwiegenden Teil sind diese Bürger dort das Resultat einer Jahrzehnte währenden Okkupation, und deswegen ist ihre Präsenz dort mit erheblichen emotionalen Vorbehalten verbunden.	The vast majority of these people are there as a result of a decade of occupation, which is why they keep themselves very much to themselves.
In den letzten Jahren gelang es nun nicht zuletzt auch durch das Einwirken europäischer Institutionen, hier eine entscheidende Verbesserung der Situation zu erzielen.	In the course of the last few years, it has been possible to bring about a distinct improvement in the situation, due in no small part to the influence of the European Institutions.
Ich erinnere daran, dass noch vor wenigen Jahren das Sprachengesetz bei der negativen Beurteilung eine Rolle spielte.	I would remind you that only a few years ago, the language law contributed to the negative assessment.
Ich erinnere noch an die größeren Schwierigkeiten beim Staatsbürgerschaftsrecht, das es zu novellieren und an die europäischen Normen anzupassen galt.	I would also ask you to cast your minds back to the great difficulties attending the nationality law, which had to be amended and tailored to European standards.
Diese gesetzlichen Hürden sind mittlerweile genommen, so dass auch viele russischsprachige Bürger jetzt bereit sind, die Staatsbürgerrechte und -pflichten, sowohl in Lettland als auch in Estland als den am meisten betroffenen Ländern, anzuerkennen.	These legal hurdles have now been overcome, as a result of which, many Russian-speaking citizens are now prepared to recognise the citizens' rights and duties, both in Latvia and Estonia, which are the countries worst affected.
Das ist ein Prozess, der sich sehr differenziert vollzieht, aber trotzdem kann er sehr viel Hoffnung machen, denn er schließt ja ein, dass diese Bürger künftig auch Unionsbürger werden und damit in besonderer Weise aufgerufen sein werden, die Verbindungen zu ihrem Heimatland, wo ihre Vorfahren herkommen, zu suchen.	It is a process that is having very mixed success, but it still inspires great hope, because it will mean that these citizens will also become citizens of the Union in the future, and will therefore be called upon, in a special way, to establish ties with their homeland, where their forefathers come from.
Ich kann mir gut vorstellen, dass diese Bürger zu Trägern einer grenzüberschreitenden Kooperation in einer künftig erweiterten Europäischen Union werden.	I have a shrewd idea that these citizens will become agents of cross-border cooperation in a future enlarged European Union.
