Verfasser. - Herr Präsident! Was bringen bilaterale Gespräche, wenn konkrete Ergebnisse fehlen?	author. - Mr President, what good are bilateral talks if they do not produce any tangible results?
Sind sie Deckmantel für Handlungsunfähigkeit oder Beiträge, um zumindest Vertrauen aufzubauen?	Do they mask an inability to act, or do they at least contribute to confidence-building?
Das Europäische Parlament fordert zu Recht, dass der vor einem Jahr letztmalig geführte Dialog zwischen den Vertretern des Dalai Lama und der chinesischen Regierung wieder aufgenommen werden muss.	Parliament is rightly calling for the resumption of the dialogue, last conducted one year ago, between the representatives of the Dalai Lama and the Chinese Government.
Auf die Tagesordnung gehören der Abbau von Repressalien, ein Ende der Menschenrechtsverletzungen und konkrete Maßnahmen, um der tibetischen Bevölkerung ein eigenständiges kulturelles und religiöses Leben zu garantieren.	Items on the agenda should include the elimination of reprisals, an end to human rights violations, and tangible measures to guarantee the Tibetan population cultural and religious autonomy.
Der Dialog hat im September 2002 begonnen.	The dialogue was launched in September 2002.
Seit zwölf Monaten wird er von der chinesischen Seite blockiert.	China has been blocking it for 12 months.
Die Begründungen sind gebetsmühlenhaft die gleichen: Vorbedingungen müssten erfüllt werden. Der Dalai Lama sei an besseren Beziehungen gar nicht interessiert, und er strebe die Unabhängigkeit Tibets an.	The grounds are always the same: preconditions are to be met; the Dalai Lama is not interested in improving relations, and is striving for Tibetan independence.
Das ist schlichtweg falsch.	This is simply not true.
Seit Jahren geht es seiner Heiligkeit nicht um einen eigenen Staat, sondern um die Autonomie Tibets.	For years, His Holiness has been interested not in an independent state, but in Tibetan autonomy.
Für einen solchen Rechtsstatus gibt es gute Vorbilder auch in der EU.	There are good examples of this kind of legal status even in the EU.
Die EVP-ED-Fraktion genauso wie fast alle anderen Gruppierungen des Hauses bleiben bei vier Positionen: Erstens muss ein Sonderbeauftragter der EU für Tibet ernannt werden.	The Group of the European People's Party (Christian Democrats) and European Democrats stands by four positions, as do almost all other groupings in this House. Firstly, an EU Special Representative for Tibet must be appointed.
Eine Behandlung des Themas nur am Rande des Dialogs EU-China reicht nicht aus.	It is insufficient that this issue be relegated to the fringe of EU-China dialogue.
Zweitens wollen wir von der Kommission, dass Tibet zum integrierten Bestandteil des Rahmenabkommens zwischen der EU und China gemacht wird.	Secondly, we want the Commission to make Tibet an integral part of the EU-China Partnership and Cooperation Framework Agreement.
Bitte informieren Sie uns Parlamentarier über Fortschritte und Rückschritte.	We ask that the Commission inform Parliament of progress and retrogression.
Drittens soll der Rat in seinem Jahresbericht über die aktuelle Entwicklung des China-Tibet-Dialogs informieren.	Thirdly, the Council should include in its annual report information on current developments with regard to the China-Tibet dialogue.
Viertens soll die Europäische Union mit ihren Partnern in der Welt, insbesondere den USA, gemeinsame Strategien erarbeiten.	Fourthly, the EU should draw up joint strategies with its partners in the world, particularly the USA.
Ich hoffe sehr, dass der internationale Wunsch - meine Kolleginnen und Kollegen haben das gerade formuliert -, dass China endlich wieder diese Gespräche mit den Tibetern aufnimmt, von den Vertretern der Volksrepublik verstanden wird.	It is my fervent hope that the representatives of the People's Republic of China understand the desire of the international community - as just expressed by my fellow Members - for China to resume this dialogue with the Tibetans at long last.
Sie kümmern sich doch sonst so intensiv um gute Nachrichten im Vorfeld der Olympischen Spiele 2008 in Beijing.	After all, China's representatives are most preoccupied with good press in the run-up to the 2008 Olympic Games in Beijing.
