Herr Präsident! Auch ich kann den Dank an Herrn Karl-Heinz Florenz zurückgeben.	Mr President, I too have reason to thank Mr Karl-Heinz Florenz.
Ich fand auch, dass die Parlamentsdelegation sich in der Vermittlung sehr zusammengerauft und ein sehr gutes Ergebnis auf den Tisch gelegt hat.	I also found that the Parliamentary delegation very much got its act together during the conciliation and has finished by submitting a very good proposal.
Dabei sind für mich zwei Aspekte von besonderer Bedeutung: Zum einen ist es uns gelungen, klarzustellen, dass ab Ende nächsten Jahres in der ganzen Europäischen Union Altautos ordnungsgemäß entsorgt werden müssen.	Two aspects are of particular importance for me. First of all, we have succeeded in clarifying the fact that, from the end of next year, end-of-life vehicles will have to be properly disposed of throughout the European Union.
Das heißt, es gibt nicht mehr die Situation, dass Autos illegal entsorgt werden, irgendwo in die Wälder gestellt werden, oder den Drang, alte Autos auf irgendeine Art und Weise nach Osteuropa zu exportieren.	In other words, it will no longer be possible to dispose of cars illegally or to abandon them somewhere in the woods. Nor will there be the impulse to export them in one way or another to Eastern Europe.
Nein, sie müssen vor Ort ordnungsgemäß in zugelassenen Betrieben entsorgt werden.	Instead, they will have to be properly disposed of on the spot by authorised companies.
Das ist für mich ein zentraler, großer Erfolg dieser Richtlinie.	For me, that is one of the great, fundamental successes of this directive.
Der zweite wichtige Punkt - und das ist jetzt nicht die Frage der Kosten und des Wettbewerbs, da haben wir uns ein bisschen gestritten und letztendlich die Probleme ganz vernünftig gelöst und einen Kompromiss geschaffen, der für alle Seiten tragfähig ist -, ist für mich, dass wir in dieser Richtlinie festgelegt haben, dass neue Autos in der Typprüfung ihre Recyclingfreundlichkeit nachweisen müssen.	The second important point for me is no longer the issue of costs and competition. These are problems we argued a bit about and finally solved quite reasonably by means of a compromise which all sides find workable. Instead, the second important point is the fact that, by means of this Directive, we have established that new cars must demonstrate in their type verification and test that they are easy to recycle.
Wir fordern die Kommission in dieser Richtlinie auf, die Richtlinie zur Typzulassung dahingehend zu ändern, so dass in Zukunft neue Autos recyclingfreundlich konstruiert werden müssen.	In this Directive, we are calling upon the Commission to alter the directive on type licensing so that, in the future, new cars have to be built in such a way that they can easily be recycled.
Das ist das Entscheidende!	That is the crucial thing.
Damit kommen wir weg von der end of pipe-Technologie, also immer überlegen zu müssen, was wir mit dem Rest, der übrigbleibt, machen.	In that way, we are moving away from the end-of-pipe technology whereby we always have to consider what to do with the remains of cars.
Nein, wir müssen von vornherein bei der Konstruktion daran denken, dass Autos wie auch andere Produkte wiederverwertet und entsorgt werden müssen.	Instead, we need to bear in mind, right from the time that vehicles are built, that cars, like other products, have to be re-used and disposed of.
Das ist genau der richtige Weg, und darum bin ich froh, dass wir die Richtlinie so auf den Weg gebracht haben.	That is precisely the right way of going about matters, and I am therefore very pleased that we have got the directive up and running in this way.
