im Namen der GUE/NGL-Fraktion. - Herr Präsident! Frau Kommissarin!	Mr President, Commissioner, thank you for giving me the opportunity to speak today.
Danke für die Möglichkeit, hier zu sprechen. Unsere Fraktion der GUE/NGL hat wiederholt hier im Plenum ihre grundlegende Kritik an der Ausrichtung und Verfasstheit der Außen- und Sicherheitspolitik der Europäischen Union deutlich gemacht und das Festhalten an dieser Linie auch im Vertrag von Lissabon abgelehnt.	The Confederal Group of the European United Left - Nordic Green Left has repeatedly made clear in plenary its fundamental criticism of the direction and nature of the foreign and security policy of the European Union and has been opposed to following this course, including in the Treaty of Lisbon.
Mit der Gemeinsamen Aussprache hier wird bereits zu Beginn dieser Wahlperiode einer ihrer wichtigsten Berichte behandelt.	This joint debate at the beginning of this parliamentary term covers one of the most important reports of the term.
Leider, wenn ich auch die Beweggründe unseres Kollegen Brok aus Sicht parlamentarischer Aktivität gern nachvollziehe, in einer zeitlichen Dichte, die es schwierig macht, sachgemäß und verantwortlich die Dimensionen und komplexen Fragen, die sich aus dieser neuen Struktur in inhaltlicher Hinsicht ergeben, abgewogen zu haben, zumal wir etwas auf den Weg bringen sollen.	Unfortunately, although I understand Mr Brok's motives from the perspective of parliamentary activity, we have to get something underway within a deadline which makes it difficult to weigh up properly and responsibly the dimensions and complex issues resulting from the content of this new structure.
Es ist jetzt bereits auch in der Aussprache deutlich geworden, was alles leider im Dunstkreis und damit im politischen Machtpoker zwischen den nationalen Macht- und Regierungsinteressen und den EU-Strukturen verbleibt.	It has become clear during the course of the debate how much unfortunately is still up in the air and therefore within the political poker game between the interests of national power and government and the EU structures.
Das lehnt die GUE/NGL-Fraktion ab.	The GUE/NGL group is opposed to this.
Es bleibt deshalb zu hoffen und zu wünschen, dass das Europäische Parlament nach den Verhandlungen entsprechend den bereits heute morgen hier im Plenum an die schwedische Ratspräsidentschaft geäußerten Erwartungen nach Zurückhaltung bei der Formulierung des Verhandlungsmandats nochmals die Möglichkeit hat, sich mit dem EAD zu befassen.	Therefore, we hope that the European Parliament will have the opportunity after the negotiations to consider the European External Action Service (EEAS) again in accordance with the expectations expressed this morning in plenary to the Swedish Presidency concerning restraint in the formulation of the negotiating mandate.
Wir sollten uns als Parlament auch im Interesse einer möglichst breiten Informiertheit der Bürgerinnen und Bürger über die verschiedensten Aspekte des EAD gerade angesichts der Zweifel und Kritiken am Lissaboner Vertrag und der Forderung nach mehr Transparenz und demokratischer Mitsprache in dieser Beziehung ernst nehmen.	We in Parliament should also ensure that the citizens of Europe are as well-informed as possible about the different aspects of the EEAS, particularly in the face of the doubts and criticism relating to the Treaty of Lisbon and the demand for more transparency and democratic codecision in this respect.
Die Diskussionen über die Einrichtung des EAD finden bereits seit Monaten hinter verschlossenen Türen statt.	The discussions about the establishment of the EEAS have been taking place for months behind closed doors.
Meine Fraktion wiederholt: Die Nichteinbeziehung des Europäischen Parlaments, bisher betroffener zivilgesellschaftlicher Organisationen oder sogar der nationalen Parlamente wirft ernsthafte Fragen auf.	My group would like to repeat that the failure to include the European Parliament, the civil society organisations that have so far been affected, or even the national parliaments, gives rise to serious questions.
Dies nicht zuletzt, weil eine lebhafte Debatte, offene und transparente Diskussionen über die institutionellen Strukturen von großer Bedeutung für seine Legitimität auch in Zukunft und die öffentliche Rechenschaftspflicht gewesen wäre.	This is particularly the case because a lively debate and open and transparent discussions about the institutional structures are of great importance for their legitimacy in future and for their public accountability.
Ich begrüße daher den Ansatz von Herrn Brok, über seinen Bericht dem EP zumindest eine parlamentarische Mitsprache versuchen zu verschaffen.	As a result, I welcome Mr Brok's approach in which he attempts, by means of his report, to achieve parliamentary codecision for the European Parliament at the very least.
Und in diese Richtung ging auch ein Teil unserer Forderungen.	Some of our requests aim to produce the same results.
Wir lehnen - und das muss ich hier unmißverständlich noch kategorisch sagen - all jene Bestrebungen ab, welche auf eine Einbeziehung der politisch-militärischen Strukturen in den EAD hinauslaufen, egal ob zum jetzigen oder zu einem späteren Zeitpunkt, wie dies u. a. von Frankreich erst kürzlich im Rat vorgeschlagen wurde.	We oppose all efforts - and I say this unequivocally and categorically - to include political-military structures in the EEAS, regardless of whether this happens now or in the future, as has been recently proposed by France, among others, in the Council.
Die mögliche Vermengung militärischer Planungsaufgaben mit geheimdienstlichen Strukturen und allgemeinen diplomatischen und politischen Aufgabenstellungen ist aus unserer Sicht nicht akzeptabel.	The possible combination of military planning, secret service structures and general diplomatic and political tasks is not acceptable from our point of view.
