Herr Präsident! Werter Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen.
Zuerst darf ich mich beim Berichterstatter, dem Kollegen Menrad, sehr herzlich bedanken.	First of all I should like to thank the rapporteur, Mr Menrad, very warmly.
Er hat aufgrund seiner großen Erfahrung mit viel Sachverstand, Umsicht und Genauigkeit diesen Bericht ausgearbeitet.	He has brought his wide experience, his deep knowledge, his perspicacity and attention to detail to this report.
Ich darf mich auch bei der Kommission für die geleisteten Vorarbeiten bedanken, auch wenn sich die Mitteilung über Information und Konsultation der Arbeitnehmer beim Rückblick nicht gerade als Erfolgsstory liest, das aber ist nicht die Schuld der Kommission.	I should also like to thank the Commission for their preliminary work, even if the communication on worker information and consultation is not exactly a success story, but that is not the Commission's fault.
Abgesehen von den verschiedenen Richtlinien über Massenentlassungen, Übergang von Unternehmen und den europäischen Betriebsrat als punktuelle Erfolge, blieben alle anderen Vorschläge eben im Rat hängen.	Apart from the various directives on mass redundancy, the transfer of companies and the European works council which were individual successes, all other proposals have ground to a halt in the Council.
Das gilt insbesondere für das Mitbestimmungsmodell.	That is particularly true of the co-determination model.
Der Rat hat sich hier nicht gerade durch Entscheidungsfreudigkeit ausgezeichnet, und es ist an der Zeit, daß das transparent wird und daß die Bevölkerung, die Bürgerinnen und Bürger erfahren, wo eigentlich auf europäischer Ebene gebremst wird: nicht im Europäischen Parlament, nicht in der Kommission, sondern im Rat.	The Council has not exactly excelled itself by its eagerness to take decisions, and it is time that that was made public and that the people of Europe learn exactly where matters have become stuck: not in the European Parliament, not in the Commission but in the Council.
Die vier Grundsätze der Kommission für eine Lösung dieser Frage lesen sich gut: nämlich Vereinfachung, Kohärenz, pragmatisches und ausgewogenes Vorgehen sowie Allgemeingültigkeit.	The Commission's four principles for solving this problem sound good: to wit, simplification, coherence, pragmatic and planned progress and general application.
Ob aber die drei Lösungsvorschläge - Beibehaltung des Status quo, globaler Ansatz, Vorschläge über das Statut der Europäischen AG, des Europäischen Vereins, der Europäischen Genossenschaft oder der Europäischen Gegenseitigkeitsgesellschaft - zum Erfolg führen, Herr Kommissar, ist für mich zweifelhaft.	But as to whether the three solutions proposed will be successful - keeping the status quo, global approach, proposals on the statute of the European company, European association or European mutual society - I am doubtful, Commissioner.
Ich fürchte auch, daß wir noch einige Zeit brauchen werden, bis wir zur Lösung dieser Frage kommen, bis alle Stellungnahmen, die angefordert werden, vorliegen, bis die Kommission dann eine endgültige Vorlage auf den Tisch bringt.	I am also afraid that we shall need some more time to find the solution to this problem, to get in all the opinions which have been requested and to see the Commission's definitive document on the table before us.
Die Anhörung von Experten zu diesem Thema im Sozialausschuß gab einen Vorgeschmack auf die zu erwartenden Schwierigkeiten bei der Lösung des Problems der Information und Konsultation der Arbeitnehmer.	The experts' hearing on this subject in the Social Affairs Committee gave us a taste of the difficulties ahead in the search for a solution to the problem of informing and consulting employees.
Die Sachverständigengruppe der Kommission besteht leider, Herr Kommissar, ich habe Ihnen das schon einmal gesagt, aus Theoretikern und aus zu wenigen Praktikern.	The Commission's group of experts, as I have unfortunately had occasion to say to you, Commissioner, is composed of theoreticians and too few practitioners.
Ferner erscheinen mir die gesetzten Fristen für die Expertengruppe bei diesem komplexen Thema als sehr kurz.	I also think the deadlines set for this expert group on such a complex subject are too tight.
Ich bin hier der Meinung des Kollegen Menrad.	Here I agree with Mr Menrad.
Die vom Berichterstatter bereits vorgetragenen Schlußfolgerungen werden von mir inhaltlich voll unterstützt.	I fully endorse the broad conclusions which the rapporteur has already reiterated.
Ich möchte Ihnen noch einen Satz herausgreifen, wo er schreibt: Am ehesten ist noch die Variante 3a in Verbindung mit der Option 2 als Ansatz denkbar.	I would just like to draw attention to a sentence where he writes: variant 3(a) would be most acceptable in combination with option 2.
Allerdings darf es dabei nicht dazu kommen, wirtschaftliche Mitwirkungsmöglichkeiten durch bloße Informations- und Konsultationsrechte im Sinne der EBR-Richtlinie bzw. eines noch zu schaffenden Gemeinschaftsinstruments zur Regelung von Information und Konsultation auf nationaler Ebene zu ersetzen.	But what we must avoid is that economic opportunities of participation be replaced by simple information and consultation rights as in the EWC directive or by an as yet inexistent community instrument to regulate information and consultation at the national level.
