Herr Präsident, sehr geehrte Frau Hohe Beauftragte, Frau Vizepräsidentin!	Mr President, Baroness Ashton, I would like to thank you very much for your statement.
Ich möchte Ihnen für Ihre Erklärung herzlich danken. Sie ist richtig, sie ist zur richtigen Zeit gemacht, sie ist auch ermutigend, was die Grundeinstellung Ihrer Behörde und Ihrer selbst zum Gesamtproblem besteht, was die Kooperation mit anderen Ländern betrifft und was die notwendigen Maßnahmen betrifft.	It is correct, it has been made at the right time and it is also encouraging with regard to the basic approach taken by you and your organisation to the problem as a whole, with regard to cooperation with other countries and with regard to the measures that are needed.
Diese Debatte ist hier im Haus auch notwendig, nicht nur aufgrund des aktuellen Anlasses, sondern Religionsfreiheit ist ein Teil unserer fundamentalen Werte und der europäischen Identität.	This debate today is also necessary, not only as a result of recent events, but also because freedom of religion is one of our fundamental values and part of our European identity.
Diese Debatte ist wichtig, weil wir in vielen Ländern der Welt Diskriminierung, Verfolgung und Gewalt erleben, und es ist besonders besorgniserregend, dass ein ganz hoher Teil aller Todesopfer religiös motivierter Gewalt weltweit Christen sind.	This debate is important because discrimination, violence and persecution are taking place in many countries in the world and it is particularly worrying that a high proportion of all of those who die as a result of religiously motivated violence throughout the world are Christians.
In diesem Zusammenhang gehört unsere Anteilnahme all jenen, die bei solchen Anlässen getötet, verletzt oder gefoltert worden sind.	Our sympathy goes to all of those who have been killed, injured or tortured in attacks of this kind.
Unsere Anteilnahme gehört auch den Freunden und Verwandten.	Our sympathy also goes to their friends and families.
Es ist daran zu arbeiten, dass das weniger wird und weggeht.	We must do everything we can to reduce and even abolish this type of intolerance.
Leider kennen wir auch Diskriminierung von Christen seitens staatlicher Stellen, und auch das wollen wir bekämpfen und beenden.	Unfortunately, we are also seeing discrimination against Christians by official bodies and we must make every effort to combat and overcome it.
Deshalb brauchen wir unser Engagement zur Durchsetzung der Religionsfreiheit.	We must make a commitment to ensuring the right to freedom of religion.
Dies muss eine zentrale Stellung in unseren bilateralen Beziehungen haben.	This must lie at the heart of our bilateral relationships.
Wir brauchen effiziente Instrumente, die zum Schutz von Christen und zum Schutz der Religionsfreiheit geschaffen werden müssten.	We need effective instruments which will allow us to protect Christians and to protect freedom of religion.
Daher ist zu begrüßen, dass bei jedem bilateralen Kontakt die Durchsetzung des Menschenrechts auf Religionsfreiheit auf der Agenda stehen sollte.	Therefore, I welcome the fact that ensuring the human right to freedom of religion will be one of the items on the agenda in every bilateral form of contact.
In diesem Sinn sollten Bestimmungen zur Gewährleistung der Religionsfreiheit in unsere Drittstaatenabkommen aufgenommen werden, und ich begrüße Ihre Absicht sehr, im jährlichen Menschenrechtsbericht der Europäischen Union der Lage der Religionsfreiheit ein eigenes Kapitel zu widmen.	We must also include provisions that guarantee freedom of religion in our agreements with third countries and I very much welcome your intention to devote a chapter of the European Union's annual human rights report to the situation concerning freedom of religion.
