Herr Ratspräsident! Meine Vorredner haben auf wesentliche Punkte hingewiesen.	Mr President-in-Office of the Council, previous speakers have pointed out various important points.
Ich möchte einige Aspekte noch einmal unterstreichen.	I should just like to emphasize certain aspects once again.
Wenn wir ein Verfahren wie das Konzertierungsverfahren einleiten, dann muß dieses Verfahren einen Sinn haben.	If we introduce a process such as the conciliation process, then there must be a reason for that process.
Wir sind eine Institution innerhalb der Europäischen Union, die aus drei Konglomeraten besteht, nämlich Kommission, Rat und Parlament.	We are an institution within the European Union, which consists of three conglomerations, namely the Commission, the Council and Parliament.
Wenn wir aber so ein Verfahren institutionalisieren, egal in welcher Form und wie locker auch immer, dann muß es auch eine sinnvolle und vernünftige Berechtigung haben.	But if we institutionalize such a process, regardless of what form it takes or how flexible it is, then that process must have sensible and reasonable legitimacy.
Herr De Clercq hat bereits darauf hingewiesen: Es ist beschämend, zu sehen, wie Sie mit uns und wie wir indirekt alle miteinander umgehen.	Mr De Clercq has already pointed this out. It is shameful to see how you treat us and how we all, indirectly, treat one another.
Ich bitte Sie: Lassen Sie diesem Verfahren den ernsthaften und seriösen Charakter, den es grundsätzlich haben sollte, und lassen Sie uns in vernünftige Verhandlungen eintreten!	Please, allow this procedure to be taken seriously, as it should be in principle, and allow us to conduct reasonable negotiations!
Wir haben 36 Vorschläge gemacht, 27 sind von der Kommission akzeptiert worden.	We have made 36 proposals, and 27 of them have been accepted by the Commission.
Vielleicht akzeptieren Sie ja nur 6 dieser Vorschläge, nur lassen Sie uns dann doch bitte über die 6 oder die 5 oder die 10 oder wieviel auch immer Sie mögen, reden.	Perhaps you accept only six of these proposals, but then at least allow us to talk about these six, or five, or ten, or however many you like.
Und kommen Sie nicht wie in dem Konzertierungsverfahren, das wir hatten, und präsentieren uns die Vorschläge, die Sie nicht akzeptieren wollen.	And do not come to the conciliation process, like the one we have had, and present us with those proposals that you are not prepared to accept.
Wir wollen die hören, die Sie bereit sind zu akzeptieren. Über die können wir dann reden.	We want to hear about those that you are willing to accept, because those are the ones that we can talk about.
Nur dann - und ich bitte Sie, das wirklich zu bedenken - läßt sich die Arbeit der Institutionen Europäisches Parlament, Kommission und Rat der Öffentlichkeit besser vermitteln.	Only then - and I would ask you to really give this some thought - can the work of the institutions, the European Parliament, the Commission and the Council, serve the public better.
Wir müssen unsere Arbeit als ernsthafte Zusammenarbeit präsentieren, und sei dies mitunter auch nur symbolisch.	We must present our work as serious cooperation, even if, among ourselves, this is purely symbolic.
Aber auch Symbole haben ja bekanntlich ihren ernsthaften Charakter.	Even symbols, as we know, have their serious side.
Lassen Sie uns bitte noch einmal in Verhandlungen eintreten.	Please, let us enter into negotiations once more.
Präsentieren Sie uns die Vorschläge, die Sie akzeptieren können, und Sie werden beim Parlament ein offenes Ohr finden - und beim Ausschuß allemal, das wissen Sie.	Let us know which proposals you are able to accept, and you will find that Parliament is willing to listen, and the committees too, as you know, are always willing to listen.
Lassen Sie uns zu einem seriösen und ernsthaften Ergebnis kommen.	Please allow us to come up with some serious results.
