Herr Präsident! Vielen Dank an die Kolleginnen und Kollegen, die vor mir gesprochen haben.	Mr President, may I thank my colleagues who have already spoken.
Nachdem ich Frau Klaß vorhin zugehört habe, bin ich jetzt schon etwas milder gestimmt, und ich schaue auch in die Richtung von Herrn Böge, mit dem ich sehr eng zusammengearbeitet habe, sowie in die Richtung des Koordinators, Herrn Goepel, und danke auch Ihnen, dass diese Änderungsanträge 41 bis 44, die die Vermischungsmöglichkeiten erlaubt hätten, zurückgezogen wurden.	Now that I have heard Mrs Klass, I am now in a somewhat calmer frame of mind. Looking over towards Mr Böge, with whom I cooperated very closely, and towards the coordinator, Mr Goepel, I wish to express my thanks to them too for the withdrawal of Amendments Nos 41 to 44, which would have permitted the various blending options.
Ich sage das auch sehr klar im Zusammenhang mit den beiden Berichten, die wir heute hier behandeln.	I also say that very clearly in the context of the two reports we are dealing with here today.
Wir wollen Lebensmittelsicherheit und damit von Beginn der Nahrungskette bis zum Ende der Nahrungskette eine sichere Produktion.	We want food safety, which means safe production from beginning to end of the food chain.
Das ist etwas, was in diesem Hause immer einstimmig vertreten wurde.	That is something which this House has always unanimously advocated.
Wir haben es geschafft, während einer der größten Krisen im Zusammenhang mit der Ernährung, der BSE-Krise, in diesem Haus über alle Fraktionsgrenzen hinweg vertrauensvoll zusammenzuarbeiten, und ich hätte es sehr bedauerlich gefunden, wenn an einer Stelle wie dieser eine Pseudointeressenvertretung - denn es wäre keine wirkliche Interessenvertretung gewesen - die Oberhand gewonnen hätte.	During one of the greatest of all food crises, namely the BSE crisis, the House managed to cooperate in a spirit of mutual confidence, irrespective of party affiliations, and I should have found it very regrettable if, at such a juncture as this, a pseudo-interest group - for it would not have been a genuine interest group - had carried the day.
Wir haben während der BSE-Krise immer gesagt - Herr Böge an der Spitze -, dass es nicht sein kann, dass dioxinbelastete Milch mit nichtbelasteter Milch vermischt wird und damit dann die Grenzwerte erfüllt werden.	During the BSE crisis, we always said - and Mr Böge was the foremost proponent of this view - that dioxin-contaminated milk must never be mixed with non-contaminated milk as a means of reducing the level of the undesirable substance below the maximum permitted value.
Alle anderen Bereiche im Zusammenhang mit dem Vermischungsverbot haben wir genauso behandelt.	We dealt in exactly the same way with all other matters relating to the blending ban.
Deshalb danke ich der Kommission, dass sie diesen Teil auch neu in den Gesetzesvorschlag aufgenommen hat, und dass die Berichterstatterin das an einigen Stellen auch sehr souverän noch ein bisschen ergänzt und verbessert hat.	That is why I am grateful to the Commission for introducing this new element to its legislative proposal and to the rapporteur for her master strokes which have introduced slight additions and improvements to the proposal at several points.
Was wollen wir denn tatsächlich?	So what do we actually want?
Wir wollen ja nicht die Mischfutter- oder Tierfutterhersteller irgendwie schlecht behandeln. Wir wollen auch nicht die armen Bauern schlecht behandeln.	Of course we do not wish to treat the manufacturers of compound feed and other animal feed in any way unfairly, nor do we wish to be unfair towards the poor farmers.
Aber dann einfach eine Vermischung zuzulassen, ist nicht die Lösung.	But it is not the answer simply to permit blending.
Wahrscheinlich ist es in der Tat eine Lösung, sich mit einem Register anzusehen, wo es belastete Gebiete gibt.	Perhaps a register showing contaminated areas would actually be a solution.
Da akzeptiere ich keine Müllverbrennungsanlagen!	But I will not accept waste incinerators!
Müllverbrennungsanlagen dürfen kein Dioxin mehr emittieren.	Waste incinerators are no longer permitted to emit dioxins.
Wenn sie das dennoch tun, ist es nicht der Schaden der Bauern, sondern es ist der Schaden für die gesamte Gesundheit.	If they still break the rules, it is not only to the detriment of farmers but to the population as a whole.
Frau Klaß, sind Sie so nett und hören mir zu.	Mrs Klass, would you be so kind as to listen to me?
Das habe ich bei Ihnen auch sehr geduldig getan, obwohl es mir manchmal schwerfällt!	I listened very patiently to you, although I sometimes find that difficult!
Wir müssen uns ein Register anlegen.	We must establish a register.
Wir fordern doch schon lange ein Dioxinregister in der Europäischen Union, aus dem hervorgeht, wo die Belastungen auftreten.	We have long been demanding a dioxin register in the European Union which would show where contamination is occurring.
Und natürlich müssen wir uns ansehen, wo Felder in der Nähe von Autobahnen sind, wo Schwermetallbelastungen auftreten.	And of course, where fields are close to motorways, we must look and see where heavy-metal contamination is occurring.
Da kann ich es sehr wohl akzeptieren, dass das angemeldet wird, dass die Bauern dort zu ihrer Region hingehen und auch bei der Kommission sagen: Wir haben durch unsere Regionalisierung, durch Transport, Verkehr und anderes, auf den von unseren Vätern geerbten Feldern einen Schaden, der nicht unsere Schuld ist.	In such circumstances I can certainly accept that farmers in those areas will go to their regional authorities and will tell the Commission too that regional planning, transport, road traffic and other factors are affecting the fields they have inherited from their fathers and that damage is occurring through no fault of their own.
Wie gleichen wir dies aus?	How shall we compensate them for this?.
Herr Goepel macht hier die Zahlbewegung.	Mr Goepel here is making a gesture to indicate money.
Keine Frage.	No question about that.
