Hohes Parlament, Herr Präsident!	.
Lassen Sie mich mit einem Bericht über die Ergebnisse des Europäischen Rats der vergangenen Woche beginnen.	Mr President, ladies and gentlemen, let me begin by reporting on what emerged from last week’s European Council.
Dieser Gipfel war die logische Fortsetzung unserer Anliegen, zwischen den Institutionen Vertrauen zu fördern, Europa Schwung zu geben und konkrete Arbeit für Europas Bürger zu leisten.	This Council was the logical consequence of our concern that trust should be fostered between the institutions, that Europe be dynamised, and that some practical work be done for its people.
Unser Motto war sozusagen . Wir haben in dieser Präsidentschaft einen zweigleisigen Ansatz gewählt und auf dem Gipfel angenommen, nämlich einerseits ein Europa der konkreten Projekte anzubieten und andererseits die Verfassungsdebatte wieder mit Leben zu erfüllen, die Diskussion zur Zukunft Europas mit den Bürgern zu beginnen und mit Leben zu erfüllen.	It might be said that we did this under the heading of ‘from reflection to action’. This Presidency has opted for, and adopted at the Council, a twin-track approach, which involves, on the one hand, offering a Europe of tangible projects and, on the other, the revival of the constitutional debate, initiating public discussion on the future of Europe and breathing life into it.
Wir haben in eigener Verantwortung bei diesem Gipfel ein Dokument zusammengestellt, in dem über 30 konkrete Projekte aufgezählt werden, die bis zum Jahr 2010 – quasi mit einer Agenda 2010 – das reiche Arbeitsprogramm der Union für die nächsten Jahre festschreiben.	For this Summit, we put together, on our own responsibility, a document listing over 30 practical projects, constituting, as a sort of ‘Agenda 2010’, the rich working programme for the EU in the coming years leading up to 2010.
Wir haben auf diesem Gipfel auch einige ganz konkrete Projekte diskutiert, die zum Teil schon positiv abgeschlossen worden sind.	At the summit, we also discussed a number of quite specific projects, and some of those discussions have already been brought to a satisfactory conclusion.
Das wichtigste war wahrscheinlich die Finanzielle Vorausschau.	Probably the most important of them was the Financial Perspective.
Die Verhandlungen mit dem Parlament zur Interinstitutionellen Vereinbarung konnten abgeschlossen werden, und damit ist das Budget für die Jahre 2007-2013 tatsächlich sichergestellt.	It proved possible to conclude negotiations with Parliament on the Interinstitutional Agreement, and so the 2007-2013 Budget is secure.
Das ist ein Kompromiss, der sich sehen lassen kann. Insgesamt 4 Milliarden Euro mehr für zukunftsorientierte Programme, die Erhöhung des Ausgabenrahmens und dazu auch das Herauslösen von zwei Budgetpositionen – insgesamt also plus 4 Milliarden Euro –, das sind genau die Prioritäten, die das Parlament gesetzt hat.	That is a respectable compromise: a total of EUR 4 billion extra for forward-looking programmes, a raised limit for expenditure, and also the setting aside of two Budget positions amounting to EUR 4 billion more: these things correspond exactly with the priorities that Parliament had set.
Das zweite ganz wichtige Thema war die Dienstleistungsrichtlinie, ein deutliches Signal, dass wir in der Lage sind, auch in umstrittenen Fragen zu einer Einigung zu kommen.	The second really important topic was the Services Directive, and this was a clear indication of our ability to reach agreement even on contentious issues.
Ich möchte dem Parlament hier ein besonderes Kompliment machen, denn vom Parlament ist ja eigentlich der Weg aufgezeigt worden, fast eine Tür durch die Wand gebrochen worden, wie man ein sehr umstrittenes Thema in einer geglückten Verbindung mit den Sozialpartnern lösen kann. Wir haben sehr viel Zeit hinter den Kulissen mit den europäischen Sozialpartnern verbracht.	It is with reference to this that I would like to pay your House a particular compliment, for it was your House that in fact showed the way – indeed, it virtually smashed through a wall to create a doorway in so doing – in which a highly contentious issue can be resolved through successful liaison with the social partners.
