Herr Präsident, wir erleben derzeit eine massive Entwicklung gegen die Pressefreiheit.	Mr President, we are currently witnessing massive attacks on the freedom of the press.
Letzte Woche haben die Truppen von Herrn Putin in Rußland den größten Oppositionsverlag besetzt.	Last week, Mr Putin' s troops occupied the largest opposition publishing house in Russia.
Gestern ist in Belgrad dasselbe mit dem unabhängigen Radiosender Belgrad passiert.	Yesterday, the same thing happened in Belgrade to the independent radio station there.
Im Iran erleben wir, daß Zeitungen verboten werden, Zeitungen, die nichts anderes tun, als Stimme von Kräften und Menschen zu sein, die bei den letzten Wahlen sehr erfolgreich waren, die eine Hoffnung auf Pluralismus im Iran verkörpert haben und verkörpern.	In Iran, we have a situation where newspapers are being banned for simply acting as a voice for those forces and individuals who were so successful in the last election, and who embodied - and continue to embody - hopes of pluralism in Iran.
Deshalb kann ich mich der Kollegin Rühle vollinhaltlich anschließen.	I therefore fully support everything Mrs Rühle has said.
Wir müssen die gegenwärtige Phase nutzen, um die demokratischen Kräfte im Iran und die Reformkräfte massiv zu unterstützen! Denn wir erleben derzeit eine Situation des Aufbruchs und des Rückschlags zugleich.	We must take advantage of this phase to offer our firm support to democratic forces and forces for reform in Iran, because what we are witnessing at present is a fresh start and yet simultaneously a setback.
Da kommt es sehr darauf an, daß wir diese Kräfte jetzt nicht allein und in der Isolation lassen, worauf das Regime hinarbeitet.	What is very much at issue here is that we should not allow those forces to be isolated, which is what the regime is working towards.
Deshalb war es auch so verheerend, daß es zu diesen Entwicklungen bei dieser Konferenz in Berlin gekommen ist, die das Regime ja zu einem der Vorwände genommen hat, um gegen die Oppositionellen im Iran vorzugehen.	That is why it has also been so devastating that the developments at the conference in Berlin occurred, thus giving the regime a pretext for taking measures against the opposition in Iran.
Ich bin der Ansicht, daß in der Tat ein Dialog mit dem Iran die einzige Möglichkeit ist, um die Entwicklung dort zu beeinflussen.	I am convinced that a dialogue with Iran is, in fact, the only way to influence developments in that country.
Wir dürfen jetzt nicht mit Maßnahmen, die die Isolation fördern, die Opposition allein lassen, sondern wir müssen im intensiven Kontakt mit der Regierung, aber auch im intensiven Kontakt mit der Opposition und mit massiver Einflußnahme des Rates, des Europäischen Parlaments und der Kommission darauf dringen, daß dem Einhalt geboten wird, daß der ohnehin schwache, aber hoffnungsvolle Demokratisierungsprozeß im Iran wieder gänzlich abgewürgt wird!	We must not leave the opposition unsupported by adopting measures that encourage isolation. Instead, we should press, through intensive contacts not only with the government but also with the opposition, and by the Council, the European Parliament and the Commission bringing all their considerable influence to bear, for an end to these developments, and to ensure that the reform process in Iran, which is fragile but promising, is not once again choked at birth!
Birma	Burma
