Herr Präsident! Wenn man Probleme nicht anspricht, kann man sie auch nicht lösen.	– Mr President, problems cannot be solved unless they are addressed.
Schönreden hilft nie etwas.	Glossing over the issue never does any good.
Du, lieber Camiel Eurlings, beschreibst sehr genau, was in der Türkei nicht im europäischen Sinne ist.	Mr Eurlings describes very precisely the aspects connected with Turkey that run contrary to the spirit of Europe.
Ich möchte mich für deinen Bericht bedanken.	I should like to thank him for his report.
Tatsächlich gibt es dort in nahezu allen politisch relevanten Bereichen so gut wie keine Fortschritte, teilweise sogar Rückschritte.	In fact, virtually no progress has been made there in almost all the politically relevant fields – and in some cases the situation has even deteriorated.
Kein einziges der politischen Kriterien von Kopenhagen ist bis heute erfüllt.	Not a single one of the political Copenhagen criteria has been met to date.
Trotzdem wurden — gegen alle Regeln — Verhandlungen aufgenommen.	Nevertheless, against all the rules, negotiations were opened.
Unsere Befürchtung aus dem vergangenen Jahr hat sich bestätigt.	What we feared last year has come true.
Mit der Aufnahme der Beitrittsverhandlungen haben wir eines der letzten Druckmittel zur Erzwingung von Reformen aus der Hand gegeben.	By opening accession negotiations, we have let go of one of the last means of exerting pressure to force reform.
Der Reformprozess ist eingeschlafen.	The process of reform has petered out.
Bereits beschlossene Reformen werden nicht oder nur mangelhaft durch die staatlichen Stellen umgesetzt oder — wie jüngst geschehen — durch Parlamentsbeschlüsse wieder einkassiert.	Either governmental bodies have failed to implement at all or failed to implement properly reforms that had already been decided on, or – as happened recently – such reforms have been withdrawn by parliamentary decisions.
Zum Beispiel hat das türkische Parlament gegen den vehementen Protest der Europäischen Kommission das neue Antiterrorgesetz beschlossen. Die Folge: Die ohnehin immer noch eingeschränkte Meinungs- und Pressefreiheit wird weiter beschnitten.	For example, the Turkish Parliament adopted the new Anti-Terror Law despite vehement protests from the Commission, resulting in a further curtailment of the already limited freedom of expression and of the press.
Der türkische Ministerpräsident versucht, das Land schleichend zu islamisieren, indem er den EU-Prozess für seine Zwecke ausnutzt.	The Prime Minister of Turkey is using the EU process for his own ends and attempting to Islamise the country by stealth.
Damit spielt er wiederum den Nationalisten in die Hände, die sich vehement gegen die Europäisierung wehren.	By doing so, he is playing into the hands of the nationalists, who vehemently oppose Europeanisation.
Will Erdoğan überhaupt den EU-Beitritt?	Does Prime Minister Erdoğan even want the country to join the EU?
Seine Weigerung gegenüber Zypern unterstreicht zumindest, dass er die EU nicht akzeptiert.	At all events, his refusal to recognise Cyprus underlines the fact that he does not accept the EU.
Sollen wir so den Kandidaten Türkei akzeptieren können?	Is this kind of candidate acceptable?
Zypern ist ein Lackmustest.	Cyprus is a litmus test.
Sollte die türkische Politik hier nicht einlenken, müssen die Verhandlungen ausgesetzt werden.	If Turkish politicians do not give way on this, the negotiations must be discontinued.
Die Türkei ist jetzt — ohne Wenn und Aber und ohne neue Bedingungen und Forderungen zu stellen — in der Pflicht.	Turkey is now under obligation – without any ifs and buts and without imposing any new conditions or demands.
Das muss sich die Kommission auf die Fahnen schreiben, und das muss auch der Ministerrat endlich einfordern und durchsetzen.	The Commission must make this a mission, and the Council of Ministers, too, must demand the fulfilment of and enforce Turkey’s obligation at long last.
Alles andere wäre unfair gegenüber dem türkischen Volk, denn diese Menschen setzen doch Hoffnungen in uns.	Anything else would be unfair to the Turkish people, who are pinning their hopes on us.
Nur unser Druck bewirkt Veränderungen.	It is only our pressure that will effect change.
Wenn die Europäer wieder umfallen, sind wir endgültig eine Lachnummer, die niemand ernst nehmen kann.	If we Europeans fall down again, we shall be forever a laughing stock that no one can take seriously.
Nichts würde sich mehr in diesem Land bewegen.	Then nothing will change in that country.
