Herr Präsident, meine Damen und Herren! Warum jetzt?	Mr President, ladies and gentlemen, why now?
Warum Barroso?	Why Mr Barroso?
Das sind die beiden Fragen, auf die wir eine Antwort geben müssen.	These are the two questions which we need to answer.
Die Frage "Warum jetzt?" ist hier bereits erörtert worden.	The question 'Why now?' has already been covered here.
Wir stecken mitten in einer Finanz- und Wirtschaftskrise, und die Rahmenbedingungen für ein starkes Wirtschaftswachstum und mehr Arbeitsplätze werden nicht über Nacht geschaffen.	We are in the middle of a financial and economic crisis and the preconditions for strong economic growth and the creation of more jobs will not be established overnight.
Wir brauchen eine handlungsfähige Kommission, wir brauchen eine gemeinsame, europäische, langfristig wirkende Strategie.	We need an effective Commission and we need a common, long-term European strategy.
Damit können wir nicht erst nächstes Jahr anfangen, damit müssen wir sofort anfangen.	We cannot start work on this next year; we must begin immediately.
Deswegen müssen wir auch jetzt abstimmen.	This is why we also need to vote now.
Warum Barroso?	Why Mr Barroso?
Ich freue mich über das klare Bekenntnis des Kommissionspräsidenten - des Kandidaten - zur sozialen Marktwirtschaft, zum Wettbewerb und zum Binnenmarkt.	I am pleased about the clear declaration by the Commission President, the candidate, on the social market economy, on competition and on the internal market.
Wir als Liberale haben da auch hohe Erwartungen und Forderungen.	As liberals, we also have high expectations and demands.
Wir erwarten, dass gemeinsam mit den Mitgliedstaaten tatsächlich eine gemeinsame Strategie entwickelt wird.	We expect that a common strategy will be developed jointly with the Member States.
Es wird mittelfristig nicht ausreichen, dass nur ein Netzwerk von Regulatoren die Finanzmärkte überwacht.	In the medium term, it will not be enough to have a network of regulators monitoring the financial markets.
Wir brauchen eine einheitliche europäische Finanzaufsicht.	We need a single European financial supervisory body.
Guy Verhofstadt hat es eben gesagt: Diese Halbzeitüberprüfung wird für uns entscheidend sein.	As Guy Verhofstadt has just said, the mid-term review will be decisive for us.
Wir als Liberale sehen es positiv, dass der Grundrechtekommissar kommt.	As liberals, we believe that the creation of the Commissioner for Fundamental Rights is a positive move.
Wir wollen, dass er wirkliche Kompetenzen bekommt.	We want him to have genuine authority.
Für alle, die nicht wissen, was damit gemeint ist: Datenschutz, die Behandlung von Flüchtlingen an den Außengrenzen Europas - das sind alles Themen, die nach mehr Aufmerksamkeit verlangen.	For anyone who does not know what is meant by this: data protection and the treatment of asylum seekers at Europe's external borders are both subjects which require more attention.
Lassen Sie mich ein paar Worte zu dem sagen, was hier gerade zur politischen Konstellation angeführt worden ist.	I would like to say a few words about the comments made here on the political situation.
Ich bedaure es ausdrücklich, dass die Mehrheit der Sozialdemokraten morgen nicht für Sie stimmen wird.	I very much regret that the majority of social democrats will not be voting in your favour tomorrow.
Die Sozialdemokratie verabschiedet sich damit aus der pro-europäischen Allianz, die wir gerade bei europapolitischen Fragen haben wollen.	The social democrats are thus withdrawing from the pro-European alliance which we wanted to establish, particularly in the case of European policy issues.
Die Herren Schulz, Bisky und Cohn-Bendit organisieren hier eine rot-rot-grüne Blockade Europas oder sie versuchen es zumindest.	Mr Schulz, Mr Bisky and Mr Cohn-Bendit are organising a red/red/green blockade of Europe, or at least they are trying to.
Entscheidend ist Folgendes: Wir können uns gegen die Zustimmung der Europäischen Konservativen nicht wehren, aber entscheidend ist, dass Liberale und Christdemokraten die Handlungsfähigkeit Europas erhalten.	The decisive factor is as follows: we cannot defend ourselves against the agreement among the European conservatives, but it is crucial that the liberals and Christian democrats maintain Europe's ability to act.
