Herr Präsident, eigentlich ist das ja ein Stück aus dem Tollhaus!	Mr President, this is lunacy!
Wir haben eine Verordnung, die fünf Jahre alt ist, ein vom Rat verabschiedetes Gesetz, und die Kommission setzt sich einfach hin und erläßt die Durchführungsbestimmungen nicht!	Here we have a five-year-old regulation - a piece of legislation adopted by the Council - and the Commission simply digs its heels in and fails to put through the implementing provisions.
Vielleicht macht das ja Schule.	Is this what we can expect to see in future?
Da ist ein Lobbyverband - diesmal ist es die Pelzindustrie aus Kanada, Amerika und Rußland -, die hier besonders stark Sturm läuft, und dann haben wir nichts!	Along comes a lobby group - in this instance the Canadian, American and Russian fur industry - and kicks up a big fuss, and we are left with nothing.
Dann könnten wir uns doch hier viel Arbeit sparen.	If that is the shape of things to come, then we can save ourselves a great deal of work.
Ich finde das unerhört!	I think it is outrageous!
Ich finde etwas noch unerhörter, und ich sage das jetzt ganz dreist: Den Bericht, die Änderungsanträge und die Vorschläge von Herrn Pimenta, die wirklich sehr gut sind und die wir voll unterstützen werden, werden Sie gar nicht berücksichtigen.	Even more outrageous - and I shall not mince my words here - is the fact that virtually no notice will be taken of the amendments and proposals in Mr Pimenta's report, although they are excellent and have our full support.
Wo kommen wir eigentlich hin?	And where will we be then?
Dann machen wir doch gleich die Bude für die Hälfte der Woche zu, weil Sie ja doch die Hälfte der Arbeit nicht ernst nehmen!	We might as well shut up shop for half the week, because half our work is not being taken seriously by the Commission.
Was soll denn so etwas?	What exactly do they think they are doing?
Ich sage Ihnen noch etwas.	I shall tell you another thing.
Im nächsten Jahr geht es um humane Fangmethoden. Humane Fallen sollen entwickelt werden.	Over the next year, there are to be talks on humane trapping methods, and humane traps are to be developed.
Was für ein Quatsch!	What rubbish!
Es gibt keine humanen Fallen.	There are no such things as humane traps.
Ob der Bügel nun noch ein bißchen gepolstert ist oder nicht, das Tier da drin krepiert elendig!	Whether or not there is a bit of padding on the teeth of a trap, the animal in it will die a miserable death.
Es gibt auch keine selektiven Fallen.	Nor is there such a thing as a selective trap.
Ein Tier kann nicht lesen, wenn da drauf steht: Liebes Tier, du Luchs darfst in diese Falle nicht rein gehen!	An animal cannot read a sign that says 'Lynxes please do not use this trap' !
Es gibt keine selektiven Fallen.	There are no selective traps.
Da gehen geschützte Arten rein, und das ist wirklich pure Tierquälerei.	Protected species also get caught, and trapping is simply inhumane.
Wenn man Tiere unbedingt fangen muß, dann soll man sie vernünftig schießen.	If people insist on catching animals, then they should be sensible and shoot them.
Alles andere ist Tierquälerei.	Any other method is inhumane.
Ich verstehe auch ganz und gar nicht, warum wir die Pelzlobby unterstützen müssen, warum Tierarten gejagt werden durch den Menschen und dadurch, daß wir die Umwelt so versauen, nun schon fast alle ausgestorben sind.	I fail to see one good reason for supporting the fur lobby, hunting animal species and damaging the environment to the point that they are now almost all extinct.
Warum müssen sich ein paar Leute mit diesen Pelzen schmücken, verdammt nochmal!	Damn it all, why should a few people deck themselves out in furs?
Das ist doch auch nicht nötig!	There is no call for it.
Wir müssen lernen, anders mit dem, was uns die Natur geschenkt hat, umzugehen, und das heißt ganz bestimmt nicht, daß wir noch die letzten Felle schleppen müssen.	We must develop a different relationship with the gifts that nature has given us, and that certainly does not mean that we have to carry off the last remaining animal pelts.
Wem die Menschen jetzt so am Herzen liegen - ich höre immer Bedauern angesichts der armen indigenen Völker -, so muß ich Ihnen ehrlich sagen, das ist Heuchelei.	As for those who are so concerned about human beings - and I hear endless expressions of sympathy for the poor native peoples - I have to tell them quite frankly that they are hypocrites.
Wir importieren nämlich ganz heuchlerich und ganz ohne jegliche Scham von denen Uran, und das wird immerhin an ihren heiligen Stätten abgebaut. Die Wälder werden da alle abgeholzt, die Menschen verlieren ihre Heimat, und das Holz importieren wir.	We are shamelessly hypocritical when we import uranium which continues to be mined at the sacred sites of native peoples; when forests are felled and people lose their homelands and we import the wood.
Das sind doch bitte schön die Fakten, und ich möchte Sie nun ernsthaft fragen, wann Sie eigentlich unsere Verordnungen ernst zu nehmen gedenken, oder ob es in Zukunft so weiter geht, daß einfach nichts geschieht!	Those are the facts, if you please, and I would ask the Commission seriously if it has any intention of respecting our regulations, or if the situation will simply continue as before, with nothing being done!
