Herr Präsident! Ich bin froh, dass es im 15. Jahrhundert keine Europäische Kommission gegeben hat.	Mr President, I am glad that the European Commission did not exist in the 15th century.
Wenn es sie gegeben hätte, wären wahrscheinlich Herr Kolumbus und seine Freunde in den nächsten Container gesegelt und untergegangen und nicht in die Vereinigten Staaten oder nach Amerika gekommen.	If it had existed, Christopher Columbus and his companions would probably have sailed in the next container, which would promptly have sunk, and they would never have reached the continent of America.
Wir wissen, was schuld an diesem Problem ist.	We know what the cause of this problem is.
Wir wissen, dass etwas getan werden muss.	We know that something needs to be done about it.
Und was sagt die Kommission?	What does the Commission say?
Sie sagt: Es ist nichts zu tun.	It says that it is not possible to do anything.
Das ist nicht hinzunehmen.	This is simply not acceptable.
Wenn wir wissen, dass falsche Lagerung schuld ist, wenn wir wissen, dass die Container schlecht befestigt sind, dass sie überlastet sind und dass sie, auch wenn kein Sturm weht, ins Wasser fallen, und wenn wir außerdem wissen, dass ein einzelnes Land mit seinen Regelungen daran nichts ändern kann, wer soll denn sonst etwas ändern, wenn nicht die Kommission, die dafür zu sorgen hat, dass in europäischen Gewässern dieser Umstand abgestellt wird.	We know that inaccurate stowage is the cause, that the containers have faulty lashings, that they are overweight, that they fall into the water even when the weather is not stormy and that individual countries with their own regulations cannot change any of this. Who else should be bringing about change, if not the Commission, which is responsible for ensuring that things like this do not happen in European waters.
Es sind ja nicht nur die Umweltschäden, die uns belasten.	It is not only the environmental damage that we are concerned about.
Es werden ja auch Menschenleben gefährdet.	Human lives are also being put at risk.
Was ist, wenn kleinere Schiffe aus Plastik, aus Kunststoff mitten im Atlantik diese Container rammen?	What would happen if a small boat with a plastic hull were to ram one of these containers in mid-Atlantic?
Die gehen unter.	It would sink.
Und es gehen nicht nur die Schiffe unter, es gehen auch die Menschen unter, die drauf sind.	It would not just be the boat itself that would sink, but also the people on board.
Es ist nicht so lustig, sich mitten im Nordatlantik längere Zeit mit einer Schwimmweste aufzuhalten.	Spending a long period in the water in the middle of the North Atlantic wearing a life jacket is not much fun.
Das ist etwas, was wir berücksichtigen müssen.	This is something which we need to take into account.
Deshalb finde ich es falsch, dass nichts passiert.	Therefore, I think it is wrong that nothing is happening.
Ich bin der Auffassung, es müssen raschest Regelungen seitens der Europäischen Kommission ins Leben gerufen werden, die diesen Umstand abstellen.	I believe that the European Commission must introduce regulations as quickly as possible in order to put an end to this situation.
Es ist gefährlich, es ist schlecht, und man muss etwas tun.	It is dangerous, it is wrong and something must be done.
Ich ersuche die Kommission ganz dringend, etwas zu tun, weil sie dafür zuständig ist.	I am calling on the Commission to take urgent action, because it is responsible in this case.
