Herr Präsident! Ich finde, dass dieser Konflikt doch sehr oft einseitig dargestellt wird.	Mr President, I think that this conflict is very often presented in a very one-sided manner.
Ich kann mich dem Vorredner anschließen, dass es im augenblicklichen Fall doch wirklich sehr häufig um Angriffe von Uiguren auf Han-Chinesen geht, und zwar Angriffe, die zum Teil auch rassistische Hintergründe haben.	I agree with the previous speaker that in the present case it is frequently a matter of attacks on Han Chinese by Uighurs and indeed that some of these attacks are racially motivated.
(Zwischenrufe)	(Heckling)
Ich habe z. B. ein Interview mit einer uigurischen Frau gelesen, die gesagt hat: Wollen Sie sich etwa von gelben Kommunisten regieren lassen?	I read an interview with a Uighur woman, for example, who said: Would you like to be governed by yellow communists?
Die Uiguren genießen in ihrer Region sehr viele Privilegien, sie dürfen z. B. mehrere Kinder bekommen, sie dürfen ihre Religion auch während der Arbeitszeit ausüben und vieles mehr.	The Uighurs enjoy many privileges in their region, for example they are allowed to have more children, they are allowed to practice their religion even during working hours and there are many other examples.
Da gibt es auch viel Neid von den örtlichen Han-Chinesen.	Many of the local Han Chinese are also envious of them.
Deshalb sollte man doch sehr differenziert hinschauen und über Ursache und Wirkung forschen.	We ought therefore to be very discriminating in our observation of this situation and investigate the causes and effects.
Manchmal liegen Probleme auch anderswo, als es auf den ersten Blick den Anschein hat oder haben soll.	Sometimes problems do not lie where they seem to at first glance.
Wir sollten uns hüten, einseitig Position zu beziehen.	We should be careful not to take a one-sided position.
Wir sollten die Chinesen dabei unterstützen, ihre Probleme zu lösen.	We ought to support the Chinese in solving their problems.
Die einseitige Sichtweise, die hier sehr oft vorgetragen wird, halte ich für sehr gefährlich.	The one-sided view that is so often presented in this House is, in my opinion, dangerous.
Die chinesische Regierung räumt durchaus Unzulänglichkeiten in ihrer Minderheitenpolitik ein. Sie räumt auch Versäumnisse ein.	The Chinese Government certainly has shortcomings in its policy towards minority groups and it has its failures too.
Sie zeigt aber auch Willen, vieles zu verbessern.	However, it is also showing the will to improve in many areas.
Da sollten wir durch vertrauensvolle und sicherlich auch kritische Zusammenarbeit helfen.	We should therefore help it in this regard through cooperation - and indeed also critical cooperation - based on trust.
