Herr Präsident, ich möchte mich ganz gerne dem Dank an Herrn Newman anschließen.	Mr President, I heartily endorse your words of gratitude to Mr Newman.
Er sagt, er sei seit der Gründung des Petitionsausschusses im Januar dort Mitglied.	As he told us, he has been a member of the Committee on Petitions since it was created in January 1987.
Ich bin damals im März ins Parlament eingerückt und bin seither auch im Petitionsausschuß, wo ich seine Arbeit und sein Wirken für die Bürgerinnen und Bürger sehr wohl beobachten konnte.	I entered Parliament in March of the same year, and ever since then I have been a member of the Committee on Petitions, where I have been able to observe his efforts and his achievements on behalf of the European people.
Ich möchte ihm dafür herzlich danken, aber auch für diesen Jahresbericht und Frau De Esteban Martín für den Bericht über den Jahresbericht des Bürgerbeauftragten.	I should like to express my sincere thanks to him for that and for this annual report. May I also thank Mrs De Esteban Martín for her report on the Ombudsman's annual report.
Sie haben beide, wie auch Herr Södermann selbst, einen Bericht vorgelegt, der sehr eingehend aufzeigt, daß der Dialog mit den Bürgerinnen und Bürgern ein unverzichtbarer Teil eines demokratischen Europas ist und auch weiter sein wird.	Both of them, like Mr Söderman himself, have presented reports which show very comprehensively that dialogue with the people is an indispensable element of European democracy and will remain so.
Das heißt für uns: Der Petitionsausschuß ist das Scharnier zwischen der europäischen Bevölkerung und dem Parlament, wenn es darum geht, das Gemeinschaftsrecht durchzusetzen.	What this means for us is that the Committee on Petitions is the interface between the European people and their Parliament when it comes to enforcing Community law.
Das wird leider allzu oft von den nationalen, regionalen und kommunalen Behörden mißachtet, sei es aus Unwissenheit, sei es aus bürokratischer Macht, gepaart mit nationalen Egoismen.	Regrettably, that fact is all too often disregarded by national, regional and local authorities, whether out of unawareness or because of a combination of bureaucratic power and national self-seeking.
So konnten wir in einigen Fällen, z.B. in den Bereichen Anerkennung von Diplomen oder Berufsabschlüssen, Erstattung von Sozialleistungen und Umweltrisiken, weiterhelfen bzw. die Probleme der Petenten lösen.	By acting as that link, we have been able to assist in some cases, for example in securing recognition of academic or professional qualifications and provision of welfare benefits, as well as in solving petitioners' specific problems.
Damit auch in Zukunft der direkte Kontakt mit den Bürgerinnen und Bürgern gewährleistet ist, plädieren wir im Ausschuß einhellig für die Beibehaltung eines eigenständigen Petitionsausschusses.	So that this direct contact with the citizens of the Union continues to be guaranteed in future, we in the committee are unanimous in advocating the preservation of a separate Committee on Petitions.
Um das allgemeine Informationsdefizit über die Rechte in der EU-Bevölkerung abzubauen, fordern wir die Dienststellen von Parlament und Kommission auf, Telefonberatungsstellen in den Mitgliedstaaten einzurichten und vor allem auch die gesamte Telematik und Informationstechnologie mit ihren Möglichkeiten weiter auszubauen.	In order to overcome the general information deficit among the people of Europe as regards their rights, we call on the relevant administrative departments of Parliament and the Commission to establish telephone advice centres in the Member States, and in particular to go on developing the whole sphere of information and communication technology with all the opportunities it offers.
Die Zusammenarbeit mit dem Bürgerbeauftragten klappte eigentlich immer bestens.	Our cooperation with the Ombudsman has always been extremely fruitful.
Ich möchte mich dafür nochmals bei Herrn Södermann ganz herzlich bedanken, auch dafür, daß er sich bei der Auseinandersetzung mit den europäischen Verwaltungen niemals von ersten abwiegelnden Antworten der Verwaltung entmutigen ließ, sondern weiter insistierte.	For that I should like to reiterate my sincere thanks to Mr Söderman who, in his wrangling with European administrative bodies, has never been deterred by the initial placatory answers he has received from administrators but has insisted on a satisfactory response.
Seinen Initiativen und Untersuchungen ist es zu verdanken, daß mehr Transparenz und Offenheit in die europäische Bürokratie einzieht.	His initiatives and enquiries have brought greater transparency and openness to the European bureaucracy.
Denn der Entwurf eines Verhaltenskodex der guten Verwaltungspraxis, den die Kommission im Januar vorgelegt hat, war auf seine Initiative gemeinsam mit der Initiative von Herrn Perry erarbeitet worden.	Indeed, the draft code of conduct for good administrative practice which the Commission presented in January was developed as a result of his own initiative, together with that of Mr Perry.
Wir fordern deshalb, daß dem Bürgerbeauftragten bei seinen Untersuchungen der Zugang zu allen Dokumenten ermöglicht wird und er ohne hierarchische Zwänge von allen Personen in den Verwaltungen Auskünfte erhält, damit er ohne unnütze Hindernisse arbeiten kann.	We therefore call for the Ombudsman to be given access to all documentation in the pursuit of his enquiries and for all civil servants to provide him with the information he needs, rather than having to refer him to their superiors; these measures must be implemented so that the Ombudsman can work without unnecessary obstacles.
Ich bin der Überzeugung, daß die Zusammenarbeit zwischen dem Petitionsausschuß mit seinen Möglichkeiten und dem Bürgerbeauftragten mit seinem Aufgabenkreis für die Demokratie in der Europäischen Union und zugunsten der Durchsetzung der Rechte der Bürgerinnen und Bürger einen immer höheren Stellenwert erhalten wird.	I am convinced that cooperation between the Committee on Petitions, with its scope for intervention, and the Ombudsman, with his wide remit, will become an increasingly important factor in the promotion of democracy and the enforcement of citizens' rights in the European Union.
