Herr Präsident! Herr Kommissar, ich habe drei Fragen an Sie.	Mr President, Mr De Gucht, I have three questions for you.
Erste Frage: Wir brauchen faire Wettbewerbsbedingungen.	My first question concerns the need for fair competition conditions.
Wenn ich mir angucke, dass Arbeitnehmerrechte in Südkorea eingeschränkt sind, dann gibt es dort unlautere Wettbewerbsbedingungen, zum Beispiel die Frage der kollektiven Handlungsmöglichkeiten.	The fact that employees' rights in South Korea are restricted means that there are unfair competitive conditions, which include the question of collective action.
Im Strafgesetzbuch in Südkorea, Paragraph 314, gibt es einen Straftatbestand "Betriebsstörung", und der wird angewandt, um Streiks zu verhindern und Gewerkschafter in ihren Rechten einzuschränken, zum Beispiel im Fall Ssangyong.	Paragraph 314 of the South Korean Criminal Code refers to the crime of 'disrupting operations'. This is used to prevent strikes and to limit the rights of trade unions, for example, in the case of Ssangyong.
Ich frage mich sowieso, warum Freihandelsabkommen gerade mit den Ländern geschlossen werden, die am meisten Probleme mit ILO-Standards haben wie Südkorea oder Kolumbien.	I would also like to know why we are concluding free trade agreements with countries such as South Korea and Colombia which have the most problems with the standards of the International Labour Organisation.
Also meine erste Frage: Wie wollen Sie durch das Freihandelsabkommen sicherstellen, dass es keine unlauteren Wettbewerbsbedingungen durch Einschränkung der Arbeitnehmerrechte in Südkorea gibt?	Therefore, my first question is this: How do you propose to use the free trade agreement to ensure that there are no unfair competition conditions in South Korea caused by restrictions on employees' rights?
Zweite Frage: Die Probleme der Automobilindustrie sind schon von mehreren Kollegen angesprochen worden.	My second question relates to the problems in the car industry, which several other speakers have also referred to.
Da ist es ganz entscheidend, dass es vernünftige Sicherheitsklauseln gibt.	It is very important in this case that there are sensible safeguard clauses.
Wenn man sich das jetzt anguckt - da gibt es allgemeine Sicherheitsklauseln, wenn es zu großen Marktstörungen kommt, und da gibt es Sicherheitsklauseln für das Duty-drawback-System.	General safeguard clauses are currently in place for major market disruptions and for the duty drawback system.
Ich bin nicht in der Lage, das korrekt zu verstehen.	I am not able to understand this fully.
Herr Kommissar, vielleicht können Sie mir in einfachen Worten die Sicherheitsklauseln erklären.	Mr De Gucht, perhaps you could explain the safeguard clauses to me in simple terms.
Und vor allen Dingen, wer kann sie wann auslösen?	I would particularly like to know who can trigger them and when.
Meine dritte Frage: Wir haben durch den Lissabon-Vertrag ja eine neue vertragliche Grundlage unserer Zusammenarbeit.	My third question concerns the new contractual basis for our cooperation introduced by the Treaty of Lisbon.
Dazu gehört, dass Sicherheitsklauseln und die Implementierung in der Mitentscheidung verabschiedet werden.	This includes approving safeguard clauses and implementation as part of the codecision process.
Können Sie mir garantieren, dass das Freihandelsabkommen nicht in Kraft gesetzt wird, bevor das Parlament dieses Verfahren verabschiedet hat, sondern erst dann, wenn das Parlament in seinen Rechten gewirkt hat und auch die Safeguard-Klauseln verabschiedet sind?	Can you guarantee that the free trade agreement will not be put into force until Parliament has approved this procedure and only after Parliament has exercised its rights and adopted the safeguard clauses?
