. – Herr Präsident, Herr Kommissar!	.
Sie haben einen guten Vorschlag vorgelegt. Wie Sie in Ihrer Ansprache gesagt haben, geht es um eine Tierkrankheit.	Mr President, Commissioner, the proposal put forward by the Commissioner is a good one, and, as he said in his speech, what we are dealing with here is an animal disease.
Dass sie jetzt in Verbindung mit möglicher Übertragung steht, darf uns nicht in Hektik verfallen lassen. Vielmehr müssen wir die Koordinierung zwischen Veterinär- und Humanbereich im Auge behalten.	Although a link has now been established with the possibility of its onward transmission, we must not allow ourselves to be panicked, and must not lose sight of the need for coordination between the veterinary and human spheres.
Es geht jedoch zunächst um eine Tierkrankheit. Daher finde ich die Ruhe, die Sie an den Tag legen, ganz vernünftig, weil wir sonst in der Hektik des Tagesbetriebes möglicherweise untergehen.	We are dealing, after all, in the first instance with an animal disease, and so I find your manifest calm perfectly understandable, for the alternative is to run the risk of being swamped by day-to-day panic measures.
Positiv an dem Vorschlag ist, dass die Frage „Impfen oder nicht impfen?“ damit geklärt ist.	The good thing about the proposal is that it answers the question ‘to inoculate or not to inoculate?’
Sie wissen – oder ich weiß es sogar etwas besser, weil ich länger in diesem Parlament bin –, dass es hier jahrelang Auseinandersetzungen gegeben hat, bei denen die Frage immer lautete: Soll es eine ständige Impfung geben oder soll es eine prophylaktische, auf den konkreten Krankheitsfall bezogene Impfung geben?	As you know – and I know all the more, having been in this House for longer – this has been the subject of debate over many years, the issue always being whether vaccination should be ongoing or, alternatively, prophylactic and in response to a specific occurrence of disease.
Wir waren im Parlament immer für Letzteres, also das, was Sie jetzt vorschlagen. Es ist aber immer in Verbindung gebracht worden mit dieser grundsätzlichen Frage.	Here in this House, we have always favoured the latter option, which is the one you are now proposing, but it has always been mentioned in the same breath with this fundamental question.
Dass hier nun eine Trennung vorgenommen wird, ist ein Verdienst, das Sie mit diesem Vorschlag errungen haben.	The merit of your proposal, though, is that it separates the two.
Aus diesem Grund unterstützen wir diesen Vorschlag.	It is for this reason that we endorse your proposal.
Auch sollten wir in dieser Diskussion Begriffe wie „vernichten“ und „zerstören“ vermeiden. Es geht hier um Tiere bzw. um Lebensmittel, denn es sind ja Tiere, die in Lebensmittel überführt werden.	There is no place either in this debate for such terms as ‘exterminate’ and ‘destroy’; we are dealing here with animals or with food, since it is animals that find their way into food products.
Das, was wir in den vergangenen Jahren an Bildern gesehen haben – angefangen von BSE über die Keulungen bei der Maul- und Klauenseuche bis hin zur Pest bei Hühnern und bei Schweinen –, war auch schlecht für das kulturelle Ansehen Europas in der Welt.	The images presented to us over the past years – ranging from BSE to the diseases of poultry and swine via the cullings for foot-and-mouth disease – did Europe’s cultural credibility in the world’s eyes no good at all.
Von daher denke ich, dass wir auf einem guten Wege sind.	This is what leads me to believe that we are on the right track.
Was ich Ihnen gerne ans Herz legen möchte, ist, dass wir gemeinsam mit der Kommission die Frage der Anfälligkeit diskutieren. Hier gilt es zu unterscheiden zwischen den neuen, auf technische Verwertung und Massentierhaltung bezogenen Rassen und den regional angepassten Rassen, also dem Wild, das ja zum Teil das Virus in sich trägt, ohne klinisch krank zu werden.	The recommendation I would like to give you is that we should join with the Commission in discussing the issue of susceptibility, in relation to which we need to draw a distinction between the new breeds, which are intended for technical treatment and intensive rearing, and the regionally adapted breeds, that is to say those that live in the wild, some of which do indeed carry the virus without becoming clinically ill.
Dieses Nebeneinander gilt es zu organisieren und dafür dürfen wir nicht in die falsche Diskussion verfallen und uns fragen: Sollen wir jetzt die Natur abschaffen und nur noch künstliche und technische Haltung von Tieren betreiben?	The way they coexist needs to be organised, and so we must not fall into the trap of conducting the wrong debate, asking ourselves whether we should now do away with nature and have purely artificial and technical animal husbandry from now on.
Hier muss vielmehr eine Korrespondenz stattfinden, die nicht nur auf Europa bezogen ist, sondern auch nach Asien getragen werden soll.	What is instead needed here is an exchange of views, not only with reference to the European situation, but also carried over into Asia.
Dort müssen wir technische Hilfe leisten und weltweit Vorsorge treffen, damit wir die Tiere gesund halten und somit uns Menschen vor der möglichen Variation und Mutation von Viren schützen, die uns gefährlich werden können.	It is there that we must provide technical aid and around the world that precautions must be taken if animals are to be kept healthy and people such as ourselves protected from the possibility of viruses altering and mutating to our own peril.
