Herr Präsident, danke für diese Ausnahme.	Mr President, thank you for allowing this exception.
Im Namen meiner Fraktion möchte ich drei wesentliche Punkte hervorheben, zunächst einmal den Betrag der Erhöhung: 700 Millionen ECU.	On behalf of my group, I should like to highlight three important points, and firstly the amount of the increase: ECU 700 million.
Auch wenn in allen Staaten und auf Unionsebene jetzt allgemein Sparzwang herrscht, meinen wir doch, daß es dringend nötig ist, in die Zukunft zu investieren.	Even though savings are now the order of the day in all the Member States and at EU level, we believe that there is an urgent need to invest in the future.
Und dies geht nur durch Innovationen, deren Grundlage nun mal Forschung und Entwicklung sind.	And this can only be done through innovation, the basis for which is research and development.
Deswegen haben wir diesem Gesamtbeitrag zugestimmt.	That is why we have endorsed this overall sum.
Zum zweiten sind wir in Übereinstimmung mit dem Grünbuch über Innovationen der Meinung, daß die Verbreitung und Nutzung der Resultate verbessert werden muß.	Secondly, we agree with the Green Paper on innovation that the dissemination and exploitation of results must be improved.
Dem haben wir Rechnung getragen mit unserem Änderungsantrag zur Verteilung der Mittel.	We have taken this into account in our amendment on the allocation of resources.
Auch wenn dafür nicht nur Geld nötig ist, so hilft es doch sehr!	Even though money is not all that is needed here, it certainly does help!
Drittens befinden wir uns eigentlich in einem Zwischenstadium in der Mitte des Vierten Rahmenprogramms.	Thirdly, we are in fact in a transitional phase, in the middle of the fourth framework programme.
Trotzdem sind die Diskussionen zum Teil mit ungewohnter Heftigkeit geführt worden. Dies ist darauf zurückzuführen, daß neue Orientierungen in den Forschungsinhalten übers Knie gebrochen wurden.	The discussion has in some cases been unusually heated, however, due to the fact that the thrust of the research topics was altered in an over-hasty way.
Wir gehen davon aus, daß die Zusammenarbeit bei der Vorbereitung des Fünften Rahmenprogramms geschmeidiger und entspannter verläuft.	We hope that the consultation process in preparation for the fifth framework programme will be smoother and more relaxed.
Zuletzt möchte ich dem Berichterstatter für die offene und faire Zusammenarbeit und auch der Kommissarin dafür danken, daß sie nach einigen Anlaufschwierigkeiten doch den Dialog mit dem Parlament gesucht und gefunden hat.	Finally, I am grateful to the rapporteur for having worked with us in such an open and fair manner, and I would thank the Commissioner for having sought and conducted a dialogue with Parliament, after certain initial difficulties.
Im übrigen hat schon mein Vorredner Gordon Adam gesagt, wir brauchen hier eine absolute Mehrheit.	As Gordon Adam has already said, we do need an absolute majority in Parliament.
Deswegen war auch innerhalb des Parlamentes der Zwang zur Einigung ganz groß, was in unseren Kompromißanträgen seinen Niederschlag gefunden hat.	For that reason, there has been a strong desire in the House to reach an agreement, and this is reflected in our compromise proposals.
