Herr Präsident! Die Beziehungen zu Russland sind von strategischer Bedeutung.	Mr President, our relations with Russia are of strategic importance.
Wenn wir die Entwicklungen im Mittleren Osten sehen und berücksichtigen, in welcher Weise Russland im Sicherheitsrat in den Fragen Iran, Nordkorea und bei ähnlichen Problemen gebraucht wird, dann wissen wir, dass es in unserem Interesse ist, Russland in solchen Fragen auf unserer Seite zu haben.	Looking at the developments in the Middle East and considering the use made of Russia in the Security Council in matters relating to problem areas such as Iran and North Korea, we know that it is in our interests to have Russia on our side when dealing with these.
Wir wissen auch, dass im Rahmen der Ausdehnung des Mandats zur Aushandlung eines neuen Partnerschafts- und Kooperationsabkommens gerade Fragen, die mit Energiesicherheit und mit Demokratie und Menschenrechten in Russland zu tun haben, in dieses Abkommen aufgenommen werden sollen. Um das zu erreichen, muss man verhandeln. Deshalb ist ein Veto nicht hilfreich, weil man dann in solchen Fragen nicht zu einer Lösung kommt.	We also know that mandate to negotiate a new partnership and cooperation agreement is to be extended to include the incorporation into that agreement of matters touching on energy security, democracy and human rights in Russia, and, if that is to be done, then negotiations are necessary, and a veto, by preventing the resolution of such issues, is not helpful.
Dabei scheint es mir auch außerordentlich wichtig, dass Kommission und Rat bei ihren Verhandlungen zur Kenntnis nehmen - Sie können dies ja auch als Argument benutzen -, dass ein solches Abkommen am Ende vom Europäischen Parlament ratifiziert werden muss und dass wir kein Abkommen akzeptieren werden, das bestimmte Bedingungen, beispielsweise bei den Menschenrechten oder der Energiesicherheit, nicht entscheidend im Sinne der Solidarität aller Mitgliedstaaten der Europäischen Union mit berücksichtigen würde.	At the same time, though, it strikes me as of the utmost importance that the Commission and the Council, in the course of their negotiations, should bear it in mind - and you can use this as an argument, if you like - that any such agreement must, at the end of the day, be ratified by Parliament and that we will not accept an agreement that does not include certain conditions that are decisive in terms of solidarity between all Member States of the European Union.
Lassen Sie mich einen Punkt ansprechen, der deutlich macht, dass dieses unser strategisches Interesse natürlich auch dann befördert wird, wenn die Europäische Union in den außenpolitischen Fragen als Einheit auftritt, aber auch deutlich macht, dass in kleineren Fragen wie beispielsweise der Handelsfrage mit Polen, Solidarität gezeigt werden kann.	I would like to address one thing that makes it clear that it is self-evidently in our own strategic interest if the European Union acts as one in foreign policy matters, while also making clear that solidarity can be manifested also in smaller matters such as, for example, the issue of trade with Poland.
Wenn der Eindruck entsteht, dass man bei Handelsmaßnahmen eines Drittlandes im Falle, dass es Deutschland oder Großbritannien oder Frankreich trifft, sofort up in arms ist und großes Theater gemacht wird, dann haben kleinere oder neue Mitgliedstaaten das Gefühl, dass man ihre Probleme nicht entsprechend berücksichtigt, und wir haben ein Problem mit der Glaubwürdigkeit.	If the impression is given that we are up in arms about the trade measures of a third country when they affect Germany, or the United Kingdom, or France, and make a great song and dance about it, smaller or newer Member States get the idea that their problems are not treated as being equally important, and we end up with a credibility problem.
Deswegen kann ich Polen verstehen, so wie diese Handelsfrage Russland/Polen bisher behandelt wurde.	In view of the way in which this issue of trade between Russia and Poland has been handled so far, I can quite understand what the Poles are getting at.
Es gibt keine Maßnahmen mehr gegen ein einziges Land, weil es nämlich nur noch eine einheitliche Handelspolitik gibt!	No actions are now being taken against a single country, quite simply because there is now only one trade policy.
Deswegen bitte ich die Kommission und das für Handelsfragen zuständige Kommissionsmitglied, dies in Zukunft auf die Prioritätenliste zu setzen. Das hat man weder im Falle Polen noch vor einem Dreivierteljahr im Falle Iran/Dänemark getan.	I therefore ask the Commission, and the member of it with responsibility for trade matters, to put this on the priority list in future, something that was not done for Poland, or, indeed, in the matter between Iran and Denmark three-quarters of a year ago.
Ich glaube, dass die Kommission verstehen muss, dass dies eine wichtige Botschaft an die Bevölkerung der Mitgliedstaaten ist, dass wir ihre Sorgen ernst nehmen und uns um sie kümmern.	I think the Commission has to come to understand that this sends an important message to the people living in the Member States, that message being that we take their concerns seriously and care about them.
Dann fällt es auch leichter, in anderen Fragen eine Einigung zu erzielen.	That makes it easier to achieve agreement on other matters.
