Mitglied der Kommission. - Herr Präsident, verehrte Abgeordnete!	Member of the Commission.
Ich danke Ihnen für die Gelegenheit, hier im Parlament mit Ihnen über die Flutkatastrophe in Madeira zu sprechen.	Mr President, honourable Members, I would like to thank you for the opportunity to speak to you here in Parliament about the floods in Madeira.
Sie haben einen eindrucksvollen Appell an die Kommission gerichtet, Madeira in der jetzigen Lage beizustehen und ein Zeichen europäischer Solidarität zu setzen.	You have made an impressive appeal to the Commission to assist Madeira in its current situation and to show a sign of European solidarity.
Dazu ist die Kommission bereit.	The Commission is prepared to do that.
Wie dies genau geschehen kann, muss in den nächsten Tagen und in wenigen Wochen in enger Kooperation mit den Behörden Portugals geklärt werden.	Precisely how it can do that will need to be worked out in the next few days and weeks in close cooperation with the Portuguese authorities.
Die Regeln des Fonds müssen und werden wir beachten.	We must, and will, observe the rules of the Fund.
Wo sie einen Spielraum bieten, wird die Kommission ihn zugunsten Madeiras nutzen.	Where they provide some leeway, the Commission will use that for the benefit of Madeira.
Zuerst müssen die Schäden bewertet werden, dann muss ein Antrag auf Hilfe erarbeitet und vorgelegt werden.	First of all, the damage needs to be assessed and then an application for assistance has to be drawn up and submitted.
Dies ist die Reihenfolge.	That is the order in which things need to be done.
Dabei werden die Generaldirektion Regionalpolitik und mein Kollege, Kommissar Hahn, beratend und unterstützend tätig sein.	The Directorate-General for Regional Policy and my colleague, Commissioner Hahn, will provide advice and support in this regard.
Die Abgeordnete Estrela hat die Weiterentwicklung der maßgeblichen Richtlinie und der Regeln des Fonds angemahnt.	Mrs Estrela called for the further development of the key directive and the rules of the Fund.
Die Kommission hat vor über vier Jahren einen Vorschlag dazu gemacht, das Parlament hat ihn positiv unterstützt, er liegt noch im Rat.	More than four years ago, the Commission presented a proposal in this regard, which Parliament supported. It is currently still with the Council.
Aber ich will einschränkend sagen, dass die von uns damals gemachten Vorschläge jetzt im konkreten Fall keine bessere Hilfemöglichkeit bieten würden.	However, by way of qualification, I would like to say that the proposals that we made at that time would not provide any better opportunities for assistance in this particular case.
Richtig ist, dass Prävention ein Schwerpunkt unserer Politik bleiben muss.	It is right that prevention must remain an area of focus for our policy.
Die Kohäsionspolitik ist dafür genau das richtige Instrument.	Cohesion policy is therefore precisely the right instrument to use.
Ich will Ihnen nochmals versichern, dass die Kommission alles in ihrer Macht Stehende tun wird, um den Menschen und der Verwaltung auf Madeira bei der Bewältigung dieses schlimmen Ereignisses zu helfen.	I would like to assure you once again that the Commission will do everything in its power to help the people and the administration in Madeira to cope with this terrible event.
