Herr Präsident! Herr Kommissar, was lange währt, wird endlich gut, hoffentlich!	Mr President, Commissioner, I hope it has been worth the wait!
Nach dem verunglückten Vorschlag zu einer Reform der gemeinsamen Marktordnung für Wein aus dem Jahr 1994 und nach unseren Änderungsvorschlägen von 1995 hat die Kommission zwar viel Zeit gebraucht, um uns einen neuen Reformvorschlag zu unterbreiten, aber der Ansatz ist jetzt positiver, denn es kann doch nicht sein, daß wir das Potential des traditionsreichen europäischen Weinbaus in seiner wunderbaren Vielfalt abbauen und der Konkurrenz aus Drittländern das Feld auf dem Europäischen Binnenmarkt und auf dem Weltmarkt überlassen - Welthandelsorganisation hin oder her.	After the abortive proposal to reform the Common Organisation of the Market in Wine in 1994, and following our proposed amendments in 1995, the Commission has certainly taken its time in submitting a new proposal for reform. However, it has now adopted a more positive approach, and it is indeed inconceivable that we should think of meddling with Europe's wine-growing potential, with all its tradition and its wonderful variety, and simply abandon the European internal market and the world market to competition from third countries, whatever the World Trade Organisation may say.
Die Menschheit wäre gesünder, wenn viel mehr Menschen es sich leisten könnten, pro Tag ein bis drei Gläser Wein zu trinken.	The human race would be healthier if far more people could afford to drink one, two or even three glasses of wine every day.
Um einen solchen Bedarf zu decken, bräuchten wir weder Zwangsdestillation noch Rodung, sondern eine viel größere Produktion von Qualitätsweinen, insbesondere in der Gemeinschaft und natürlich viel niedrigere Verbrauchssteuern auf Akzisen, als das heute in vielen Mitgliedstaaten - im besonderen im Norden der Union - der Fall ist.	The way to meet such a level of demand is not compulsory distillation or grubbing-up, but a far higher production levelof quality wines, especially in the Community, and of course far lower excise duties than those currently levied in many Member States, particularly in the north of the EU.
Dies gesagt freue ich mich, daß es auch dank der regelrechten Knochenarbeit unseres Berichterstatters Herrn Martin, dem ich sehr herzlich danke, im Agrarausschuß gelungen ist, den Vorschlag der Kommission wesentlich zu verbessern aufgrund von vernünftigen Kompromissen, wo natürlich jeder von uns etwas Wasser in seinen Wein tun mußte.	Having said that, I am delighted that, thanks to the enormous amount of work put in by our rapporteur, Mr Martin, whom I would like to thank very sincerely, the Agriculture Committee has managed to make some real improvements to the Commission proposal. This has involved some sensible compromises, and to achieve these compromises we have all had to mix a little water with our wine.
Es tut mir leid, daß trotz dieser Anstrengungen jetzt ein paar Kollegen aus dem Süden sich mit Änderungsanträgen wieder auf den Kriegspfad gegen die jahrhundertealten önologischen Verfahren im Norden der Gemeinschaft begeben haben.	I am sorry that despite all these efforts some of our colleagues from the south have again gone on the war-path against the centuries-old wine-growing practices in the north of the Community.
Auch die sonderbaren Überlegungen derjenigen, die finden, daß diejenigen, die nicht anreichern, zusätzlich Anpflanzungsrechte bekommen sollten, sind doch schlichtweg hirnrissig!	And the strange idea some people have that wine growers not using enrichment should be given additional planting rights is simply crazy.
Ich kann dem hart erarbeiteten Kompromiß zustimmen.	I personally can agree to the compromise, which took so much hard work to achieve.
Ich kann damit leben, insbesondere weil er global einen positiven Ansatz zur Erhaltung und zum Ausbau der absatzfähigen Weinproduktionen mit ihrer grandiosen Leistung für die Erhaltung der wunderbaren Landschaften auch in meinem Heimatland darstellt.	I can live with it, especially because overall it represents a positive approach to maintaining and increasing marketable wine production, which after all makes a magnificent contribution to preserving our wonderful landscape, not least in my own country.
Aber auch was die önologischen Verfahren, die Neuanpflanzungsrechte, die Flexibilität der Maßnahmen bei ungünstigen Witterungsverhältnissen oder bei außergewöhnlich hohen Ernten - da geht es um Höchsterträge - betrifft, sind die Vorschläge des Agrarausschusses ausgewogen und deshalb vernünftig.	But the Agriculture Committee's proposals are also well-balanced and sensible when it comes to wine-growing practices, new planting rights and flexible measures in the event of poor weather conditions or unusually abundant grape harvests, where maximum yields are involved.
Ich möchte die Kommission und besonders Herrn Fischler ersuchen, unsere Vorschläge für das zusätzliche Kapitel "Sonderbeihilfen und Fördermaßnahmen für Weinbauerzeugnisse" und die diesbezüglich Mitwirkung der Berufsverbände zu übernehmen.	I would ask the Commission, and Mr Fischler in particular, to adopt our proposals for the additional chapter on special aid and support measures for wine products and for the involvement of trade organisations in this.
Das möchte ich hier auch gerne von ihm hören.	I would be pleased if he could confirm this today.
Darunter fallen ja auch Maßnahmen zur Förderung des moderaten Weinkonsums und Werbekampagnen außerhalb der Gemeinschaft.	The proposals also include initiatives to promote moderate wine consumption and advertising campaigns outside the Community.
Das ist der richtige Weg!	That is the right way to go.
Ich hoffe, daß die Kommission und der Ministerrat uns auf diesem richtigen Weg folgen werden, der hoffentlich hier auch die Zustimmung der großen Mehrheit dieses Hauses findet, denn die große Mehrheit in diesem Haus für diesen vernünftigen Kompromiß ist unsere größte Chance, uns im Ministerrat Gehör zu verschaffen!	I hope that the Commission and the Council of Ministers will support us in this, and that a substantial majority of this House will vote for it, as a large majority for this sensible compromise is our best chance of making our voice heard in the Council of Ministers.
