Nach wie vor unterstützt das Parlament vom Grundsatz her die Strategie der Kommission.	As it did then, the House endorses the Commission’s strategy.
Insbesondere haben wir wiederholt deutlich gemacht, dass Wachstum und Beschäftigung die Voraussetzungen dafür sind, dass wir die anderen Hauptziele der Lissabon-Strategie auch so verwirklichen können, wie wir dies wollen.	We have, in particular, again made it clear that our ability to realise the other main objectives of the Lisbon Strategy in the way we want to is conditional upon growth and employment.
Das Parlament hat sich auch an der Schwerpunktsetzung beteiligt. Wir haben drei Schwerpunkte in unserer Entschließung: das Thema der Demographie, der Energiepolitik und der Innovation.	This House has also played its part in setting priorities, three of which are mentioned in our resolution, namely population change, energy policy and innovation.
Ich will hier nur das beklagen, was viele Vorredner schon angesprochen haben.	My only complaint is about something that many speakers have already mentioned.
Das Hauptproblem, das wir haben, ist nicht der strategische Ansatz. Der strategische Ansatz stimmt.	The strategic approach is not our main problem; the strategic approach is the right one.
Unser Problem ist die Ausführung am Ende.	Our problem is what happens at the end.
Ganz praktisch und ganz deutlich: Das für mich negativste Beispiel erleben wir immer, wenn der Europäische Rat mit diesem Thema umgeht. Er beschließt dann eine gute Strategie, gute Inhalte, macht anschließend eine Pressekonferenz, trägt dies vor, und das Ergebnis ist, dass darüber berichtet wird.	To put it in quite practical and quite blunt terms, what I see as the most negative aspect is what we always see happening when the European Council gets its hands on this issue: it decides on a good and substantially sound strategy, presents it at a press conference, and it ends up being written about.
Am Tag darauf bzw. wenige Tage später im Ecofin-Rat kommen die Finanzminister und kassieren das wieder ein, was im Europäischen Rat beschlossen worden ist.	The following day, or perhaps a couple of days later, the finance ministers turn up and take back what the European Council had resolved on.
Das ist ein strategisches Grundproblem und ich weiß auch nicht, wie wir damit fertig werden können. Das trägt wesentlich dazu bei, dass die europäische Politik bei den Bürgern zum Teil als unehrlich wahrgenommen wird und die Bürger zunehmend an Europa verzweifeln.	That is a fundamental strategic problem, and I have no idea how we are to get on top of it; it plays a considerable part in fostering the perception held by some members of the European public that European policy is dishonest and to increasing public despair with Europe.
Auf diesem Gipfel muss deutlich werden, dass man nicht mit zweierlei Maß messen kann, sondern dass man die strategischen Vorgaben auch in der konkreten Politik umsetzen muss.	What must be spelled out at this summit is that we cannot apply double standards; on the contrary, policy as actually implemented must reflect the strategic guidelines.
Als letzten Punkt möchte ich die Frage der Gesetzesfolgenabschätzung ansprechen, die wir auch in der Entschließung haben.	The last issue I would like to address is that of how the impact of laws is to be assessed – something also mentioned in our resolution.
Wir möchten ausdrücklich darauf hinweisen, dass wir erwarten, dass ein unabhängiger Faktor in die Gesetzesfolgenabschätzung mit aufgenommen wird, damit wir wirklich ein neutrales Ergebnis bekommen.	We would like to point out that we expect the impact assessment to include an independent factor, thus ensuring that the result really is neutral.
Das gehört auch zum Thema bessere Rechtsetzung. Diese Aufforderung richtet sich an die Kommission.	This is part of ‘better lawmaking’, and this demand is addressed to the Commission.
