Herr Präsident, wir haben in der Vergangenheit diese Diskussion schon so oft geführt.	Mr President, we have already had this discussion so many times in the past.
Wir haben bisher nichts erreicht, und wir haben es versäumt, uns hier in dieser Europäischen Union einig zu sein.	We have achieved nothing so far, and we have been unable to reach agreement within the European Union.
Deshalb glaube ich nur an den Sinn dieser heutigen Debatte, wenn das, was wir alle heute sagen, und das, was Sie, Frau Kommissarin, hier angekündigt haben, tatsächlich in Gesetzgebung mündet, das heißt, daß Sie alle Ihren Regierungschefs und Ihren Ministern sagen: Das müßt Ihr im Ministerrat durchsetzen.	That is why I will only believe that there is any point to having this debate today if what we are all saying today, and what the Commissioner has announced here, actually leads to legislation being produced; in other words, if you all go and say to your Heads of Government and Ministers: "you must push this through in the Council of Ministers" .
Lassen Sie mich vorab sagen, wir reden über eine Umweltkatastrophe, die auch wirtschaftliche Auswirkungen hat und Existenzen bedroht.	Allow me to say first that what we are talking about is an environmental catastrophe, which also impacts on the economy and threatens livelihoods.
Was müssen wir denn jetzt tun?	So what are we to do now?
Ich will ja gar nicht in die Vergangenheit gehen. Ich möchte in die Zukunft blicken.	I have no intention of talking about past events; rather I want to look to the future.
Was müssen wir jetzt tun?	What are we to do now?
Ich möchte Ihnen einiges sagen, was wir tun müssen.	I will tell you a few things we should do.
Natürlich brauchen wir doppelwandige Schiffe.	Of course, we need double-hulled vessels.
Klar, aber dies ist etwas, was sich nur mittelfristig und langfristig auswirken wird.	That goes without saying, but it is something that will only work through in the medium and long term.
Was brauchen wir denn sofort?	So what do we need to happen immediately?
Wir brauchen eine technische Überwachung von Schiffen, und zwar eine verpflichtende technische Überwachung von Schiffen alle zwei Jahre, ohne deren Zertifikat kein Schiff betrieben werden darf.	We need technical testing of ships, that is obligatory technical testing every two years, and no ship to be operated without the accompanying certificate.
Das brauchen wir auf europäischer Ebene, und das brauchen wir international, wie einen TÜV, wie eine technische Überwachung bei Kraftfahrzeugen, die in Deutschland alle zwei Jahre durchgeführt werden muß.	We need this at European level and internationally; we need something like a TÜV, an organisation that undertakes technical testing of motor vehicles in Germany, which is compulsory every two years.
Wenn Sie kein Zertifikat haben, dürfen sie das Fahrzeug nicht betreiben.	If you do not have a certificate then you are not allowed to operate the vehicle.
Das brauchen wir für Schiffe.	This is what we need for ships.
Drittens brauchen wir die Kontrolle dieses Zertifikats und eines Versicherungsnachweises in den Häfen und zwar in jedem Hafen der Europäischen Union.	Thirdly, we need to carry out checks on these safety and insurance certificates in the ports, that is in every port of the European Union.
Wenn dieses Zertifikat und der Versicherungsnachweis nicht vorliegen, wird das Schiff stillgelegt und darf den Hafen trotz aller Hafengebühren nicht mehr verlassen.	Any failure to produce these certificates must lead to the ship being laid up and prohibited from leaving the port, regardless of all the port charges.
Da müssen wir uns einig sein, in allen Häfen der Europäischen Union, von Marseille über Rotterdam bis nach Wilhelmshaven, Cuxhaven und wo auch immer Schiffe anlanden.	We must reach agreement here, in all the European Union' s ports, from Marseilles, through to Rotterdam, to Wilhelmshaven, Cuxhaven, and wherever ships drop anchor.
Viertens brauchen wir die Haftung bei dem Schiffseigner, und zwar nicht nur lächerliche 12 Millionen Dollar, sondern mindestens 400 Millionen Dollar, die der Schiffseigentümer per Versicherungsnachweis belegen muß.	Fourthly, we need the shipowner to bear liability, and not just to the tune of a derisory USD 12 million, but to the value of at least USD 400 million, to be covered per insurance certificate.
Dann brauchen wir die Haftung des Landes, dessen Flagge das Schiff führt.	We also need the country whose flag the ship flies to bear liability.
Wir brauchen die Sicherheit, daß das Land, unter dessen Flagge das Schiff fährt, im Zweifelsfall die Haftung übernimmt.	We need to be sure that if need be, the country whose flag the ship is flying will accept liability.
Das wird eine wunderbare Kontrolle!	This would be a marvellous exercise in supervision!
Ich kann Ihnen garantieren, daß dann die Länder, die die Flagge vergeben, auch darauf achten, daß sie nicht haften müssen.	I can assure you that those countries awarding flags would then take great care to avoid having to accept liability.
Wir brauchen fünftens die Garantie, daß dies für alle Schiffe in den Häfen und in den Gewässern der Europäischen Union gefordert wird, übrigens auch in den Beitrittsländern. Das heißt, daß diese Anforderungen, die ich genannt habe, für alle Gewässer gelten.	In the fifth place, we need there to be a guarantee that these demands will apply to all ships using the ports and waterways of the European Union, and incidentally, that includes the candidate countries.
Schließlich brauchen wir das Allerwichtigste: Wir brauchen ein gutes Gedächtnis, denn wir werden hier in der nächsten Zeit häufiger über Gesetzgebung reden.	Last but not least, we need a long memory, for the issue of legislation will crop up on the agenda more frequently in the near future.
Wir werden häufiger über Umweltstandards reden.	Environmental standards will be a recurring theme.
Dann möchte ich nicht, daß irgendjemand kommt und sagt: Diese Anforderungen führen dazu, daß wir Arbeitsplätze in dem Hafen verlieren.	I would not like to have someone coming and saying that these requirements will lead to job losses in the ports.
Die Gewerkschaften kommen, die Industrie kommt.	The unions will have something to say as will industry.
Wir brauchen ein gutes Gedächtnis, Kolleginnen und Kollegen.	A long memory will serve us well, ladies and gentlemen.
Da gucke ich viele von Ihnen an, die bisher nicht die Spitze der Umweltbewegung vertreten haben.	I am looking at all those of you who have not exactly been at the forefront of the environmental movement.
Gehen Sie mal nach Hause und sagen Sie: Um die Standards haben wir uns bisher nicht gekümmert.	Just you go home and say: " we have not concerned ourselves with standards to date" .
Wir brauchen ein gutes Gedächtnis, wenn es darum geht, was in den Häfen gefordert wird.	We need to have a long memory when it comes to the demands being made in the ports.
Wir brauchen ein gutes Gedächtnis, wenn wir sagen: Wir sind uns mal einig, was Hafengebühren und Hafenanforderungen angeht, und spielen in der Europäischen Union nicht einen gegen den anderen aus.	We need to have a long memory when we say: " for once we are united, at last as far as port charges and requirements are concerned, and will not play one off against the other in the European Union."
Wenn wir das schaffen, sind wir in ein paar Jahren vielleicht besser dran!	If we succeed in this then perhaps we will be better off in a few years' time!
