Ich begrüße die Annahme der Entschließung zur Situation im Gazastreifen.	I welcome the adoption of the resolution on the situation in the Gaza Strip.
Es ist unabdingbar, dass sich das Europäische Parlament zu der Krise äußert.	It is imperative that the European Parliament express its views on the crisis.
Die Verurteilung dieses humanitären Desasters liegt in der Pflicht des EPs, das bei der Einhaltung von Menschenrechten einen moralischen Führungsanspruch erhebt.	It is the duty of Parliament to condemn this humanitarian disaster, laying claim as it does to moral leadership on respect for human rights.
Eben deswegen kann das EP nicht länger schweigen.	It is precisely because of this that Parliament can no longer remain silent.
Daher habe ich für diese Entschließung gestimmt.	That is why I voted in favour of this resolution.
Dennoch hätte das EP ein stärkeres Signal setzen können. An einigen Punkten bleibt die Entschließung zu schwach.	Nevertheless, Parliament could have sent out a stronger signal; the resolution remains too weak on some points.
Es ist wichtig, dass wir einen nachhaltigen Waffenstillstand fordern und das Leiden der Zivilbevölkerung verurteilen.	It is important that we call for a lasting cease-fire and condemn the suffering of the civilian population.
Es liegt aber auch in unserer Pflicht, konkrete Lösungen für die Beendigung des Krieges aufzuzeigen und die EU dazu aufzufordern, sich für diese im Rahmen des Nahost-Quartetts einzusetzen.	It is also our duty to suggest practical solutions for ending the war and to call on the EU to commit itself to these in its role within the Quartet.
Da die USA derzeit aufgrund des Präsidentenwechsels paralysiert sind, muss die EU sich noch stärker in der Pflicht sehen.	As the United States is currently in a state of paralysis on account of its change of president, the EU must further increase its sense of duty.
Eine Pause in den Verhandlungen über ein Upgrading in den Beziehungen zu Israel ist wegen einer derart unverhältnismäßigen militärischen Aktion angebracht.	A pause in the negotiations on enhancing relations with Israel is called for in view of such excessive military action.
Leider erwähnen wir nichts davon in der Entschließung.	Unfortunately, there is no mention of this in the resolution.
Wenn Israel nicht direkt mit der Hamas verhandeln will, so ist es auch Aufgabe der EU, sich dafür einzusetzen, dass andere mit der Hamas reden.	If Israel does not want to negotiate directly with Hamas, it is up to the EU to work to ensure that others talk to Hamas.
Der Fortgang der militärischen Offensive kostet zu viele Menschenleben.	The continuation of the military offensive is costing too many lives.
Lippenbekenntnisse sind bei einer humanitären Krise dieses Ausmaßes nicht ausreichend.	Lip service is insufficient in the face of such a severe humanitarian crisis.
