Herr Präsident, sehr geehrte Kolleginnen und Kollegen! Die Sicherheit steht über allem.	Mr President, ladies and gentlemen, safety has priority over all other considerations.
Das Risiko, dass eine vollbesetzte Maschine einen Triebwerksausfall hat und vielleicht in der Folge auf bewohntes Gebiet stürzt, ist nicht zu tragen.	We cannot take the risk of a plane full of passengers suffering engine failure and perhaps, as a result, crashing in a built-up area.
Ich erinnere an jenen British Airways-Flug 1982, der auf dem Weg nach Neuseeland durch eine solche Aschewolke flog, und besonders an einen schweren Zwischenfall einer KLM 747 im Jahr 1989, die durch eine schon stark verteilte Vulkanaschewolke flog.	I would like to remind everyone of the British Airways plane which flew through an ash cloud on its way to New Zealand in 1982 and, in particular, of the serious incident involving a KLM Boeing 747 in 1989 which flew through a thick cloud of volcanic ash.
Beide entgingen nur knapp einer Katastrophe.	Both planes narrowly escaped disaster.
Menschenleben sind unbezahlbar.	Human life is priceless.
Ich begrüße die Entscheidung, in dieser Krise den Luftraum zu sperren und damit die Piloten aus der Verantwortung für die ihnen anvertrauten Menschen zu nehmen.	I welcome the decision to close the airspace during this crisis and therefore to ensure that pilots do not have to take responsibility for the passengers entrusted to their care.
Test- und Messflüge wurden durchgeführt, jedoch alle nur bis zu einer bestimmten Höhe und auf Sicht.	Test and measurement flights have taken place, but only up to a certain height and under visual flight rules.
Wirkliche Analysen und Ergebnisse konnten dabei kaum erzielt werden.	These flights were not able to carry out any real analyses or produce any significant results.
Zu den Sichtflügen ist noch anzumerken: Im Falle der KLM war die Aschewolke zwar da, aber sie war nicht sichtbar.	One other comment I have on flights under visual flight rules is that in the case of the KLM plane, the ash cloud was not visible.
Die Natur lehrt uns Respekt und zeigt uns zugleich auch die Grenzen der Globalisierung auf.	Nature teaches us respect and, at the same time, makes clear to us the limits of globalisation.
Der schweren wirtschaftlichen Konsequenzen sind wir uns alle sehr bewusst.	We are all highly aware of the serious financial consequences.
Dennoch - der Wert eines Menschenlebens steht über dem Wert der ökonomischen Güter.	However, a human life is worth much more than goods.
Deswegen, im Bewusstsein der genannten Vorfälle, bitte ich um größte Verantwortung und Vorsicht, auch was die jetzige Einteilung in drei Zonen betrifft.	Therefore, taking into account the cases I have mentioned, I would like to call for the greatest possible responsibility and caution, including with regard to the division of the airspace into three zones.
