amtierender Ratspräsident. Herr Kollege Posselt!	President-in-Office of the Council.
Der Rat hat Kroatien in seinen Schlussfolgerungen vom 11. Dezember 2006 seine Anerkennung für die erzielten Fortschritte ausgesprochen. Er betonte dabei, dass die Beitrittsverhandlungen gut begonnen haben und erste Ergebnisse erzielt wurden.	Mr Posselt, in its conclusions of 11 December 2006, the Council assured Croatia of its recognition of the country's progress, whilst emphasising that the accession negotiations had started well and results were starting to emerge.
Gleichzeitig hob der Rat hervor, dass Kroatien nunmehr auf den bisherigen Fortschritten aufbauen muss.	At the same time, the Council emphasised that Croatia must now build on the progress to date.
Das Tempo der Beitrittsverhandlungen richtet sich weiterhin nach den Fortschritten des Kandidaten.	The progress made by the candidate country continues to dictate the tempo of the accession negotiations.
Wie die Präsidentschaft auch im Rahmen der dritten Tagung des Stabilisierungs- und Assoziierungsrates am 6. März gegenüber Kroatien erklärt hat, sollte die kroatische Regierung die Beschleunigung der Reform im Justizwesen und in der öffentlichen Verwaltung besonders aufmerksam vorantreiben.	As the Presidency has told Croatia, including within the framework of the third meeting of the Stabilisation and Association Council on 6 March, the Croatian Government should pay particular attention to accelerating its reform of the judicial system and of the public administration.
Im Bereich der Verpflichtungen aus dem Stabilisierungs- und Assoziierungsabkommen, die von Kroatien noch zu erfüllen sind, hat der Rat die staatlichen Beihilfen und den Erwerb von Immobilieneigentum hervorgehoben.	Of Croatia's outstanding commitments arising from the Stabilisation and Association Agreement, the Council has highlighted state aid and the acquisition of property.
Der Rat begrüßt, dass Kroatien auch weiterhin uneingeschränkt mit dem Internationalen Strafgerichtshof für das ehemalige Jugoslawien zusammenarbeitet, und betont, dass diese Zusammenarbeit fortgesetzt werden muss.	The Council welcomes the fact that Croatia is continuing to cooperate unconditionally with the International Criminal Tribunal for the Former Yugoslavia, and emphasises that it must do so also in future.
Gleichzeitig sind Verbesserungen bei der Verfolgung und Verurteilung von Kriegsverbrechern durch die kroatische Justiz notwendig.	At the same time, the Croatian judiciary needs to improve the prosecution and conviction of war criminals.
Außerdem muss Kroatien verstärkte Anstrengungen zugunsten gutnachbarlicher Beziehungen unternehmen, wozu auch die erforderlichen Bemühungen um eine Beilegung offener bilateraler Fragen, besonders von Grenzstreitigkeiten, gehören.	Croatia must also step up its efforts in the field of good neighbourly relations, including the efforts to be made towards resolving outstanding bilateral issues, particularly border disputes.
Der Rat hat das Screening in Bezug auf 22 Verhandlungskapitel bereits abgeschlossen.	The Council has already completed the screening process for 22 negotiating chapters.
Für sieben Kapitel wurden Benchmarks festgelegt, die Kroatien erfüllen muss, damit die Verhandlungen eröffnet werden können.	In respect of seven of these chapters, benchmarks have been laid down that are to be met by Croatia as a precondition for the opening of negotiations.
Bezüglich der restlichen 15 Kapitel wurde Kroatien direkt aufgefordert, der Beitrittskonferenz seine jeweilige Verhandlungsposition zu unterbreiten.	Croatia has been asked directly to submit its negotiating position on each of the remaining 15 chapters to the Accession Conference.
Was die Eröffnung und Schließung von Verhandlungskapiteln in den Beitrittsverhandlungen betrifft, so sind zwei Kapitel, nämlich Wissenschaft und Forschung und Bildung und Kultur, eröffnet und vorläufig geschlossen worden.	As regards the opening and closing of negotiating chapters in the accession negotiations, two chapters - science and research and education and culture - have been opened and closed again temporarily.
Drei weitere Verhandlungskapitel - Wirtschaft- und Währungspolitik, Unternehmens- und Industriepolitik sowie Zollunion - sind eröffnet worden.	Three more negotiating chapters - economic and monetary policy, enterprise and industrial policy, and customs union - have been opened.
Darüber hinaus liegen die Verhandlungspositionen beider Parteien zu Kapitel 7 - das sind die Vorschriften über geistiges Eigentum - vor, das voraussichtlich in Kürze eröffnet wird.	In addition, both parties' negotiating positions on Chapter 7 - intellectual property law - have been submitted, and this is expected to be opened shortly.
Kroatien hat der Konferenz seine Verhandlungsposition zu fünf weiteren Kapiteln übermittelt.	Croatia has submitted its negotiating position on five of the other chapters to the Conference.
