Herr Präsident! Ich glaube, in dieser Frage gibt es immer wieder Verwirrung.	Mr President, this issue always seems to create confusion.
Weil das Elektronische halt ungewohnt ist, wird unterstellt, es gäbe so etwas wie virtuelles Geld.	Because the electronic world is unfamiliar, we imagine that this is all about some sort of virtual money.
Das gibt es nicht.	There is no such thing.
Womit wir es in Wirklichkeit zu tun haben, ist eine neue Zeichenform für Kreditgeld.	What we are really dealing with here is a new way of undertaking and recording credit transactions.
Wie bei den Assignaten, als Kreditgeld zum ersten Mal eingeführt wurde, gibt es neue Formen von Betrug und neue Formen von öffentlicher Mißachtung der Budgetrestriktion.	Like the assignat in revolutionary France, which marked the introduction of credit money, electronic money has brought new forms of fraud and new ways for governments to circumvent budgetary restrictions.
Da müssen wir in der Tat gemeinsame Regelungen finden.	We really must find common rules.
Vielleicht ist es wichtig, darauf hinzuweisen, daß das kein Vorwand sein darf, zu einer Art von privatem Geld einzelner Handelshäuser zurückzukehren.	It is perhaps important to point out that this must not be taken as a pretext for returning to a type of situation in which private trading houses control the money supply.
Im Hochmittelalter war eines der wesentlichen Instrumente zur Förderung der wirtschaftlichen Entwicklung überall in Europa, das eingesetzt wurde, um aus den Schwierigkeiten des privaten Geldes herauszukommen, die Einführung des fürstlich garantierten Silberpfennigs.	In the high middle ages, one of the main instruments that was used to promote economic development throughout Europe and to overcome the problems connected with private money was the introduction of silver coinage, guaranteed by the monarch.
Daraus ergeben sich meines Erachtens drei Forderungen, die auch im Bericht enthalten sind: Universalität muß grundsätzlich in Form von Interoperabilität, Rückgabemöglichkeiten und Kostenfreiheit gewährleistet sein.	By the same token, I believe there are three demands to be made, and indeed they are made in the report: universality must mean interoperability, redeemability and free use.
Verdienen kann man an den damit verbundenen Finanzdienstleistungen.	Money can be made from the related financial services.
All das muß in der Dimension des Euro organisiert sein und darf sich nicht an der immer noch bestehenden zerklüfteten Landschaft des Banken- und Finanzdienstleistungswesens orientieren.	All of this must be organised in the euro framework; it must not be based on the harsh terrain within which the banking and financial services sector still operates.
Unter dieser Voraussetzung gibt es hier wichtige Möglichkeiten, deren Entwicklung notwendig ist.	If that condition is met, important avenues will open up here, and they must be pursued.
Man sollte sich aber von der Goldgräbermentalität verabschieden, nach der hier große finanzielle Aufschwünge wie bei den Assignaten erwartet werden.	But we do need to cast off the Klondike mentality which sees electronic operations as the key to a great financial boom, just as the assignat was expected to be.
Das Kreditzeichen ist noch kein realer Kredit.	The outward token of credit is not a collateral loan.
Das Krediteinlösungsversprechen ist noch keine Einlösung des Versprochenen, die erst in der Zukunft zu erfolgen hat.	Merely promising to honour a loan is not honouring the promise, which is something that has to take place in the future.
Deshalb ist der gesamte Bereich der Aufsicht über die Solidität der emittierenden Unternehmen in der Tat ein wesentlicher Bestandteil, ohne den sich dieser Bereich nicht verantwortbar entwickeln kann.	That is why the whole area of the prudential supervision of issuing companies is actually a key element without which the realm of electronic money cannot develop in an accountable way.
Ich möchte auch daran erinnern, daß wir auch im Bereich der Bankenaufsicht dringenden Handlungsbedarf haben.	I should also like to remind the House of our urgent need to act in the field of banking supervision too.
