Herr Präsident! Herr Vitorino, Herr Marinho!	Mr President, Commissioner, Mr Marinho, I am very pleased that this report is before us today.
Ich freue mich sehr, dass wir heute zu diesem Bericht kommen. Ich bedanke mich bei Ihnen sehr herzlich für die Vorbereitung einer Materie, die zunächst sehr technisch anmutet, die aber - und Sie haben das eben zu Recht betont - ein ganz substanzieller Beitrag zu einem Europa der Bürger ist, denn das grenzüberschreitende Wirtschaften nimmt zu.	I would like to thank you very much for preparing a subject which at first seems very technical, but which, as you quite rightly stressed, has a very substantial part to play in creating a citizens' Europe, because cross-border business is on the increase.
Wir haben einen europäischen Binnenmarkt, wir haben eine gemeinsame europäische Währung, die wir bald auch in Münzen und Scheinen in der Hand halten werden.	We have a European single market, we have a single European currency, and we will soon have the coins and notes of that currency in our pockets.
Wir werden über den elektronischen Geschäftsverkehr eine exponentielle Zunahme von grenzüberschreitenden Verträgen bekommen, und leider ist es so, dass bei Verträgen auch einmal Schwierigkeiten auftauchen und dass es zu Rechtsstreitigkeiten kommt.	Because of e-commerce, we will see exponential growth in cross-border contracts, and it is a sad fact that problems sometimes arise with contracts, resulting in legal disputes.
Der Kern eines Rechtsstreits ist zumeist die Beweisaufnahme, denn Rechtsfragen sind oft leicht geklärt, aber wenn es um die Tatsachen geht, dann ergeben sich oftmals sehr unterschiedliche Interpretationen.	The taking of evidence is generally at the heart of any legal dispute, as matters of law are often easy to settle, but there are often widely varying interpretations when it comes to the facts.
Wenn hier ein Sachverhalt aufgeklärt werden muss, der sich in einem anderen Mitgliedstaat ereignet, dann ist die gegenwärtige Situation einfach die, dass die Rechtshilfe anachronistisch ist, auch nach dem Haager Übereinkommen über diplomatische Wege erfolgt, deswegen sehr kompliziert, sehr zeitaufwändig und auch nicht verlässlich ist.	If it is necessary to determine the facts of a case which took place in another Member State, then the present situation as regards mutual legal assistance is simply anachronistic, and involves using the Hague Convention through diplomatic channels, making matters very complicated and time-consuming, and also unreliable.
Oft kommt ein Prozess einfach deshalb zum Erliegen, weil ein Sachverhalt nicht aufgeklärt werden kann, weil einfach die Mittel der Rechtshilfe nicht zur Verfügung stehen.	A court case often comes to a standstill quite simply because the facts of the case cannot be established, and quite simply because the resources for mutual legal assistance are not available.
Deswegen ist es so wichtig, dass die Bundesrepublik Deutschland diesen Vorschlag eingebracht hat, deswegen unterstützen wir von unserer Fraktion auch nachdrücklich dieses Bestreben, denn diese Initiative bietet mehr Sicherheit, schnelleres Recht und letztlich mehr Gerechtigkeit für den Bürger in der Europäischen Union.	That is why it is so important that the Federal Republic of Germany has brought forward this proposal, and that is why my group is so firmly supporting this initiative, because it provides for greater certainty, swifter administration of the law and, last but not least, greater justice for the citizens of the European Union.
Dieser Rechtsakt ist auch ein Beitrag dazu, eine Tendenz einzudämmen, der ich zunehmend skeptisch gegenüberstehe.	This legal instrument will also help to counter a trend which I view with increasing scepticism.
Das ist nämlich die Tendenz, zu außergerichtlichen Streiterledigungsverfahren überzugehen, also nicht mehr zu den Gerichten zu gehen, sondern sich neutrale Schiedsrichter zu besorgen, sich irgendwelchen Schiedsstellen zu unterwerfen.	By that I mean the tendency to resort to extrajudicial dispute resolution, that is to say bringing in a neutral arbitrator instead of going to court, or letting some kind of board of arbitration make a ruling.
Das ist eine Entwicklung, die eigentlich dem Rechtsstaatsgedanken entgegensteht.	This is actually a trend that runs counter to the idea of the constitutional state.
Das ist eine Entwicklung - das sage ich gerade vor diesem Hohen Hause -, die auch der parlamentarischen Demokratie entgegensteht, denn eigentlich ist unser System so beschaffen, dass die Parlamente die Gesetze beschließen und die unabhängigen Richter diese Gesetze anwenden.	This is a trend, and I am happy to say so in this Chamber, which also runs counter to parliamentary democracy, because our system is, in fact, designed on the assumption that parliaments make laws and an independent judiciary apply those laws.
Alles, was von diesen Prozessen abweicht, entspricht eigentlich nicht mehr dem ursprünglichen Bild des Rechtsstaates, das wir hier alle vor Augen haben.	Anything that represents a deviation from these procedures is at odds with the original concept of the constitutional state which all of us here have in our sight.
Wenn wir den grenzüberschreitenden Rechtsverkehr erleichtern, dann erleichtern wir auch für die Unternehmen und für die Bürger die Möglichkeit, in diesen staatlich garantierten Systemen zu bleiben.	If we can make cross-border legal relations easier, then we also make it easier for companies and individual citizens to operate within systems guaranteed by the State.
Der Binnenmarkt braucht eine effiziente Rechtsordnung, sonst hängt unser ganzes Bestreben, Wettbewerb und zunehmenden Wohlstand in der Europäischen Union zu schaffen, in der Luft.	The single market needs an efficient legal system, failing which all our efforts to create competition and increasing prosperity in the European Union will come to nothing.
Ich möchte Ihnen zum Schluss gestehen, dass ich ein etwas mulmiges Gefühl habe, wenn wir uns ständig hier mit Vorschlägen der Mitgliedstaaten befassen.	By way of conclusion, I must confess that it makes me feel somewhat uneasy that we keep having to consider initiatives from Member States here.
Das kann ich hier auch deshalb mit besonderer Überzeugung sagen, weil es nun gerade eine Initiative aus dem Mitgliedstaat ist, aus dem ich selbst komme.	I can be particularly forthright in saying that in this particular case, because this initiative emanates from my own country.
Ich empfinde es als peinlich, dass wir als Europäisches Parlament nicht in der Lage sind, solche Initiativen vorzulegen, und auch dieser Bericht sollte Anlass für uns sein, erneut darüber nachzudenken, ob nicht das Europäische Parlament über ein Initiativrecht gerade auch in diesem für die Bürger sensiblen Bereich verfügen sollte.	I find it embarrassing that we in the European Parliament are not in a position to present such initiatives, and this report should also make us think once again about whether the European Parliament should not have a right of initiative, particularly in this area, which is such a sensitive one in the public's eyes.
