Herr Präsident! Herr Kommissar Dalli, herzlich willkommen im Parlament!	Mr President, Commissioner, welcome to Parliament.
Ich kann mich dem Kollegen Schnellhardt anschließen: Sie haben eine große Aufgabe in diesem Bereich, bis 2011 in den 27 Mitgliedstaaten wirklich gleiche Voraussetzungen dafür zu schaffen, dass Haustiere ohne Schikanen von einem Land in ein anderes transportiert und mitgenommen werden können.	I would like to join my fellow Member, Mr Schnellhardt, by saying you have a major task in this area, to create genuinely equal conditions in the 27 Member States by 2010 so that household pets can be transported and brought from one country to another without obstacles.
Freie Fahrt für Hunde und Katzen war ja das Ziel der Verordnung von 2003.	Free movement for dogs and cats was certainly the goal of the 2003 regulation.
Nun machen wir zum dritten Mal eine Ausnahme.	Now, for the third time, we are making an exception.
In der EU dauern manche Dinge wirklich lang: zehn Jahre, um solche Regelungen anzupassen.	In the EU, some things take a really long time: ten years to tune such regulations.
Kein Land in der EU will ja, dass Krankheiten eingeschleppt werden, und ich frage mich auch, wieso 22 Länder es akzeptieren, dass man Hunde und Katzen mitnehmen kann, und fünf Länder nicht.	No country in the EU wants diseases to be introduced and I also wonder why 22 countries accept the idea of dogs and cats being allowed to travel with their owners and five countries do not.
Sie sollten überprüfen, ob die Realität und Schikanen überhaupt noch diesen Sonderbestimmungen entsprechen.	You should examine whether the reality and the obstacles still correspond to these special provisions.
Ich weiß, dass es auf nationaler Ebene heikle Debatten gibt, aber wir sind nun einmal ein Rechtsraum, und es wäre an der Zeit, spätestens 2011 die freie Fahrt, den Binnenmarkt für Haustiere, einzuführen.	I know that there are thorny debates at national level, but we are now one legal space and it is time, by 2011 at the latest, to introduce free movement, the single market for pets.
Der Tierexperte Schnellhardt hat ja schon die Bedingungen genannt, nämlich dass es einen Impfausweis gibt und dass Instrumente wie die elektronische Kennzeichnung genutzt werden, mit denen man dann, wenn man im Urlaub ist oder zur Arbeit fährt und seine Haustiere mitnehmen will, auch zu den fünf Ländern Zutritt hat.	The animal expert, Mr Schnellhardt, has already mentioned the conditions, namely that there is a vaccination card and that instruments like electronic tagging will be used, which will then give you access to the five countries when you are on holiday or travelling to work and wish to take your pets with you.
Diese Verordnung über Haustiere wird in die Geschichtsbücher eingehen.	This regulation on pets will go down in history.
Sie ist in der Tat der erste Rechtsakt nach dem Vertrag von Lissabon, und wir wollten gleiche Augenhöhe mit dem Ministerrat bei der Ermächtigung der Kommission für delegierte Akte.	It is, in fact, the first legal act since the Treaty of Lisbon and we wanted a level playing field with the Council of Ministers in the empowerment of the Commission for delegated acts.
Das war ein harter Kampf, aber er hat sich gelohnt.	That was an uphill struggle, but it was worth it.
Meinen Glückwunsch an Frau De Brún zu diesem Bericht und natürlich auch zu dieser Prozedur, eine neue Epoche zu beginnen.	My congratulations to Mrs De Brún for this report and, of course, for this procedure to begin a new era.
Das ist deshalb so bedeutend, weil wir vielleicht hundert Rechtsakte im Jahr, aber 6 000 delegierte Akte haben, und daraus kann man ermessen, wie wichtig es ist, hier die neue Prozedur gleich von Anfang an auf die richtige Schiene zu bringen.	That is why it is so important, because we have perhaps a hundred legal acts in a year, but 6 000 delegated acts, and from this we can gauge how important it is to set the new procedure on the right track from the beginning.
