Vizepräsident der Kommission.	Vice-President of the Commission.
Frau Präsidentin, meine Damen und Herren Abgeordneten! Ich möchte dem Berichterstatter, Herrn Harbour, ganz besonders herzlich zu seinem Bericht gratulieren und ihm für seine Arbeit danken, die zu einem wirklich ausgezeichneten Ergebnis geführt hat.	Madam President, ladies and gentlemen, I should like to offer particularly warm congratulations to the rapporteur, Mr Harbour, on his report and to thank him for his work, which has yielded a really excellent result.
Bei diesem Richtlinienvorschlag handelt es sich um ein ganzes Paket von Vorschriften, die das Inverkehrbringen von Fahrzeugen in den Mitgliedstaaten beschleunigen sollen.	This proposal for a directive consists of a whole package of measures, which are intended to speed up the process of placing vehicles on the market in the Member States.
Das ist in der Tat - wie der Vertreter der Präsidentschaft gerade hervorgehoben hat - mit großen Vorteilen für Hersteller, Spediteure und Nutzer verbunden.	This will indeed, as the representative of the German Presidency has just stressed, bring huge advantages for manufacturers, freight forwarders and users.
Die Verwirklichung des Binnenmarktes ist unbestritten eine der größten Erfolgsgeschichten der europäischen Politik.	Making the internal market a reality is indisputably one of the greatest success stories in European politics.
Was allerdings die Nutzfahrzeuge angeht, so haben die Hersteller bislang vergeblich auf eine vollständige Öffnung der Grenzen gewartet.	However, when it comes to commercial vehicles, manufacturers have hitherto waited in vain for borders to be fully opened.
Seit 1996 ist die Richtlinie über die Typgenehmigung von Kraftfahrzeugen das wichtigste Rechtsinstrument der Europäischen Gemeinschaft zur Schaffung des Binnenmarktes in der Automobilbranche.	Since 1996, the directive on the type approval of motor vehicles has been the European Community's most important legal instrument for creating the internal market in the automotive sector.
Damals erhielten alle Fahrzeugklassen Zugang zum Binnenmarkt.	It was then that all classes of vehicles were given access to the internal market.
Ausgenommen davon waren nur die Nutzfahrzeuge, also Omnibusse, LKW und ihre Anhänger. Dabei stellen diese eine Branche mit großer wirtschaftlicher Bedeutung dar.	The only exceptions were commercial vehicles, that is buses, lorries and their trailers, despite the fact that this is a sector of huge economic importance.
Allein für das Jahr 2006 wurden in der Gemeinschaft zwei Millionen neue Leichtlastkraftwagen und mehr als eine Viertelmillion neue Schwerlastkraftwagen mit mehr als 16 Tonnen zugelassen.	In 2006 alone, two million new vans and more than a quarter of a million new lorries of over 16 tonnes were licensed in the Community.
Zum überwiegenden Teil wurden diese Fahrzeuge in der Europäischen Union gebaut.	The vast majority of these vehicles were built in the European Union.
2007 werden diese Zahlen sogar weit übertroffen werden, wenn man von den für das erste Quartal verfügbaren Daten ausgeht.	In 2007 these figures will be substantially exceeded, if the data available for the first quarter are anything to go by.
Durch diese neue Rahmenrichtlinie soll vor allem das Prinzip des gemeinschaftsweit einheitlichen Typgenehmigungsverfahrens auf alle Fahrzeuge ausgeweitet werden.	This new framework directive seeks above all to extend the principle of a standard Community-wide type-approval procedure to all vehicles.
Zudem brauchen die Automobilhersteller die Fahrzeuge nicht mehr nach den Vorschriften jedes einzelnen Mitgliedstaats zu konstruieren, um sie verkaufen zu dürfen.	In addition, automotive manufacturers will no longer need to build vehicles in line with the regulations in each individual Member State to be permitted to sell them there.
Vielmehr gelten harmonisierte technische Spezifikationen, so dass Mengenvorteile zum Tragen kommen und überholte Verwaltungsverfahren vermieden werden.	Instead, harmonised technical specifications will apply, bringing economies of scale into play and avoiding out-dated administrative procedures.
Auch davon profitieren die Transportunternehmen und letztlich die Verbraucher.	Haulage companies will also benefit from this and, in the end, consumers.
