Frau Präsidentin!	.
Ich darf vielleicht zuerst damit beginnen – auch weil mir das ein sehr persönliches Anliegen ist –, dass der Rat beständig für die unbedingte Wahrung aller internationalen Standards der Menschenrechte und des humanitären Völkerrechts im Kontext – und gerade im Kontext – mit der Bekämpfung des Terrorismus eintritt.	Madam President, may I perhaps begin by saying – because it is something in which I take a very personal interest – that the Council constantly argues for the unconditional preservation of all international standards of human rights and of humanitarian international law in the context – and particularly in the context – of the fight against terrorism.
Das hat der Rat auch in Rechtsakten und Programmen wie z. B. dem Rahmenbeschluss vom 13. Juni 2002 zur Terrorismusbekämpfung und der EU-Strategie gegen den Terrorismus vom 1. Dezember 2005 zum Ausdruck gebracht.	The Council has also expressed this in legislative acts and programmes, as for example the framework decision of 13 June 2002 on combating terrorism and the EU Counter-Terrorism Strategy of 1 December 2005.
Die Außenminister haben die Frage des Lagers in Guantánamo während ihres Abendessens parallel zum Europäischen Rat am 22./23. März in Brüssel erörtert und unter anderem festgestellt, dass Guantánamo ein Grund zu ernster Besorgnis bleibt.	The foreign ministers discussed the question of the camp in Guantánamo during their dinner on the occasion of the 22/23 March European Council in Brussels, noting among other things that Guantánamo remains a cause for serious concern.
Sie haben zur Kenntnis genommen, dass die Regierungschefs einiger enger Verbündeter der USA die Schließung Guantánamos gefordert haben und dass diese Aufforderungen richtig waren und zur rechten Zeit kamen.	They noted that the Heads of Government of some of the United States’ close allies have called for Guantánamo to be closed and that those calls were right and came at the right time.
Einige EU-Minister haben auch darauf verwiesen, dass sie ihre Besorgnis bereits anlässlich von Treffen mit der US-Außenministerin in Brüssel geäußert hatten.	Some EU ministers also pointed out that they had already voiced their concern at meetings with the US Secretary of State in Brussels.
Ich darf auch darauf verweisen, dass die Ratspräsidentin, Außenministerin Plassnik, am 22. März öffentlich erklärt hat, dass die Forderung, Guantánamo zu schließen, bereits mehrfach von EU-Mitgliedstaaten und Verbündeten der Vereinigten Staaten erhoben wurde.	I should also point out that the Council President, Foreign Minister Plassnik, stated publicly on 22 March that EU Member States and US allies had already called for Guantánamo to be closed on a number of occasions.
Sie hat weiter gesagt: „Diese Aussagen waren gut und wichtig, aber nicht genügend.“	She went on to say: ‘Those calls were good and important, but they were not enough.’
Vom Grundsatz ausgehend, dass niemand im rechtsfreien Raum stehen kann, führt die EU seit geraumer Zeit einen gezielten juristischen Dialog mit den Vereinigten Staaten, der auf die Anwendung des humanitären Völkerrechts und der Menschenrechte bei der Bekämpfung des Terrorismus ausgerichtet ist.	On the principle that no one can be above the law, the EU has for some time been conducting a purposeful legal dialogue with the United States with the aim of ensuring that humanitarian international law and human rights are applied in the fight against terrorism.
Wir gehen davon aus – und ich zitiere weiter –, „dass Guantánamo bald der Vergangenheit angehört“.	We assume – and I quote again – ‘that Guantánamo will soon be a thing of the past’.
Dies wurde im Zusammenhang mit der Erkenntnis zum Ausdruck gebracht, dass es notwendig ist, den Terrorismus glaubwürdig und menschenrechtskonform zu bekämpfen und darauf auch – gerade als Europäische Union, die Offerten aufbaut – zu bestehen.	This was said in recognition of the fact that terrorism must be fought in a manner that is credible and consistent with human rights and that we have to insist on that, especially as the European Union, which is offering possible solutions.
