Herr Präsident! Ein deutsches Sprichwort lautet: Was lange währt, wird endlich gut.	Mr President, there is a German proverb that says good things are worth waiting for.
Noch bin ich aber nicht davon überzeugt, besonders nachdem ich jetzt von der Berichterstatterin gehört habe, dass bei der Abstimmung morgen über die Empfehlung für die zweite Lesung zur Änderung dieser wichtigen Richtlinie aus dem Jahr 1976 wirklich alles gut werden wird.	However, I remain to be convinced, especially now that I have heard what the rapporteur had to say, that everything will turn out for the best in tomorrow's vote on the recommendation for a second reading on the directive amending the important 1976 directive.
Ich muss ehrlich sagen, dass ich über den fortschrittlichen Gemeinsamen Standpunkt des Rates nach der verpatzten ersten Lesung hier im Hause, die meine Fraktion weitgehend nicht zu verantworten hatte, angenehm überrascht war.	I honestly have to say that the progressive Council common position came as a pleasant surprise after the botched first reading in this House, which my group had very little to do with.
Ich hätte sogar mit dem vom Rat vorgeschlagenen Text leben können.	I could even have lived with the text proposed by the Council.
Jetzt mit erneuten, zu zahlreichen Änderungsanträgen wieder riskieren, kostbare Zeit mit mühsamen Entschließungsverhandlungen zu vergeuden, hätten wir vermeiden können.	We could have avoided the risks of having too many new amendments at this stage and wasting valuable time on laborious negotiations on resolutions.
Aber das sollte nicht sein, weil im Ausschuss für die Rechte der Frau und Chancengleichheit auch die Binsenweisheit, dass das Bessere der Feind des Guten ist, wieder verkannt wurde.	But that was not to be, since the Committee on Women's Rights and Equal Opportunities once again failed to recognise the truism that the better is the enemy of the good.
Mit Hartnäckigkeit war es insbesondere den Sprecherinnen der beiden großen Fraktionen des Hauses, Frau Ghilardotti und mir, gelungen - wir werden ja gebraucht, um 314 Stimmen zusammen zu bringen -, die Berichterstatterin davon abzubringen, noch mehr überflüssige Änderungsanträge einzubringen, die außer semantischer Rechthaberei und verkorkster Ideologie den Frauen draußen wirklich nichts bringen.	Because of our persistence, Mrs Ghilardotti and I, the spokespersons of the two major groups in this House, which are needed to muster 314 votes, have succeeded in persuading the rapporteur not to table yet more superfluous amendments which really give women out there very little except semantic self-opionatedness and confused ideology.
Jetzt liegen uns wieder neue Anträge der Fraktion der Grünen/Freie Europäische Allianz vor, welcher die Berichterstatterin angehört.	We now have before us a number of new amendments from the Group of the Greens/European Free Alliance, to which the rapporteur belongs.
Die Richtlinie ist eine der wichtigsten europäischen Rechtstexte.	This directive is one of the EU's most important pieces of legislation.
Sie muss klar und juristisch haltbar sein.	It needs to be clear and legally tenable.
Sie darf vor allem nicht mit überflüssiger Literatur überfrachtet werden, die in einem Gesetzestext, den die Richter des Europäischen Gerichtshofs in Luxemburg zu interpretieren haben werden, wirklich nichts zu suchen haben.	Above all, it should not be overloaded with excessive verbiage that really has no place in a legal text which will have to be interpreted by the judges of the European Court of Justice in Luxembourg.
Richtern, denen ich jetzt erneut eingebrachte Definitionen der Belästigung und sexuellen Belästigung am Arbeitsplatz vorgelesen habe, standen schon jetzt die Haare zu Berge.	Those judges to whom I have read the newly tabled definitions of harassment and sexual harassment in the workplace are totally horrified.
Ich will insbesondere hervorstreichen, dass der Rat das eigene Recht der Männer auf Vaterschaftsurlaub anerkannt hat.	In particular, I wish to emphasise that the Council has recognised men's right to paternity leave.
Es hat uns viel Überzeugungskraft gekostet, die Berichterstatterin davon abzubringen, in den Text zu schreiben, dass nicht nur jede Benachteiligung einer Frau, sondern auch eines Mannes im Zusammenhang mit Schwangerschaft oder Mutterschaft als Diskriminierung im Sinne dieser Richtlinie gilt.	We really had to use our powers of persuasion to convince the rapporteur not to include in the text the idea that not only any discrimination against women but also against men in connection with pregnancy or maternity should be regarded as discrimination in the context of this directive.
Aber es ist uns schließlich gelungen, klar zu machen, dass Männer immer noch nicht schwanger werden können und daher auch nicht entbinden können.	However, we ultimately succeeded in making it clear that men can still not become pregnant and accordingly cannot give birth!
Die Berichterstatterin hat jetzt in letzter Minute wieder hineinschreiben wollen - sie hat einen Änderungsantrag entgegen unserem Abkommen eingebracht -, dass Benachteiligungen eines Mannes und einer Frau im Zusammenhang mit der Vereinbarkeit von Familie und Beruf als Diskriminierung gilt.	At the last moment, the rapporteur - who tabled an amendment contrary to the agreement we had reached - wanted to reinsert a provision to the effect that discrimination against men and women in the context of reconciling family and career duties counts as discrimination for the purposes of the directive.
Das bringt außer Prozessen, die insbesondere von Typen angestrengt werden, die mit solchen Gummibestimmungen Missbrauch treiben, überhaupt nichts.	This would have no benefit at all, apart from encouraging litigation, and especially litigation advocated by people who exploit woolly provisions of this kind.
Viele von uns haben auch noch Bauchschmerzen mit den Verbandsklagen und der Aufforderung an die Arbeitgeber, komplizierte jährliche Berichte und Statistiken zu erstellen.	Many of us still have problems with legal actions taken by associations and the requirement for employers to produce complicated annual reports and statistics.
Noch ein Wort zur Lohngleichheit.	Then I would like to mention equal pay.
Wir haben eine Richtlinie aus dem Jahr 1975 betreffend gleiches Entgelt für gleiche oder gleichwertige Arbeiten.	There is a directive dating from 1975 on equal pay for equal work or work of equal value.
Sie ist sicher verbesserungsbedürftig, aber in ihrem Rahmen und nicht hier.	That directive is certainly in need of improvement, but in its own context and not this one.
Wir fordern, dass die Mitgliedstaaten Maßnahmen ergreifen, damit die Arbeitgeber gleiches Entgelt für gleiche Arbeit in geplanter und systematischer Weise fördern.	We are calling on the Member States to take measures to ensure that employers promote equal pay for equal work in a planned and systematic way.
Das ist aus verschiedenen Gründen abwegig.	That is mistaken for a number of reasons.
Erstens haben wir die Autonomie der Tarifpartner, die Arbeitgeber und die Gewerkschaften.	First of all, there is the autonomy of the two sides of industry - the employers and the unions.
Hier zu verlangen, dass Arbeitgeber gleichen Lohn für gleiche Arbeit fördern sollen, bleibt hinter den Auflagen der Lohngleichheitsrichtlinie aus dem Jahr 1975 zurück.	In this context, any demand that employers should promote equal pay for equal work would fall short of the provisions of the 1975 equal pay directive.
Ein französisches Sprichwort lautet: Superflue, chose très nécessaire.	There is a French proverb that says 'Superflue, chose très nécessaire' .
Das ist aber nicht der Fall, wenn es sich um Gesetzestexte handelt.	However, that does not apply to legislative texts.
Ich hoffe, dass wir uns im Interesse der Gleichbehandlung von Männern und Frauen auf das Wesentliche besinnen, und morgen das Überflüssige in der Abstimmung streichen werden.	I hope that in the interests of equal treatment of men and women we will concentrate on the essentials and eliminate anything superfluous when we vote tomorrow.
