Herr Präsident! Madrid ist ein Treffen der Staats- und Regierungschefs.	Mr President, Madrid is a summit of Heads of State and Government.
Aber ich möchte an dieser Stelle in aller Bescheidenheit darauf hinweisen, dass das Europäische Parlament seit vielen Jahren sehr enge Beziehungen zu den Parlamentariern Lateinamerikas pflegt - übrigens, die älteste Beziehung, die das Europäische Parlament zu anderen Parlamenten hat, besteht mit den lateinamerikanischen Parlamenten, geht schon auf die frühen 70er Jahre zurück.	But may I take this opportunity to point out in all modesty that the European Parliament has cultivated very close relations with Latin American parliamentarians for years now; in fact, the longest-standing relations between the European Parliament and other parliaments are with Latin America and date back to the early 1970s.
Wie sich Lateinamerika in den nächsten Jahren und Jahrzehnten entwickelt, wird auch sehr stark von den Beziehungen zu Europa abhängen.	How Latin America develops over the coming years and decades will also depend to a very considerable degree on its relations with Europe.
Ich glaube, dass wir unsere Möglichkeiten unterschätzen.	I think that we underestimate our potential.
Ich möchte an dieser Stelle besonders darauf hinweisen, dass die Beziehungen zu Lateinamerika vor allem auch ein wissenschaftlich-technisches, ein industrielles Element enthalten müssen, so wie wir das zu den Vereinigten Staaten haben - warum nicht auch zu Lateinamerika?	I should like to make the point here that relations with Latin America must, above all, include a scientific and technical dimension, an industrial dimension, as we have with the United States -why not with Latin America as well?
Ich erinnere daran, dass zwei große wissenschaftliche Einrichtungen Europas in Lateinamerika sind: Die ESO, das European Southern Observatory in Chile, das übrigens dazu beigetragen hat, dass die Astrophysik in Chile einen enormen Auftrieb erfahren hat, oder unser Weltraumzentrum in Kourou, denn Französisch-Guayana befindet sich auf lateinamerikanischem Boden.	May I remind you that Europe's two biggest scientific institutes are in Latin America: the ESO or European Southern Observatory in Chile, which has done a great deal for astrophysics in Chile, and our space centre in Kourou, because French Guyana is also on Latin American soil.
Ich plädiere auch für einen intensiven industriellen Dialog unter Einbeziehung der Industrie Europas und Lateinamerikas.	I also advocate intensive dialogue involving industry in Europe and Latin America.
So etwas hat begonnen mit Mercosur, könnte ausgeweitet werden auf ganz Lateinamerika.	Something along these lines began with Mercosur and could be extended to the whole of Latin America.
Herr Patten hat zu Recht Kyoto erwähnt, also die Klimapolitik.	Mr Patten rightly referred to Kyoto and climate policy.
Wenn ich Zeit hätte, könnte ich Ihnen vorrechnen, was der Emissionshandel in Zukunft für Lateinamerika bedeuten könnte.	If I had the time, I could work out what emissions trading might mean in the future for Latin America.
Der Präsident signalisiert mir, ich habe diese Zeit nicht.	The President has signalled to me that I do not have the time.
Wenn ich sie hätte, würde ich Ihnen das vorrechnen, und Sie würden erstaunt sein, welche Möglichkeiten dies beinhaltet.	If I did, I would work it out for you and you would be astounded at the possibilities it encompasses.
Kurzum, wir haben viele Möglichkeiten, mit Lateinamerika in Beziehung zu treten.	In short, we have a great many opportunities for relations with Latin America.
Wir müssen sie nutzen und nicht nur darüber reden!	We must use them, not just talk about them!
