Herr Präsident! Herr Kommissar! Meine sehr geschätzten Damen und Herren!	Mr President, Commissioner, ladies and gentlemen, I should like to highlight two positive things.
Ich möchte zwei Dinge positiv hervorheben. Das erste ist das Arbeitsdokument, das von der Kommission vorgelegt wurde und das die Ausgangsposition für den Bericht bildete.	The first is the working document presented by the Commission, which was the starting point for the report.
Es ist eine sehr gut angelegte Basis, um hier eine Diskussion zu beginnen, die einmal in einen Rechtsakt münden soll, in dem dann die gemeinsamen Normen für ein Asylverfahren festgeschrieben werden.	It is a sound basis for instituting a debate which should culminate at some point in a legal act setting out common standards for an asylum procedure.
Das zweite ist der Bericht, den ich ganz besonders hervorheben möchte, weil es dem Berichterstatter in einer sehr heiklen Materie gelungen ist, tatsächlich einen breiten Konsens aller Fraktionen zu finden.	The second is the report, which I particularly wish to highlight, because the rapporteur really has succeeded in finding a broad consensus right across the political divide on a very delicate matter.
Das ist äußerst schwierig, und wir haben hier schon ganz andere Situationen erlebt. Daher ist dies eine exzellente Arbeit!	That is no easy task and we have all experienced quite the opposite here, which is why this is an excellent piece of work.
Ich möchte drei Punkte herausgreifen, die mir als besonders wesentlich erscheinen, und auch ersuchen, daß sie dann in die Überlegungen der Kommission einfließen.	I should like to pick up on three points which I think are particularly important and which I would ask the Commission to take into consideration.
Das erste ist der Punkt der Lastenteilung. Er wurde bereits angesprochen.	The first is the question of how to divide the burden and has already been addressed.
Die Überlegungen sollten nicht nur in eine Richtung gehen, sondern immer offen bleiben auch in Richtung der personellen Lastenteilung.	We must not concentrate on just one aspect; we need to remain receptive to a distribution in terms of people.
Sehen wir uns die Flüchtlingsströme an, dann stellen wir fest, daß immer die gleichen Länder betroffen sind.	If you look at refugee movements, you will see that they always affect the same countries.
Mein Land Österreich zum Beispiel ist immer im Spitzenfeld, wenn es um die Aufnahme von temporären Flüchtlingen geht, genau so wie bei der Aufnahme von Asylbewerbern.	Austria, for example, where I come from, is always near the top of the list when it comes to admitting temporary refugees or asylum seekers.
Es ist gleichzusetzen mit Luxemburg, mit Belgien, mit den Niederlanden.	It is on a par with Luxembourg, Belgium and the Netherlands.
Andere haben wesentlich weniger Last zu tragen. Hier ist die Solidarität der Mitgliedstaaten stärker gefordert.	Others have a much lighter burden to bear and greater solidarity between the Member States is needed here.
Ich möchte die Verkürzung und die Vereinfachung der Anerkennungsverfahren herausheben, ohne daß aber - und das ist das Wesentliche - die Überprüfungssorgfalt reduziert wird.	I should like to highlight the question of shortening and simplifying the qualification procedures without - and that is the crux of the matter - compromising careful examination.
Das ist ein wesentlicher Punkt, denn Asylbewerber haben ein Recht auf eine rasche Entscheidung und eine rasche Antwort, was ihren künftigen Status anbelangt.	It is an important point, because asylum seekers are entitled to a fast decision and a fast answer on their future status.
Der dritte Punkt ist der, der Rechtssicherheit gibt und hilft, im Vollzug gleichlaufend Entscheidungen quer durch die Mitgliedstaaten zu treffen.	The third point is that which gives legal certainty and which, when implemented, helps to ensure that identical decisions are taken in all Member States.
Das ist der Punkt, daß wir Listen - permanent überarbeitet - über die sicheren Dritt- und Herkunftsländer führen sollten.	It is the point which requires us to keep up-to-date lists of safe third countries and countries of origin.
Das ist eine enorme Hilfestellung, wenn es uns gelingt, diese Listen aufzustellen.	It will help enormously if we manage to draw up these lists.
Es hat den breiten Konsens gegeben, aber ich fürchte, daß dieser Konsens unter Umständen nicht aufrechterhalten werden kann, wenn tatsächlich die Änderungsanträge von seiten der Grünen alle eingebracht werden.	It attracted a broad consensus but I fear that this consensus will not perhaps hold up if all the amendments proposed by the Greens are included.
Sie wollen viel Positives, aber sie wollen manches so total, wie Frau Merkel einmal angemerkt hat.	They want much that is positive, but they want a lot that is total, as Mrs Merkel once remarked.
Wenn sie etwa die totale Ausweitung des Flüchtlingsbegriffs umsetzen wollen oder den totalen Zugang für Asylbewerber zum Arbeitsmarkt oder in Richtung Umkehr der Beweislast arbeiten, dann droht das den Konsens, der mit ihrer Zustimmung im Ausschuß herbeigeführt worden ist, wieder zu gefährden.	If, for example, they want to implement the total extension of the definition of refugee or total access for asylum seekers to the job market or work to reverse the burden of proof, then the consensus achieved with their vote in committee will be jeopardised.
Ich appelliere an sie, zu überlegen, diese Änderungsanträge zurückzunehmen, damit der große Konsens weiterhin aufrechterhalten werden kann.	I call on them to consider withdrawing these proposed amendments so that the broad consensus can be maintained.
