Herr Präsident! Herr Liikanen!	- Mr President, Mr Liikanen, please listen to the case I am about to make.
Hören Sie mein Plädoyer. Der Industrieministerrat traf sich am 9. November, und zu Hause habe ich mich dazu wie folgt geäußert.	The Council of Ministers for Industry met on 9 November and I made the following comments in this regard at home.
Endlich hat Europa deutliche Worte gefunden, und nun müssen Taten folgen.	Europe has finally found strong words but deeds must now follow.
Jetzt haben wir ein klares Signal an Südkorea, die unlauteren Wettbewerbsmethoden im Schiffbau einzustellen.	We are now giving a clear signal to South Korea to abandon unfair methods of competition in shipbuilding.
Wir werden nicht hinnehmen, daß die mühevoll modernisierte heimische - sprich europäische - Werftenindustrie durch unfaire Mittel vom Markt verdrängt wird.	We will not accept domestic, i.e. European, shipbuilding being driven out of the market by unfair practices after it has been painstakingly modernised.
Allein in Deutschland sind 21 000 Arbeitsplätze im Schiffbau und 125 000 im Zuliefersektor bedroht.	In Germany alone, 21,000 jobs are threatened in shipbuilding along with 125,000 more in the supply sector.
Die Ironie der Situation liegt vor allem darin, daß die verdeckten Subventionen auch durch die Kredite des Internationalen Währungsfonds zur Überwindung der fernöstlichen Finanzkrise ermöglicht wurden.	The irony of the situation lies, above all, in the fact that the hidden subsidies were facilitated by credits from the International Monetary Fund to surmount the financial crisis in the Far East.
Europa hat spätestens seit dem interessanten Kommissionsbericht, Herr Liikanen, vom 13. Oktober, dem Werftenaktionstag, und durch den Industrieministerrat die gelbe Karte gezeigt.	Mr Liikanen, following the interesting report from the Commission of 13 October, the shipyard action day, Europe, through the Council of Ministers for Industry, has given Korea a yellow card.
Eine Fortsetzung der koreanischen Dumpingpraktiken muß mit Platzverweisen geahndet werden.	Any continuation of Korean dumping practices must be punished with a sending off.
Die europäische Schiffbauindustrie befindet sich in einer ernsthaften Krise, und das nicht erst seit heute.	The European shipbuilding industry finds itself in a serious crisis, one that has not just come about today.
Dringend muß nun entschieden werden, ob man sich für den Schiffbau in Europa einsetzen will und damit für den Erhalt der gesamten maritimen Industrie oder ob diese Hightechbranche anderen überlassen werden soll.	An urgent decision must now be taken as to whether to support shipbuilding in Europe and in so doing support the preservation of the entire maritime industry or to leave this hi-tech branch of industry to others.
