Aber lassen Sie mich einige wenige Bemerkungen zu der Debatte heute machen.	However, allow me to make a few comments on the current debate.
Ich glaube, dass die schwedische Präsidentschaft mit viel Feingefühl und zielsicher den Ratifikationsprozess zu Ende gebracht hat, der ja in ihrer Zeit von vier Ländern noch zu vollziehen war.	I believe that the Swedish Presidency has brought the ratification process to a conclusion with great sensitivity and in a targeted manner, when, of course, this process still had to be completed by four countries within its period of office.
Ich möchte mich sehr dafür bedanken, dass dieser schon neun Jahre währende Prozess auf diese Art und Weise in den Hafen gefahren worden ist.	I would like to express my gratitude for the fact that this process, which lasted nine years, has been steered home in this way.
Ich meine, dass aber damit auch noch die Chance gegeben ist, das jetzt erst in die Praxis umzusetzen. Und in der Praxis wird auch Verfassungswirklichkeit geschrieben.	I believe that this will also give us the opportunity to put this into practice for the first time, because what happens in practice also determines constitutional reality.
Deswegen muss es klar sein, dass der Präsident des Europäischen Rates nur die Legitimation der Regierungschefs hat und jeder operationelle Präsident, der nicht vom Parlament abhängig ist, direkt von der Bevölkerung gewählt wird, in jeder Verfassung.	For that reason, it must be clear that the President of the European Council has only the legitimacy of the Heads of State or Government, and in any constitution, any operational president who is not answerable to Parliament is directly elected by the people.
Das muss auch für den Präsidenten des Europäischen Rates gelten.	That must be the case for the President of the European Council, too.
Die volle Legitimation hat nur der Kommissionspräsident.	Only the President of the Commission has full legitimacy.
Weiterhin möchte ich darauf aufmerksam machen, Herr Barroso hat darauf hingewiesen, wie wichtig nach Jean Monnet die Institutionen für den Bestand sind.	I would also like to draw attention, as Mr Barroso also mentioned in quoting Jean Monnet, to just how important the institutions are for our lasting existence.
Bei einem Hohen Beauftragten/Vizepräsidenten der Kommission muss klar sein, dass er nur als Einheit ins Amt kommt.	As far as the High Representative/Vice-President of the Commission is concerned, it must be clear that, when he takes office, he will immediately take on both roles.
Er kann nicht zunächst am 1. Dezember als Hoher Beauftragter ins Amt kommen und dann später als Vizepräsident.	He cannot first take office as the High Representative on 1 December and then later as the Vice-President.
Er kann erst dann ins Amt kommen, wie aber auch der Vizepräsident, wenn er die Zustimmung des Europäischen Parlaments gefunden hat.	He can only take office, as can the Vice-President, once he has been approved by the European Parliament.
Da sollte kein Missverständnis aufkommen, weil wir sonst in eine rechtliche Problematik hineinkommen.	There should be no misunderstanding about this, because otherwise we will have legal problems.
Außerdem möchte ich darauf hinweisen, dass das Europäische Parlament seine Rechte wahrnehmen wird, wenn es um den Auswärtigen Dienst geht.	I would also like to mention that the European Parliament will exercise its rights with regard to the External Action Service.
Wir wollen nicht, dass der Vertrag von Lissabon genutzt wird, um Europa zu "intergovernmentalisieren", der Geist des Vertrags ist ein anderer.	We do not want the Treaty of Lisbon to be used to 'intergovernmentalise' Europe. That is not the spirit of the treaty.
Hier spielt der Auswärtige Dienst eine entscheidende Rolle.	The External Action Service will play a decisive role in this regard.
Ich bitte, die Position des Parlaments in dieser Frage, die Sie ja kennen, ernst zu nehmen und hier nicht Festlegungen zu machen, die wir Ihnen zerstören würden, weil wir dazu die Macht haben.	I would ask you to take seriously Parliament's position on this matter, which you are, of course, aware of, and not to make statements in this regard to the effect that we would destroy you because we have the power to do so.
