Frau Präsidentin! Ihre Ausführungen, Frau Kommissarin, waren sehr interessant.	Madam President, what the Commissioner said was most interesting.
Allerdings haben Sie zur wichtigsten Frage nicht Stellung bezogen.	However, she did not give her position on the main question.
Wie interpretiert die Kommission den Artikel 100 a Absatz 4?	How does the Commission interpret Article 100a(4)?
Das ist ein relevantes Thema, wenn man wissen will, ob Österreich, Finnland oder Schweden im Bereich des Umweltschutzes und der Arbeitsumwelt einzelstaatliche Bestimmungen erhalten können.	That is a relevant question for those who want to know whether Austria, Finland or Sweden can retain their national provisions in the field of environmental protection and the working environment.
Das heißt, daß man diesen drei Ländern dann nicht unterstellt, mit diesen Mitteln, die sie anwenden wollen, eine willkürliche Diskriminierung und eine verschleierte Beschränkung des Handels herbeiführen zu wollen.	That means it should not be insinuated that in using the measures they want to apply these three countries are trying to bring about arbitrary discrimination and covertly to restrict trade.
Das ist nicht im Sinne dieser drei neuen Länder.	That is not the purpose of these three new countries.
Ziel dieser drei neuen Länder ist die Erhaltung und der weitere Ausbau der hohen Umweltstandards in Europa.	The aim of these three new countries is to maintain and further improve the high environmental standards in Europe.
Diese Priorität hat auch der einzelne europäische Bürger.	That is also the priority of the individual European citizen.
Frau Kommissarin, im Beitrittsartikel Nr. 69 heißt es: Spezifische Regelungen dürfen beibehalten werden und werden bis 1998 überprüft.	Commissioner, Article 69 of the Treaty of Accession states that specific provisions may be retained and will be reviewed by 1998.
Weiter heißt es: Unbeschadet der Ergebnisse dieser Überprüfung gilt der gemeinschaftliche Besitzstand ab dem Ende der Übergangsfrist.	It also says that regardless of the results of that review, the acquis communautaire shall apply from the end of the transitional period.
Das ist nämlich der Pferdefuß.	That is the real snag.
Ich möchte gerne von Ihnen wissen: Wie geht es dort weiter, wo man sich nicht einigen kann?	I would like you to tell me how things are to go on if no agreement can be reached?
Ist das, was uns 1994 versprochen wurde, auch dann noch gültig, wenn es bei der Harmonisierung Europas Schwierigkeiten gibt?	Is what was promised to us in 1994 still applicable if difficulties arise in European harmonization?
Das sind relevante Fragen, die offen geblieben sind.	Those are relevant questions, which have remained unanswered.
Wir wollen keine spezifischen Regelungen haben, sondern wir wünschen uns, daß ganz Europa mitzieht und dieselben Regelungen einführt, die in unseren drei Ländern bereits Gesetz sind.	We do not want specific rules but would hope that Europe as a whole will go along with us and introduce the same rules that are already law in our three countries.
Das ist das Thema heute, und nicht die einzelnen Schwierigkeiten über Cadmium, Alkalimanganbatterien usw.	That is the subject today, not individual difficulties with cadmium, alkali-manganese batteries and so on.
