Dem Initiativbericht des Kollegen Pohjamo stimmt meine Fraktion zu.	. My group agrees with Mr Pohjamo's own-initiative report.
Die bestehenden Rechtsvorschriften und die Reform der Strukturfonds im Rahmen der Agenda 2000 zeigen bisher noch nicht das erhoffte Ausmaß positiver Effekte.	Positive effects have not yet been forthcoming, to the extent we had hoped, from the current provisions of the law and from the reform of the structural funds within the Agenda 2000 framework.
Zu optimieren sind insbesondere:	The following, in particular, need to be optimised:
die langwierigen Programmverhandlungen zwischen Kommission und Mitgliedstaaten	the lengthy negotiations on programmes between the Commission and the Member States
die komplizierten Finanzvorschriften	the complicated financial provisions
die Beteiligung der Regionen bei der Umsetzung der Programme und Projekte	the involvement of the regions in the implementation of programmes and projects
der Aufwand bei der Verwaltung sowie	the expenditure on administration, and
die unverbindliche Kontrolle der durchgeführten Projekte	the non-binding nature of the monitoring of project implementation.
Ohne weitere strukturelle Veränderungen in der Verwaltung der Strukturfonds wird auch in Zukunft das Problem, dass sich zwar Disparitäten zwischen den Mitgliedstaaten, nicht aber zwischen den Regionen innerhalb der Staaten verringern, kaum zu beseitigen sein.	Unless further structural changes are made in the administration of the Structural Funds, it will continue to be scarcely possible to resolve the problem posed by the decrease in disparities between the Member States not being reflected by a decrease in those between the regions within them.
Diese Veränderungen müssen besonders folgende Punkte beinhalten:	Such changes must, in particular, cover the following aspects:
die zeitliche Beschränkung von Projektvorhaben	time limits on projects
die Nicht-Weiterfinanzierung von Projekten, deren Realisierung den vorgesehenen Zeitrahmen überschreitet	discontinuance of the financing of projects, the realisation of which overruns the timescale envisaged
die Umverteilung der Strukturfondsmittel von Ländern, die diese nicht in Anspruch nehmen, auf diejenigen, die ausreichend qualifizierte Projekte eingereicht haben	the redistribution of Structural Funds resources from countries not availing themselves of them to those which have submitted sufficient qualifying projects
die Höhergewichtung von beschäftigungsfördernden Investitionsvorhaben	greater weight to be given to infrastructure projects which promote employment.
Im Zusammenhang mit der Erweiterung der EU ist es dringend erforderlich, dass spätestens 2003 konkrete Vorschläge seitens der Kommission vorliegen, die gewährleisten, dass es für die jetzigen Mitgliedstaaten keine Verschlechterungen bezüglich der Strukturmittel geben wird und die Beitrittskandidatenländer, entsprechend den Aufgaben einer gemeinsamen Strukturpolitik, gleichberechtigt behandelt werden.	Enlargement of the EU makes it a matter of urgent necessity that the Commission should produce, by 2003 at the latest, definite proposals to guarantee that present Member States should suffer no detriment as regards structural resources and that the countries that are candidates for accession should be treated equally in line with the tasks of a common structural policy.
Anders kann das Ziel, bestehende Entwicklungsunterschiede dauerhaft zu verringern und somit den wirtschaftlichen und sozialen Zusammenhalt zu stärken, nicht erreicht werden.	There is no other way to achieve the objective of long-term reduction of existing differences in levels of development and the consequent enhancement of economic and social cohesion.
Auch die Änderungsanträge meiner Fraktion haben diese politische Zielrichtung unterstützt.	The amendments tabled by my group have also supported this statement of political objectives.
