Der Vorschlag hat zugleich eine große Bedeutung für den Forschungsstandort Europa.	The proposal is also of great importance for Europe as a centre for research.
In der derzeitigen Situation können die europäischen Forscher und Hersteller - häufig kleine und mittlere Unternehmen - weder wachsen, noch können sie sich im internationalen Wettbewerb behaupten.	With things as they stand at present, European researchers and manufacturers - who are often small and medium-sized enterprises - can neither grow nor hold their own in international competition.
Lassen Sie mich einige Worte zum Gesetzgebungsverfahren sagen: Es ist selbstverständlich die Angelegenheit des Parlaments, wie es das Verfahren handhabt.	Let me now say something about the legislative process.
Angesichts der Notwendigkeit, klare Bedingungen für diese so lange erwarteten innovativen Therapien zu schaffen, bitte ich Sie jedoch, mir zu erlauben, eindringlich an Sie zu appellieren, das Verfahren nicht weiter zu verzögern und hier zu einer Entscheidung zu kommen. Ich begrüße es daher umso mehr, dass drei Fraktionen ein umfassendes Kompromisspaket vorlegt haben, damit eine solche rasche Einigung möglich wird.	While it is self-evidently a matter for your House as to how the procedure is handled, I would, however, ask you to bear with me as I appeal to you to come to a decision and to refrain from dragging the process out any longer, in view of the need to create unambiguous conditions for these innovative therapies, for which people have been waiting for so long, and it is for that reason that I am all the more pleased that three groups have put forward a comprehensive compromise package that will make a speedy agreement of that sort possible.
Ich kann für die Kommission erklären, dass dieses gesamte Paket von uns unverändert unterstützt werden kann. Ich glaube, dass auch der Ratsvorsitz überzeugt ist - das werden wir ja noch hören -, dass das Paket so auch vom Rat angenommen wird.	I am able to say, on behalf of the Commission, that we are able to endorse this package as a whole without any changes needing to be made, and I believe that the Council Presidency, too - although we have yet to hear it say so - is persuaded that the Council will be able to adopt the package as it stands.
Mir ist durchaus bewusst, dass wir es hier mit einem besonders sensiblen Thema zu tun haben, und wir müssen besonders empfindlich sein, wenn es um ethische Fragen von solcher Bedeutung geht. Deshalb möchte ich noch einmal in aller Klarheit sagen: Diese Verordnung soll ausschließlich sicherstellen, dass die Patienten unbedenkliche und wirksame Arzneimittel erhalten.	I am perfectly well aware that we are dealing here with a particularly tricky topic, and we must be especially sensitive when considering ethical issues as important as this one, and so let me once again make it clear that our sole intention, with this regulation, is to ensure that patients get safe and effective medicines.
Mehr ist nicht bezweckt.	There is no other objective in mind.
Der Vorschlag erzwingt daher weder die nationale Zulassung ethisch sensibler Technologien, noch werden sie europaweit verboten. Der Vorschlag beschränkt sich darauf, die nationalen Entscheidungen zu respektieren.	It follows, then, that the proposal neither compels the licensing of ethically problematic technologies at national level nor prohibits them from being used throughout Europe; the proposal goes no further than respecting decisions taken at national level.
Auch die wichtigen Grundsätze, dass Organ- und Gewebespenden freiwillig und unbezahlt sein müssen, gelten selbstverständlich. Sie sind bereits fest in anderen Rechtsakten verankert.	The important principle that donations of organs and tissue must be voluntary and unpaid applies as a matter of course, and is already enshrined in other legal acts.
Deshalb ist eine Wiederholung im vorliegenden Vorschlag überflüssig.	Reiterating it in this proposal would therefore be superfluous.
Auf jeden Fall sollten wir für solche Produkte gemeinsame Sicherheitsstandards festlegen.	What we should do, whatever happens, is lay down common safety standards for such products.
Ich sehe kein Argument dafür, mit dem wir es rechtfertigen könnten, ein unterschiedliches Schutzniveau in verschiedenen Mitgliedstaaten zu akzeptieren. Das würde im Übrigen nur dazu führen, dass wir bei verschiedenen Krankheiten einen europaweiten Patiententourismus bekommen.	I do not think there is any argument by which we might justify acceptance of a standard of protection that varied from one Member State to another, which - among other things - would result only in patients and their various diseases travelling the length and breadth of Europe.
Entgegen den Änderungsvorschlägen des Rechtsausschusses sollten wir daher ethisch sensible Produkte - etwa aus embryonalen Stammzellen - gerade nicht vom Anwendungsbereich der Verordnung ausnehmen.	Despite the amendments proposed by the Committee on Legal Affairs, then, we should not remove ethically problematic products - those derived from embryonic stem cells, for example - from the scope of the regulation.
Lassen Sie mich noch einmal mit allem Ernst sagen: Wir haben heute die einmalige politische Chance, eine Verordnung zu verabschieden, auf die kranke Menschen in Europa und die europäische Arzneimittelindustrie seit langem warten.	Let me say once more - and I do so in all seriousness - that today presents us with a unique political opportunity to adopt a regulation for which sick people in Europe, and the European medicines industry, have been waiting for a long time.
Wir können es uns nicht leisten, diese Chance zu verpassen. Ich bitte daher alle Mitglieder des Europäischen Parlaments, das von Frau Roth-Berendt, Frau Ries und Herrn Adamo im Namen ihrer Fraktionen vorgelegte Kompromisspaket zu unterstützen und andere Anträge abzulehnen.	It is because this is an opportunity that we cannot allow ourselves to miss that I ask all the Members of the European Parliament to endorse the compromise package submitted by Mrs Roth-Behrendt, Mrs Ries and Mr Adamo on behalf of their groups, and to reject other motions.
Wird diese Verordnung verabschiedet, wird sie Innovation fördern, die Wettbewerbsfähigkeit unserer Forschung und Industrie stärken und vor allem helfen, Leben zu retten und Menschen von schweren Leiden zu befreien. Indem Sie dieses Paket unterstützen, können Sie all das erreichen.	If this regulation is adopted, it will promote innovation, make our research and industry more competitive, and, above all, help to save lives and deliver people from grave suffering; all these things you can bring to pass by endorsing this package.
