im Namen der Verts/ALE-Fraktion. - Herr Präsident, Frau Kommissarin!	Mr President, Commissioner, your answers have failed to convince me.
Ihre Antworten haben hier nicht wirklich überzeugt. Auch das, was die Kommission schon im Agrarausschuss gesagt hat, war alles andere als überzeugend.	The details provided by the Commission in the Committee on Agriculture and Rural Development were also far from convincing.
Kollege George Lyon hat es schon gesagt: Das Problem kommt auf uns zu.	As Mr Lyon has already stated, this is a problem facing us down the line.
Wir werden ab 2012 30 % der Eier illegal auf dem Markt haben, ohne zu wissen, wie wir damit umgehen.	From 2012 onwards, 30% of the eggs on the market will be illegal. However, we have no idea how to deal with them.
Jetzt darauf zu vertrauen, dass Staaten ihre Berichtspflicht einhalten - mit Verlaub, warum leitet man kein Vertragsverletzungsverfahren ein oder droht es zumindest an, um hier ganz klar durchzusetzen, dass europäisches Recht im Endeffekt in allen Mitgliedstaaten und für alle Landwirte gelten muss?	Apparently, we are to trust states to meet their reporting obligations - permit me to ask why we do not initiate infringement proceedings or at least threaten such action, so as to make it quite clear that, at the end of the day, European law must apply in all Member States and to all farmers?
Wir haben eine sehr hohe Glaubwürdigkeit auf der Ebene des Tierschutzes - die haben wir auch zu verteidigen.	We have built up a very high level of credibility in respect of animal welfare, and this is something we must also defend.
Die Bürger vertrauen zu Recht darauf, dass das auch umgesetzt wird.	Citizens rightly expect these standards to be applied.
Wir haben eine sehr sensible Öffentlichkeit im Bereich Tierschutz.	The public is very sensitive to animal welfare issues.
Wir geben letztendlich den Landwirten auch Mittel in die Hand, geben ihnen öffentliche Unterstützung, weil wir strengere Vorschriften in Sachen Umweltschutz und Tierschutz haben.	After all, we do provide funding and public support to the farming community because we have more stringent regulations in relation to environmental protection and animal welfare.
Dann können wir auch von allen Mitgliedstaaten eine Gegenleistung verlangen.	It is not unreasonable to expect something in return from all Member States.
Deshalb lautet die Frage: Was macht die Kommission jetzt?	For this reason, I should like to ask: What is the Commission going to do now?
Wir haben es im Ausschuss schon verlangt.	We have already made a demand at committee level.
Es muss eigentlich sofort ein Maßnahmenkatalog auf den Tisch gelegt werden.	We actually need to place a catalogue of measures on the table immediately.
Wir können es nicht hinnehmen, dass eventuell darüber diskutiert wird, noch Fristen zu verlängern.	We cannot accept the possibility of further discussions aimed at extending deadlines.
Es ist völlig inakzeptabel, dass wir jetzt diejenigen bestrafen, die umgesetzt haben, indem wir anderen die Möglichkeit geben, noch länger mit Übergangsfristen zu arbeiten.	It cannot be that we now penalise those who have implemented policy by allowing others to work with transitional deadlines for even longer.
Das stört das Vertrauen der Landwirtschaft in die europäischen Institutionen.	This will cause farmers to lose faith in the institutions of the European Union.
Sie haben die Frage bei der Kennzeichnung angesprochen.	You raised a question in relation to labelling.
Was passiert denn mit Produkten, die Eier, aber keine Frischeier, sondern z. B. Flüssigeier enthalten?	What will happen with products that contain liquid egg instead of fresh eggs, for example?
Wie kennzeichnen wir denn das?	How can we label such products?
Zumindest diesen Punkt müssten wir sofort regeln.	This point must be regulated immediately at the very least.
Es ist schon mehrmals gesagt worden: 10 Jahre sind eine lange Zeit.	It has already been said several times that 10 years is a long time.
Da hätten eigentlich alle in der Europäischen Union wissen müssen, dass man diese Fristen einhalten muss.	Everyone in the European Union must have known that these deadlines would have to be observed.
Es gibt keine Ausrede, für keinen Mitgliedstaat, auch für neue Mitgliedstaaten nicht, zu sagen: Tut uns leid, die Zeit hat nicht gereicht.	There can be no excuse for Member States, including new Member States, saying: 'Sorry, but we ran out of time.
10 Jahre sind wirklich genug.	Ten years really was not enough'.
Wir haben in der Europäischen Union eine Spitzenposition in Sachen Tierschutz.	The European Union is in pole position when it comes to animal welfare.
Wir argumentieren damit weltweit.	We can use it to back up our arguments worldwide.
Wir argumentieren damit gegenüber den Verbrauchern, und deshalb müssen wir das konsequent umsetzen, sonst verlieren wir alle - letztendlich auch dieses Parlament und erst recht die Kommission - die Glaubwürdigkeit in Sachen Umsetzung von europäischen Standards.	We can use it in argumentation with consumers, which is why we must implement this consistently if Parliament and the Commission are not to lose credibility in relation to the implementation of European standards.
Deshalb fordern wir die Kommission dringend auf, zu handeln und nicht noch mehr Zeit verstreichen zu lassen und im Endeffekt zu riskieren, dass wir ab 1.1.2012 eine Situation haben werden, die für alle sehr unbefriedigend ist.	For this reason, we are urgently calling on the Commission to take action, rather than wasting even more time risking a situation that will satisfy no one from 1 January 2012 onwards.
