Herr Präsident, Herr Kommissar! Ich bedanke mich für das, was Sie hier gesagt haben.	Mr President, Commissioner, I am grateful for your comments, and support everything you have said.
Ich kann das alles unterstreichen. Ich hätte das ähnlich gesagt, nur spreche ich anders als Sie.	I would have said it in a similar way, except that I express myself differently.
Ich habe die gleichen Erfahrungen gemacht, als ich vor 14 Tagen mit dem Kollegen Swoboda in Serbien war.	I had the same experience when I was in Serbia a fortnight ago with Mr Swoboda.
Wir waren zwar nicht vor Herrn Hombach da, aber wir sind hingefahren, weil wir das Geld haben, um den Menschen dort zu helfen.	Although we were not there before Mr Hombach, we did go there, because we have the funds to help people there.
Herr Hombach ist nur hingefahren, um sich zu zeigen und festzustellen, was man vielleicht machen könnte.	Mr Hombach only went there to make his presence felt and to establish what it might be possible to do.
Wir wissen, was man machen kann, und wir können das Geld morgen zur Verfügung stellen, und darum bin ich froh.	We know what can be done and we are in a position to make the funding available tomorrow, which I am very pleased about.
Ich bin auch sicher, dass unter Ihrer Ägide, Herr Kommissar, die Nothilfe wirklich eine schnelle Hilfe wird.	I am also sure that under your auspices, Commissioner, emergency aid really will be provided swiftly.
Da kann die Kommission zeigen, dass sie besser ist als ihr Ruf.	This is an opportunity for the Commission to demonstrate that it does not deserve its reputation.
Ich habe zwei Fragen.	I have two questions.
Erstens hat Herr Kollege Modrow gestern Abend behauptet, alles, was wir jetzt dort machen, sei die Reparation des NATO-Bombardements.	First, Mr Modrow alleged yesterday evening that everything we are doing there amounts to reparation for the NATO bombing.
Ich habe ihm gesagt, das sei Unsinn.	I told him that was nonsense.
90 % der Schäden, die wir dort beheben, sind Misswirtschaft sozialistisch-kommunistischer Art. Ich hätte gerne von Ihnen eine Bestätigung für meine Aussage.	90% of the damage that we are making good there is the result of socialist and communist mismanagement. I would be grateful if you would confirm this point.
Zweitens: Als wir unten waren vor 14 Tagen, wurde uns gesagt, die Sanktionen seien aufgehoben, aber sie sind nicht aufgehoben.	Secondly, when we were down there two weeks ago, we were told that the sanctions were being lifted, but they have not been lifted.
Was ist mit den Handelssanktionen?	Where do things stand on trade sanctions?
Haben Sie das jetzt gelöst?	Have you resolved that issue?
Die Firmen brauchen nämlich jetzt die Möglichkeit, Handel zu treiben.	Companies need to be able to do business now.
Setzen Sie die Entourage von Milosevic auf eine schwarze Liste, aber öffnen Sie die Liste für alle anderen!	You can put Milosevic's entourage on a blacklist, but you should open things up for everyone else!
