Herr Präsident! Zunächst einmal möchte ich mich an meinen Münchner Kollegen Sakellariou wenden.	Mr President, first of all I would like to turn to my colleague from Munich, Mr Sakellariou.
Ich bin auch nicht immer einer Meinung mit Herrn Dupuis, aber ich möchte sagen, Herr Dupuis ist ein überzeugter Demokrat, und bisher war es hier im Haus üblich, daß jeder mit jedem verhandelt hat.	I may not always be of the same mind as Mr Dupuis but what I would like to say is that he is a confirmed democrat, and hitherto it was customary in this House for people to negotiate with each other.
Wenn man das ändert, dann muß man Regeln festsetzen, und dann muß man es auch beenden, daß Ihre Fraktion wie andere Fraktionen regelmäßig gemeinsame Initiativen mit einer Fraktion startet, in der Herr Modrow tätig ist, das einzige Mitglied dieses Hauses, das jahrzehntelang führend einem verbrecherischen Regime, nämlich dem Regime der Mauermörder, gedient hat.	If that is to change then rules must be laid down, and we must also put a stop to your group, as well as other groups, regularly starting joint initiatives with the group that Mr Modrow belongs to, Mr Modrow being the only Member of this House who for decades served a criminal regime, that of the Berlin Wall murderers, in a prominent capacity.
Ich möchte dies einmal ganz klar hier sagen, damit hier keine verkehrten Fronten entstehen.	I would like to make this quite plain to you all, so as to avoid any crossed wires.
Wir müssen dafür sorgen, daß man dann klare demokratische, rechtsstaatliche Kriterien aufstellt.	We must ensure that clear, democratic criteria pertaining to a state under the rule of law are then established.
Zur Sache selbst möchte ich sagen, daß zwar zu Recht die Abwesenheit des Rates kritisiert wurde - ich schließe mich dem an -, aber gestern in der Fragestunde gab es eine Stunde und zehn Minuten lang eine Debatte mit dem Rat über das Thema Kosovo.	As to the issue itself, I would like to say that although the Council was rightly criticised for its failure to attend - and I would second this - yesterday, during Question Time, we had a debate with the Council on Kosovo lasting an hour and ten minutes.
Da hat sich der Rat relativ gut gehalten, aber es war beschämend, was hier aus diesem Haus zu hören war, denn mit wenigen Ausnahmen war nur davon die Rede, daß es im Kosovo heute größere Übergriffe und schlimmere Menschenrechtsverletzungen gäbe als vor der NATO-Intervention.	The Council behaved relatively well but I am ashamed of what this House had to say for, with few exceptions, all we could talk about was that there are more serious attacks and worse human rights violations going on in Kosovo today than there were before NATO intervened.
Es wurde sogar vorgeschlagen, man möge die NATO vor den Gerichtshof in Den Haag bringen.	It was even suggested that NATO ought to be brought before the Court of Justice in The Hague.
Das war ein ungeheuerlicher Vorgang, und ich muß einfach sagen, daß hier ein verzerrtes Bild von der Meinung dieses Hauses entsteht.	This was an atrocious way to go on and I simply have to say that it produced a distorted image of the opinion of this House.
Deshalb bin ich sehr froh über die heutige mit großem Konsens erarbeitete Entschließung, denn wir müssen uns darüber im klaren sein: Heute gibt es Übergriffe, heute gibt es ungeklärte und bedauerliche Zwischenfälle, aber was es Gott sei Dank nicht mehr gibt, ist die Massenvertreibung von Hunderttausenden oder Millionen Menschen, gezielt, durch staatliche Gewalt.	I am therefore very pleased with the motion that has been worked out with a large consensus today, for we must get something straight: attacks are currently taking place, as are unresolved and regrettable incidents, but what we do not have, thank God, is the mass expulsion of hundreds of thousands or millions of people, brought about by state-sanctioned violence.
Das war es, was die NATO-Intervention beendet hat.	That is what NATO intervention brought to an end.
Deshalb hat die NATO nicht Den Haag verdient, sondern hätte die NATO den Sacharow-Preis dieses Hauses verdient.	That is why NATO does not deserve to go to The Hague, rather this House ought to have awarded it the Sakharov prize.
Ich möchte ganz klar sagen, daß wir hier dafür sorgen müssen, daß auch wir endlich zu unseren Verpflichtungen stehen.	I would like to make quite plain that we too must be sure to stand by the commitments we made in this respect.
Wir haben die Verantwortung für Kosovo übernommen, mit allen Folgen, die dies hat, aber dies heißt natürlich, daß wir angesichts der Konflikte, die es dort logischerweise gibt, dafür sorgen müssen, daß rasch wieder eine funktionierende Zivilverwaltung entsteht.	We assumed responsibility for Kosovo, with all the consequences that entails, but of course this means that in view of the conflicts that are taking place - and it stands to reason that this should be so - we must see to it that a functioning civil administration is set up again with all haste.
Ich möchte mich dem Kollegen Bertel Haarder und anderen ausdrücklich anschließen, die gesagt haben: Das Wichtigste ist der Aufbau von Polizei- und Justizstrukturen.	I would like to lend my express support to Bertel Haarder and others, who said that we must make the building up of police and judicial structures our priority.
Hier haben wir jämmerlich versagt.	We have failed miserably on this front.
Der erste Fehler war, daß man diese Aufgabe der UNO übertragen hat, die es eindeutig nicht in den Griff bekommt.	The first mistake was that this task was transferred to the UN, which is definitely failing to get to grips with it.
Der zweite Fehler ist der, daß viele Staaten, einschließlich der Mitgliedstaaten, ihren Verpflichtungen nicht gerecht werden, vor allem auf dem finanziellen Sektor.	The second mistake is that many States, including the Member States, are not living up to their commitments, particularly those of a financial nature.
Wir hören vom Wiederaufbau des Kosovo, wir hören vom Stabilitätspakt, aber das Ganze entspricht weitgehend der heute so modern gewordenen Ankündigungsgesellschaft, das heißt, es werden Millionen und Milliarden versprochen und angekündigt, es wird davon aber relativ wenig in die Tat umgesetzt.	We hear about the reconstruction of Kosovo and the Stability Pact, but all of that is very much in keeping with the culture of announcements that is very much the 'in thing' these days. In other words, millions and billions are promised and announced but only a relatively small proportion of this sees the light of day.
Ich appelliere auch an die Kommission - und ich weiß, daß Kommissar Patten einer der besten Kommissare ist, die wir haben -, hier massiv tätig zu werden und dafür zu sorgen, daß endlich aus einer Fülle von Ankündigungen der Staaten - das ist nicht die EU, das sind die Staaten - Wirklichkeit wird.	I also call upon the Commission - and I know that Commissioner Patten is one of the best Commissioners we have - to make a huge effort here and ensure that the whole host of announcements made by the States - not the EU, the individual States that is - actually materialise.
Ansonsten wird es immer wieder Mißstände und Übergriffe geben und wird der Aufbau der Rechtsstaatlichkeit nicht funktionieren.	Otherwise there will be a steady stream of outrages and attacks and any attempts to establish rule of law will come to nought.
