Liebe Kolleginnen und Kollegen! Ich möchte zwei Erklärungen abgeben.	Ladies and gentlemen, I wish to make two statements.
Die zweite Erklärung gebe ich im Auftrag und auf Aufforderung der Konferenz der Präsidenten ab.	The second of these is made on behalf of the Conference of Presidents at its request.
Das Ergebnis der Abstimmung vom 12. Juni 2008 in Irland führt die Europäische Union zu einer der schwierigsten Herausforderungen ihrer Geschichte.	The result of the referendum of 12 June 2008 in Ireland confronts the European Union with one of the most difficult challenges in its history.
Der Reformvertrag von Lissabon, entstanden aus dem Verfassungsvertrag, der von einem öffentlich tagenden Konvent erarbeitet wurde, der sich aus nationalen und europäischen Abgeordneten zusammensetzte, ermöglicht der Europäischen Union mehr Demokratie, mehr Handlungsfähigkeit, mehr Transparenz.	The Reform Treaty of Lisbon, born of the Constitutional Treaty which was drafted by a convention comprising Members of national parliaments and the European Parliament, meeting in public, serves to make the European Union more democratic, more effective and more transparent.
Er stärkt das Europäische Parlament, gibt den nationalen Parlamenten mehr Verantwortung bei der Gestaltung der Europapolitik, ermöglicht Initiativen der Bürgerinnen und Bürger der Europäischen Union gegenüber den europäischen Institutionen und gewährleistet die kommunale Selbstverwaltung.	It strengthens the European Parliament, gives national parliaments more responsibility for shaping EU policy, enables citizens of the European Union to present initiatives to the European institutions and guarantees the role of local government.
Der Vertrag von Lissabon ist die Antwort auf kritische Beurteilungen von Bürgerinnen und Bürgern im Hinblick auf Defizite der Europäischen Union.	The Treaty of Lisbon is the response to public criticism of the shortcomings of the European Union.
Dieser Vertrag bringt die Europäische Union näher zu ihren Bürgern.	The Treaty brings the European Union closer to its people.
Wir dürfen keinen Zweifel daran lassen, dass die Verwirklichung des Reformvertrags eine absolute Notwendigkeit ist, damit die Europäische Union ihre Werte und Interessen im 21. Jahrhundert verteidigen kann.	There can be no doubt that the application of the Reform Treaty is absolutely imperative if the European Union is to defend its values and interests in the 21st century.
Ohne die durch den Vertrag von Lissabon ermöglichten Reformen ist der Beitritt weiterer Länder zur Europäischen Union kaum denkbar.	Without the reforms made possible by the Treaty of Lisbon, the accession of other countries to the European Union is scarcely conceivable.
Wir fordern den EU-Gipfel am kommenden Donnerstag und Freitag in Brüssel auf, alle geeigneten Schritte zu unternehmen, um den Reformvertrag zu verwirklichen.	We call on the participants in the EU summit in Brussels this coming Thursday and Friday to take every appropriate step to implement the Reform Treaty.
Der Ratifizierungsprozess muss uneingeschränkt fortgeführt werden.	The ratification process must be continued without restriction.
Wir ersuchen die irische Regierung, ihrerseits Vorschläge zu unterbreiten, wie wir gemeinsam diese schwierige Phase europäischer Politik überwinden können.	We urge the Irish Government, for its part, to propose ways in which we can work together to emerge from this difficult period in the political life of Europe.
Das Europäische Parlament wird sich mit aller Kraft und großem Engagement für die Bewältigung dieser Herausforderungen einsetzen.	The European Parliament will strive with all its might and with passionate commitment to meet these challenges.
Wir erwarten dieses auch von der Europäischen Kommission und von allen Regierungen der Mitgliedstaaten der Europäischen Union.	We expect the European Commission and the Governments of all Member States of the European Union to do likewise.
Wir erwarten ebenso, dass das Europäische Parlament umfassend in die Arbeiten einbezogen wird.	We also expect them to involve the European Parliament fully in their efforts.
Unser Ziel bleibt es, den Vertrag von Lissabon bis zu den Wahlen zum Europäischen Parlament im Juni 2009 in Kraft zu setzen.	Our goal remains the entry into force of the Treaty of Lisbon in time for the elections to the European Parliament in June 2009.
Diese Grundsätze werde ich - Ihre Zustimmung vorausgesetzt - vor dem Europäischen Rat am 19. und 20. Juni in Brüssel mit Entschlossenheit vertreten.	With your agreement, I shall resolutely defend these principles before the European Council in Brussels on 19 and 20 June.
(Beifall)	(Applause)
Die Debatte findet am Mittwochmorgen mit Rat und Kommission statt.	The debate will take place on Wednesday morning with the Council and the Commission.
Es ist nicht daran gedacht, jetzt darüber zu diskutieren, sondern am Mittwochmorgen ist die Debatte über die Vorbereitung des Europäischen Rates, und es ist sinnvoll, dass wir dann mit den Spitzen von Rat und Kommission darüber beraten.	The intention is not to discuss the matter now. The debate on the preparation of the European Council meeting is on Wednesday morning, and that is the logical time to discuss the issue, when the heads of the Council and the Commission will be present.
Wir müssen eine sehr strukturierte Debatte führen, und dieses waren meine Überzeugungen zu dieser Debatte.	We must conduct a highly structured debate, and I have presented you with my firmly held views on this issue.
Ich habe sie auch deswegen vorgetragen, weil die frühere Präsidentin des Europäischen Parlaments, Simone Veil, die am Mittwoch in Spanien eine hohe Auszeichnung entgegennimmt, mich persönlich gebeten hat, die Laudatio zu halten.	Another reason why I have done so now is that a former President of the European Parliament, Simone Veil, who will be presented with a distinguished award in Spain on Wednesday, has asked me personally to deliver the laudatio.
Ich durfte mich dieser Aufforderung nicht entziehen, und mein Anliegen war es, dass Sie auch meine persönliche Meinung zu den Ereignissen in Dublin und den Herausforderungen, vor denen wir stehen, kennen.	I could not but accede to her request, and I wanted to ensure that you were aware of my personal views on the events in Ireland and on the challenges that face us.
Die Konferenz der Präsidenten hat mich gebeten, eine Erklärung zum Nahen Osten abzugeben.	The Conference of Presidents has asked me to make a statement on the Middle East.
Eine vierzehnköpfige Delegation unserer Nahost-Arbeitsgruppe besuchte vom 30. Mai bis zum 2. Juni 2008 unter Leitung von Veronique De Keyser und Annemie Neyts-Uyttebroeck Israel und Palästina.	A 14-member delegation from our working group on the Middle East, headed by Veronique De Keyser and Annemie Neyts-Uyttebroeck, visited Israel and Palestine from 30 May to 2 June 2008.
Vor Ort wurde die konkrete Umsetzung der vor sechs Monaten bei der Konferenz von Annapolis von allen Parteien gemeinsam öffentlich bekannt gemachten Ziele beurteilt, die eine Zwei-Staaten-Lösung bis Ende dieses Jahres zum Ziel hat.	During its visit, the delegation assessed the practical implementation of the objectives that were publicly proclaimed in a joint statement by all parties to the Annapolis Conference six months ago as part of the effort to achieve a two-state solution by the end of this year.
Kernaspekte waren die Stärkung der Sicherheitskräfte durch die Palästinenser selbst, die Frage des Ausbaus der Siedlungen, insbesondere um Jerusalem, die wirtschaftliche Entwicklung, die Einschränkung der Bewegungsfreiheit im Westjordanland und schließlich die humanitäre Situation im isolierten und von den internationalen Sanktionen betroffenen Gazastreifen.	Among the main focal points were the strengthening of the security forces by the Palestinians themselves, the issue of the development of settlements, especially around Jerusalem, economic development, restricted freedom of movement in the West Bank and, lastly, the humanitarian situation in the Gaza Strip, which is cut off and subject to international sanctions.
Der einstimmig verabschiedete Delegationsbericht - und die Delegation war auch repräsentativ zusammengesetzt -, der letzte Woche in Anwesenheit des Rates und der Kommission vorgestellt und dann der Konferenz der Präsidenten übermittelt wurde, ist bedrückend.	The report, which the delegation adopted unanimously - and it was a representative cross-party delegation - was presented last week in the presence of the Commission and the Council, then transmitted to the Conference of Presidents, and it paints a depressing picture.
Es wurden zwar einige ermutigende Fortschritte erzielt, doch leider erweisen sich diese als sektoral und begrenzt.	While some encouraging advances have been made, these have been sectoral in scope and limited in their effects.
Die Gesamtentwicklung gibt keinen Anlass, optimistisch zu sein.	The general sequence of events gives no grounds for optimism.
Nach dem derzeitigen Stand der Dinge sind die ehrgeizigen Ziele von Annapolis kaum zu verwirklichen.	As things stand, the ambitious Annapolis targets are scarcely achievable.
Einhellig vertritt die Delegation die Meinung, der sich auch die Konferenz der Präsidenten anschließt, dass die Blockade des Gazastreifens aufgehoben, der kontrollierte Grenzverkehr von Waren und Personen wieder ermöglicht und der Gewalt Einhalt geboten werden muss.	The delegation was unanimous in its view, which the Conference of Presidents endorsed, that the blockade of the Gaza Strip must be lifted, that controlled cross-border movement of persons and goods must be reinstated and that the violence must be curbed.
Auch im Westjordanland ist ein neuer Kurs zu verfolgen: Die Glaubwürdigkeit der Palästinensischen Behörde ist zu fördern, und die Bedingungen für eine dauerhafte wirtschaftliche Entwicklung sind nachhaltig zu verwirklichen.	In the West Bank too, a new course must be pursued, in which the credibility of the Palestinian Authority is bolstered and the conditions for sustained economic development are systematically established.
Der von Israel angewandten Politik ständiger Teilungen und räumlicher Trennungen ist entgegenzutreten.	Israel's policy of constant division and geographical separation must be opposed.
Übereinstimmend mit der amerikanischen Regierung, die dieses gestern durch Außenministerin Condoleezza Rice erklärte, wird gefordert, die Ausbreitung der Siedlungen, insbesondere in Ostjerusalem, zu beenden.	Like the US Administration, which expressed this view yesterday through Secretary of State Condoleezza Rice, we call for an end to the spread of settlements, particularly in East Jerusalem.
