Herr Präsident! Ich danke Herrn Howitt für diesen Bericht.	Mr President, my thanks to Mr Howitt for this report.
Mehr war ja nicht rauszuholen, nachdem das Europäische Parlament so spät konsultiert wurde.	There was really nothing more he could have made of it, given that the European Parliament was consulted at such a late stage.
Ich muß ganz ehrlich sagen, ich bin sehr enttäuscht, daß Frau Wulf-Mathies nicht hier ist.	I must say quite honestly that I am very disappointed that Mrs Wulf-Mathies is not here.
Drückt sie sich etwa vor dieser Auseinandersetzung?	Could it be that she is avoiding this discussion?
Streitpunkt ist die Verbindlichkeit der Leitlinien.	The point of contention is whether or not the guidelines are binding.
Diesen Streit nehmen wir in die neue Verordnung wieder rein.	This point of contention is being carried forward into the new regulation.
Am aufschlußreichsten ist da wirklich die Befragung des Berichterstatters, die wir in der Begründung des Berichts finden.	Most revealing in this respect is the rapporteur's question in the explanatory statement.
Die Leitlinien sind praktisch ein Papiertiger.	The guidelines are basically nothing more than a paper tiger.
Sie werden von den Mitgliedstaaten ignoriert.	They are ignored by the Member States.
Die Kommission drängt auch nicht darauf, daß sie als Leitlinien zur Einhaltung der europäischen Ziele, der europäischen Kohäsionspolitik genutzt werden.	The Commission is not pressing for them to be used as guidelines for adherence to European objectives or European cohesion policy.
Das ist äußerst kritisch zu bewerten unter dem Aspekt, daß die Leitlinien in Zukunft die Mitte der europäischen Strukturpolitik darstellen sollen und daß sie dann quasi auch das Zentrum einer Strukturfondsverordnung werden sollen, damit es überhaupt noch um europäische Kohäsionspolitik geht.	This must be seen as particularly critical given that it is intended that in the future the guidelines should form the centrepiece of European structural policy and that they should then almost become the core of a Structural Fund regulation to ensure that it remains focussed on the issue of European cohesion policy.
Die Kommission hat in der neuen Verordnung ja eine Neuverteilung der Aufgaben vorgenommen.	In the new regulation the Commission has indeed reallocated certain tasks.
Das war eine sehr sinnvolle Geschichte, aber wenn sie sich auf die Rahmensetzung und auf die Kontrolle beschränkt, braucht sie die Leitlinien als Geländer.	That was a very sensible move, but if it restricts itself to setting a framework and to monitoring, it needs the guidelines for support.
Wenn diese Leitlinien keine zentrale Bedeutung bekommen, wird es keine europäische Kohäsionspolitik geben.	If these guidelines have no central significance, there will be no European cohesion policy.
Das ist ein sehr, sehr gefährliches Sägen an der wichtigsten Brücke, die wir hier haben.	This represents a very, very dangerous threat capable of undermining its very foundations.
Nachhaltige Entwicklung, Chancengleichheit und Beschäftigung können nur erreicht werden, wenn sie gemeinsames Ziel sind.	We can only achieve sustainable development, equal opportunities and employment if they are a joint aim.
Dieses gemeinsame Ziel braucht auch gemeinsame Wege, wenn sie auch vor Ort, in den Regionen, einzeln unterschiedlich gegangen werden.	This joint aim also needs common paths, even if they are travelled differently in the various regions.
Deshalb ist es ganz wichtig, daß wir diese Diskussion intensiv fortsetzen.	For this reason it is most important that we continue to discuss this matter intensively.
Wir wissen, daß viele Mitgliedstaaten keine Leitlinien wollen.	We know that many Member States do not want guidelines.
Das ist Verantwortung genug, um sie hier zu einem zentralen Instrument entwickeln zu müssen.	That is responsibility enough to make us develop them into a central instrument here.
