Frau Präsidentin! Liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, in fact the problem cannot be taken seriously enough.
Man kann das Problem in der Tat nicht ernst genug nehmen. Aids droht zu einer Gesundheitskatastrophe ungeahnten Ausmaßes zu werden, insbesondere in den Ländern Afrikas südlich der Sahara.	AIDS is threatening to become a health catastrophe on an unimaginable scale, particularly in the countries of Africa south of the Sahara.
Vor allem Kinder sind betroffen.	Children are affected above all.
Nach Einschätzung von UNAIDS und der Weltgesundheitsorganisation leben in dieser Region sieben von zehn neu mit dem HIV-Virus Infizierten; bei Kindern unter 15 Jahren sind es sogar neun von zehn.	According to an estimate by UNAIDS and the World Health Organisation, 7 out of every 10 people newly infected with the HIV virus live in this region. In the case of children under 15 years of age, the figure is as many as 9 out of 10.
Rund 83 % der Aids-Todesfälle sind hier zu beklagen, mindestens 95 % aller Aidswaisen sind afrikanische Jungen und Mädchen in dieser Region.	Approximately 83% of deaths from AIDS take place here, and at least 95% of all children orphaned by AIDS are African boys and girls in this region.
Von 34 Millionen infizierten Personen seit Auftreten der Seuche in diesem Teil Afrikas sind bereits 11,5 Millionen verstorben, davon ein Viertel Kinder.	Of the 34 million people infected since the epidemic appeared in this part of Africa, 11.5 million have already died, a quarter of them children.
Damit werden alle zwischenzeitlichen Erfolge wachsender Lebenserwartung zunichte gemacht - es ist darauf hingewiesen worden.	At the same time, reference has been made to the fact that all the successes there have been in terms of increasing life expectancy have been reduced to nothing.
In manchen Ländern ist die Lebenserwartung sogar wieder auf das Niveau der 60er Jahre gefallen.	In many countries, life expectancy has even fallen again to the level recorded in the 1960s.
Anders ausgedrückt: Ein Kind, das heute in einem von Aids stark betroffenen afrikanischen Land geboren wird, hat eine durchschnittliche Lebenserwartung von nur 43 Jahren - ohne Aids könnten es 60 Jahre sein.	To put it another way: a child who is born today in an African country badly affected by AIDS has an average life expectancy of only 43 years. Without AIDS, it could have been 60 years.
Besonders dramatisch ist die Situation in Ostafrika und im südlichen Afrika.	The situation in Eastern and Southern Africa is particularly dramatic.
In Botswana, Namibia, Swasiland und Simbabwe ist ein Fünftel der Erwachsenen infiziert oder an Aids erkrankt.	In Botswana, Namibia, Swaziland and Zimbabwe, a fifth of the adult population is infected or ill with AIDS.
Diese Schreckensbilanz ließe sich noch endlos fortsetzen.	This dreadful situation could continue indefinitely.
Aids ist jedoch kein unabwendbares Schicksal.	However, AIDS is no inevitable fate.
Einige Länder wie der Senegal, Tansania oder Uganda haben frühzeitig mit Erfolg auf Prävention gesetzt.	A number of countries such as Senegal, Tanzania and Uganda committed themselves early on to prevention, and with success.
