im Namen der S-D-Fraktion. - Herr Präsident! Wir diskutieren über das Ergebnis dieses Referendums.	Mr President, we are discussing the result of this referendum.
Vieles wurde über die institutionellen Aspekte gesagt. Ich habe dem, was Herr Premierminister Reinfeldt gesagt hat, nichts hinzuzufügen.	A great deal has been said about the institutional aspects and I have nothing to add to what Prime Minister Reinfeldt said.
Ich finde es gut, dass er nicht hastig vorgeht, sondern sagt "Wir warten ab, denn noch ist nichts gewonnen, noch brauchen wir die letzten Schritte dieses Ratifizierungsverfahrens, bevor wir institutionelle Fragen beantworten können."	I think it is a good thing that he is not going to act hastily but has said that we are waiting, as we are not at the finishing line yet; we still need to go through the final stages of this ratification process before we can answer institutional questions.
Sie, Herr Kommissionspräsident, haben sich - wie wir alle - gefreut.	Like the rest of us, Mr Barroso, you were very pleased.
Ihre Freude wird sicher am Sonntagabend etwas getrübt gewesen sein, denn die 382 Stimmen, die Sie für Ihr Votum bekommen haben, bestanden zu 55 Stimmen aus Abgeordneten einer Fraktion, deren Ziel es ist, den Lissabon-Vertrag zu Fall zu bringen.	Your joy must have been a little dampened on Sunday evening, as the 382 votes that you received included 55 votes from members of a group whose objective it is to prevent the Treaty of Lisbon entering into force.
Sie müssen darüber nachdenken, wenn Sie über Lissabon jubeln, dass Sie von den Leuten gestützt werden, die genau das Gegenteil von dem wollen, was Sie anstreben.	When you are rejoicing over Lisbon, you need to bear in mind that you were supported by people who want precisely the opposite of what you are striving to achieve.
Denken Sie darüber nach, und stützen Sie Ihre Mehrheiten auf eine pro-europäische Mehrheit in diesem Haus!	Think about that, and let us base your majority on a pro-European majority in this House.
(Zwischenrufe)	(Heckling)
Wenn wir über die Resultate dieses Referendums reden, Herr Präsident, dann geht es aber um etwas ganz anderes.	When we talk about the result of this referendum, Mr President, it is, however, about something quite different.
Es geht nicht um die Frage von institutionellen Spielchen, die jetzt gespielt werden sollen.	It is not about institutional games that are now to be played.
Es geht nicht um die Frage, wie sich Mehrheiten in diesem Parlament zusammensetzen, sondern es geht um etwas viel Fundamentaleres, und das ist es, was man dem Staatspräsidenten der Tschechischen Republik sagen muss: Die 27 Mitgliedstaaten der Europäischen Union haben zusammen 500 Millionen Einwohner.	It is not about how majorities in this Parliament are made up, but about something much more fundamental and that is what we need to say to the President of the Czech Republic. The 27 Member States of the European Union have a total of 500 million inhabitants.
China hat 1,3 Milliarden Einwohner.	China has 1.3 billion inhabitants.
Indien hat 1,1 Milliarden Einwohner.	India has 1.1 billion.
Diese beiden Länder zusammen stellen ein Drittel der Erdbevölkerung!	These two countries together represent a third of the world's population!
In den G20-Runden sitzen diese Staaten zwischenzeitlich mit am Tisch.	These countries now sit round the table in the G20 talks.
Das größte europäische Mitgliedsland, das bei der G20 dabei ist, sitzt dort und vertritt gerade einmal die Wirtschaftskraft von 82 Millionen Einwohnern.	The largest EU Member State involved in the G20 sits there representing an economic potential of only 82 million people.
Wir haben zwei Optionen: Es geht beim Lissabon-Vertrag nicht darum - wie Vaclav Klaus das behauptet -, dass die Union gegen die Mitgliedstaaten stark gemacht werden soll, sondern es geht um etwas ganz anderes.	There are two options open to us. The Treaty of Lisbon is not - as Mr Klaus has claimed - about making the Union a strong force against the Member States, but about something completely different.
Es geht darum, dass die Union stark gemacht werden soll als ein weltweiter Partner, um die einzelnen Mitgliedstaaten zu stärken.	It is about making the Union a strong global partner in order to strengthen the individual Member States.
Das ist ausdrücklich das Ziel des Lissabonner Vertrags!	That is the explicit goal of the Treaty of Lisbon.
Ganz umgekehrt: Dieser Vertrag dient den Interessen gerade der kleinen Mitgliedstaaten der EU.	This treaty, on the contrary, serves the interests of the small Member States of the EU in particular.
Ein Land mit 10 Millionen Einwohnern - nehmen wir Ihres, Herr Kommissionspräsident - wie Portugal ist im Verhältnis zu Brasilien heute nicht mehr in einer Situation wie im 19. Jahrhundert, sondern im 21. Jahrhundert ist es klar, dass Brasilien das stärkere Land ist.	A country with a population of 10 million - let us take your country for example, Mr Barroso - compared with Brazil, Portugal no longer has the position it had in the 19th century. It is clear that, in the 21st century, Brazil is the stronger country.
Portugal braucht, wie alle europäischen Staaten, die Union, um gemeinschaftlich stark zu sein.	Like all European states, Portugal needs the Union so that we can be strong together.
Wenn es um Klimawandel geht, wenn es um die Finanzkrise geht, wenn es um die weltweite Seuchenbekämpfung geht, wenn es darum geht, den Hunger in der Welt zu bekämpfen, Frieden zu sichern, um wegen Ressourcen geführte Kriege zu vermeiden, dann wird Europa nur als einheitlicher Block bestehen können, und es wird untergehen, wenn es sich in seine Einzelteile zerlegt.	When it comes to climate change, the financial crisis, global disease control, when it comes to combating hunger in the world, securing peace, preventing wars over resources, then Europe will only be able to endure as a unified bloc and it will founder if it splits into its individual parts.
Deshalb ist die Frage, die man an Staatspräsident Klaus richten muss: Kann man als Einzelner - der zugegebenermaßen von seinem verfassungsmäßigen Recht Gebrauch macht, das will ich ihm nicht abstreiten - in der Abwägung der Verantwortung, die man übernimmt, diese Verantwortung ganz alleine schultern, wenn alle anderen Regierungen und Parlamente und jetzt auch 67 % der Iren, die zugestimmt haben, anderer Meinung sind?	That is why the question that we must put to President Klaus is this: in weighing up the responsibility that he is taking on, is it possible for an individual - who admittedly is making use of his constitutional right, that I cannot argue with - to be able to shoulder this responsibility alone when all of the other governments and parliaments, and now also 67% of the people of Ireland who have said 'yes', are of a different opinion?
Man wird Herrn Staatspräsident Klaus eine Frage stellen müssen.	We need to ask Mr Klaus a question.
Ist er sich darüber im Klaren, dass dieser Kontinent vor einer entscheidenden Weichenstellung steht, nämlich vor der Weichenstellung, ob Einigkeit stark macht, oder ob Einzelgängertum uns alle gemeinsam schwächt.	Is he fully aware that this continent has reached a crucial turning point, in other words, it is decision time with regard to whether unity makes us strong or whether going it alone will weaken us all.
Das ist die entscheidende Frage!	That is the crucial question.
Deshalb: Ja, das war ein guter Tag für Europa, und der Tag, an dem dieser Vertrag endgültig ratifiziert sein wird, wird ein noch besserer Tag sein.	So, yes, it was a good day for Europe, and the day on which this treaty is finally ratified will be an even better day.
Herr Klaus sollte sich seiner historischen Verantwortung stellen und diesen Vertrag unterschreiben. <BRK>	Mr Klaus should accept his historic responsibility and sign this treaty.
