. Herr Präsident!	.
Meine sehr geehrten Damen und Herren! Ich möchte an einen großen Europäer, an ein Mitglied dieses Hauses erinnern, das zu den bedeutendsten Abgeordneten des Europäischen Parlaments gehörte, und einen Satz von Willy Brandt zitieren.	Mr President, ladies and gentlemen, I would like to quote from something once said by Willy Brandt, a great European, a Member of this House, and one of the most significant of MEPs.
Willy Brandt hat gesagt: Das Europäische Parlament bekommt keine Rechte, es muss sich die Rechte erkämpfen.	Willy Brandt said that the European Parliament was not given rights; it had to fight for them.
Ja, in den letzten drei Wochen hat dieses Parlament sich Rechte erkämpft, und auf diesen erfolgreichen Kampf können wir alle gemeinsam stolz sein, denn wir haben einen Trend gestoppt – den Trend zur Übermacht von Regierungen in der Europäischen Union.	This House has indeed fought for rights for itself over the past three weeks, and we can all take pride in the fact that it succeeded, for we have put a stop to a trend – the trend towards excessive governmental power in the European Union.
Wir haben klar gemacht, das Parlament als frei gewählte Vertretung der Völker ist gleichberechtigt und auf gleicher Augenhöhe mit der Vertretung der Staaten und der Regierungen.	We have made it clear that Parliament, being the freely-elected representative assembly of the peoples, is equal to, and possesses the same prerogatives as, the bodies representing the states and their governments.
Das, was wir in den letzten drei Wochen hier erlebt haben, ist ein Zeichen für den demokratischen Fortschritt in Europa.	What we have seen happening here in this House over the past three weeks is a demonstration of how far democracy has advanced in Europe.
Für diesen Kampf gegen Regierungen, auch für den Kampf gegen Exekutiven, wenn man nicht damit einverstanden ist, dafür sind Parlamente gewählt. Dafür sind sie da.	This struggle against governments, and also against executives with which one does not agree, is what parliaments are elected for; it is the reason why they exist, and it is in order to engage in this struggle that delegates are elected to parliaments.
Und damit sie diesen Kampf führen, dafür werden Abgeordnete in Parlamente gewählt. Wenn wir diesen Kampf so erfolgreich führen, wie wir das getan haben, gewinnen wir – das merken wir alle – das Vertrauen der Bürgerinnen und Bürger in unsere Institution.	If our struggle is attended by the same success as we have had, we gain – as we have all noticed – popular confidence in our institution.
Das verstehen die Menschen.	People understand that.
Diesen Kampf haben sie verstanden. Vom Nordkap bis Sizilien, von den Azoren über Ostfriesland bis zur russischen Grenze.	From the North Cape to Sicily, from the Azores to the border with Russia by way of East Frisia, they understood what this struggle was about.
Die Zustimmung zu diesem Parlament war noch nie so hoch wie jetzt, und das sollten wir nutzen.	Their approval of this Parliament of ours has never been as high as it is now, and that is something we should make use of.
