Herr Präsident! Die Europäische Union steht vor einem beispiellosen demografischen Wandel.	Mr President, the European Union is facing demographic change as never before.
Bis 2030 fehlen über 20 Millionen Menschen im arbeitsfähigen Alter.	By 2030 we will be lacking more than 20 million people of employable age.
Zwei Erwerbstätige müssen dann für einen Rentner aufkommen.	Two employed people will have to pay for one pensioner.
Die gute Nachricht: Die Menschen leben länger, und Ältere sind gesünder denn je.	The good news is that people will live longer, and today's elderly people are healthier than previous generations.
Die schlechte Nachricht: Es fehlt an Nachwuchs, was dramatische Auswirkungen auf die Arbeitsorganisation, die Städteplanung, den Wohnungsbau und die Bildungssysteme mit sich bringt.	The bad news is that the younger generation is too few in number and this will have dramatic consequences for urban planning, the construction of dwellings, the education system and the way work is organised.
Wir brauchen ein familienfreundlicheres Umfeld in unseren Mitgliedstaaten, den Ausbau von Angeboten zur Kinderbetreuung, mehr Betriebskindergärten, die bessere Vereinbarkeit von Familie und Beruf, die höhere Beteiligung von Frauen am aktiven Arbeitsleben, mehr Teilzeitarbeit für Eltern und den sicheren Wiedereinstieg nach der Familienphase.	We need a more family-friendly environment in our Member States, more childcare choices, more workplace daycare centres, better opportunities for combining family and work, greater participation by women in the working world, more part-time work for parents and a secure return to work after child raising.
Und vor allem stabile Berufsperspektiven und ausreichende Einkommen, die den Kinderwunsch erleichtern.	Above all, we need stable career development paths and sufficient income, because these make it easier for people to want to have children.
Wir brauchen auch deutlich höhere Investitionen in die Menschen zur Verbesserung der Allgemeinbildung und des Fachwissens.	We also need significantly greater investment in people, to improve general education and specialist training levels.
Von den Programmen zum lebenslangen Lernen dürfen nicht nur die jungen Leute profitieren, sondern genau so die älteren, die viel länger beschäftigt werden wollen, die belastbar, hochkompetent, und hochmotiviert sind.	Lifelong learning programmes should benefit not only young people but also older people, who will want to work for much longer and who can manage a solid workload and are highly skilled and highly motivated.
Der Castex-Initiativbericht darf nicht überfrachtet werden.	We should not expect too much of Mrs Castex's own-initiative report.
So ist der rechtliche Status der Sozialdienstleistungen von allgemeinem Interesse nach wie vor strittig.	The legal status of social services of general interest remains controversial.
Wir sind gegen eine EU-weite Rahmenrichtlinie oder bindende Rechtsvorschriften.	We are against an EU-wide framework directive or binding regulations.
Auch dürfen die auf freiwilliger Basis entstandenen Betriebsrenten nicht belastet werden mit zusätzlichen Verpflichtungen, wie etwa familienpolitischen Kriterien.	Furthermore, company pensions that have been established on a voluntary basis should not be burdened with additional obligations, such as, for example, criteria relating to family policy.
Das ist eine Frage der Sozialversicherung, eine Frage der Steuern, also eine klassische Angelegenheit der Mitgliedstaaten.	This is a question of social security, a question of taxes, and therefore a classic matter for the Member States.
Mit diesen Überlegungen und den Änderungsanträgen der EVP-ED-Fraktion erhält der Bericht substanzielle Inhalte.	With these considerations and the amendments proposed by the Group of the European People's Party (Christian Democrats) and European Democrats, the report has become more substantial.
Mit ihnen können wir die notwendige breite Diskussion über Konsequenzen aus den dramatischen Veränderungen der Demografie führen.	With this report, we can hold a discussion of the necessary breadth about the consequences of the dramatic demographic changes.
