- Herr Präsident, geschätzte Kollegen, verehrte Kommissarin!	Mr President, ladies and gentlemen, Commissioner.
Herr Kollege Roy Perry hat zum letzten Bericht über Bildung die jährliche Olivenförderung bereits erwähnt: 167 Milliarden für fünf Jahre - Almosen für die Kultur.	Roy Perry mentioned the sum spent on olives each year during the previous debate on education, and EUR 167 million over five years is a pittance for culture.
Als Schauspielerin ist das nichts Neues für mich.	As an actress that is nothing new to me.
Ich kenne das.	It is all too familiar.
Es ist traurig, dass wir das nicht verändern und verbessern können.	What a pity we cannot change and improve on this.
Mein Dank gilt dem Berichterstatter, vor allem für den offenen Dialog, den er mit uns Schattenberichterstattern geführt hat.	My thanks to the rapporteur, especially for his willingness to engage in an open dialogue with us shadow rapporteurs.
Er war wirklich da, um alles aufzunehmen, und wir haben darüber diskutiert.	He really was there to discuss and take everything on board.
Wir haben zwei große Probleme.	We have two major problems.
Das eine ist die inhaltliche Ausrichtung für die Zukunft, die Fragen, denen wir uns jetzt stellen.	One is the material direction we want to take in the future, the questions we are asking now.
Das ist kein Vorgreifen einer Debatte, das hat Kollegin Pack schon gesagt, aber die Debatte muss jetzt geführt werden, wenn wir 2004 für 2005 eine neue Idee brauchen, ein neues Programm ausgestalten wollen, vorausgesetzt, es wird das noch geben.	That is not anticipating the debate, as Mrs Pack just said; the debate needs to be held now, if we need new ideas and want to format a new programme in 2004 for 2005, provided it is still running.
Das andere Problemfeld ist die Administration, bürokratischer Aufwand, zu vage Kriterien für die Auswahl, Durchführungsmethoden sollten modifiziert werden.	The other problem area is administration, bureaucratic expenditure, overly vague selection criteria and implementation methods which are shouting out to be modified.
Das sind viele Details, die kann man im Bericht nachlesen.	These details are all contained in the report.
Auch jetzt möchte ich in der Öffentlichkeit für dieses Kulturprogramm werben, für Kultur 2000.	I want to canvass in public for this Culture 2000 programme even now.
Kultur, Kulturprogramme, das ist die Seele Europas, das haben wir von allen Kollegen gehört.	Culture and cultural programmes are the soul of Europe, as everyone has said.
Wissen Sie, Kunst und Kultur sind die Multiplikatoren unserer Integrationspolitik, und wenn wir diese Partner verlieren auf diesem gemeinsamen Weg, dann werden wir immer weniger werden und immer schwächer in diesem Kampf, den wir eigentlich gemeinsam kämpfen wollen.	You do realise that art and culture have an exponential effect on our integration policy and if we lose these partners along our common way, then our numbers shall dwindle and our strength in this fight, which we really do want to join forces on, will be sapped.
Das Bekenntnis zu Kultur hören und lesen wir in jeder Sonntagszeitung, die Taten folgen nicht.	The Sunday papers are full of articles swearing allegiance to culture, but nothing ever comes of it.
Ich bin bereits müde, das zu sagen, wir müssen es aber immer wieder sagen.	I am already fed up with saying the same things, but we must keep on saying them.
Nicht nur die Kulturminister, auch die Finanzminister sind verantwortlich.	It is not just the Culture Ministers; the Finance Ministers also have a responsibility.
Jeder muss in diesem Europa seinen Platz in dieser Gesellschaft finden.	Everyone in Europe has to find a place in society.
Jeder sucht, vielleicht von der Wiege bis zur Bahre, um dieses Zitat noch einmal zu verwenden.	Everyone is searching, perhaps from the cradle to the grave, to quote Mrs Pack.
Jeder will sich auch in dieser europäischen Gesellschaft wiederfinden, in diesem Spiegel der Gesellschaft Europas, und das ist die Kunst und die Kultur.	Everyone wants to feel at home in our European society, to recognise themselves in the reflection of European society which art and culture offer.
Wenn wir das nicht mit ermöglichen, werden wir es auch nicht schaffen, Konflikte vielleicht im Ursprung an der Wurzel packen zu können, und das ist eine Verantwortung, die wir gemeinsam in Europa tragen.	If we cannot manage this, we shall not mange to root out conflicts, perhaps even as they arise, and we have a joint responsibility to do so.
Das Parlament kämpft, die Kommission kämpft.	Parliament is fighting the good fight, the Commission is fighting the good fight.
Wenn wir den Rat nicht dafür gewinnen, werden wir damit alleine bleiben!	If we cannot get the Council on board, it is we who shall be left holding the baby!
