Herr Präsident! Zunächst einmal möchte ich dem Berichterstatter für seine Arbeit danken.	Mr President, let me begin by thanking the rapporteur for his work.
Ich bin mit seinen Zielsetzungen vollständig einverstanden.	I am entirely in agreement with his aims.
Aber leider, Herr Dary, liegt es nicht in unserer Macht, das durchzusetzen, was wir gerne möchten.	But unfortunately, Mr Dary, it is not in our power to insist on the fulfilment of our wishes.
Starke Mächte stehen dem entgegen.	Strong forces are lined up against us.
Nicht nur innerhalb der Europäischen Union gibt es unterschiedliche Auffassungen zwischen den Mitgliedstaaten, was sich ja auch in den Schwierigkeiten der Kommission niederschlägt, hier einen Vorschlag zu machen, sondern es ist eben auch die Ebene der Welthandelsorganisation miteinbezogen.	Not only do views differ between States within the European Union, which is reflected, as we all know, in the difficulties experienced by the Commission in its attempts to come up with a proposal on this matter; there is also the involvement of the World Trade Organisation.
Starke Interessen, insbesondere die der Amerikaner, die zwar selbst keine Bananenanbauer sind, die aber amerikanisches Kapital in die Handelsunternehmen gesteckt haben, spielen eine Rolle.	Powerful interests are at play, especially those of the Americans, who, although they are not banana-growers themselves, have invested American capital in the trading corporations.
Wir kennen die Problematik, und die Sorge, dass die berechtigten Interessen der AKP-Staaten, der kleineren Bananenanbauer, dabei auf der Strecke bleiben, ist sicherlich nicht unbegründet.	We are familiar with the issues, and our concern that the legitimate interests of the ACP countries, of the smaller banana-growers, will fall by the wayside is surely not unwarranted.
Wir haben ja nun versucht, noch einmal Änderungsanträge als Kompromissänderungsanträge einzubringen.	We have tried to table amendments again as compromise motions.
Ich hoffe, dass die Kommission diese Änderungsanträge nun auch übernimmt.	I hope that the Commission will now accept these amendments.
Vor allen Dingen geht es uns beim Änderungsantrag 35 darum, dass uns die Kommission Bericht erstattet, wie sich denn diese Regelung, die jetzt vorgesehen ist, auf die Interessen der kleineren Bananenanbauer und der AKP-Staaten auswirkt, damit wir, wenn es zu einem Übergang zu einem tarif only-System kommt, hier im Parlament eine Grundlage haben, um eine Entscheidung finden.	Our main motive in tabling Amendment 35 is to ensure that the Commission reports to us on the impact of the proposed regime on the interests of the smaller banana-growers and on the ACP countries, so that, if there is to be a transition to a 'tariff only' system, we in Parliament shall have a basis on which to make a decision.
Eines ist ja klar und von der Kommission auch so bestätigt, dass nämlich dies im Parlament noch einmal behandelt werden muss.	One thing is certainly clear and has been confirmed by the Commission, namely that this will have to be dealt with again in Parliament.
Für diese Behandlung brauchen wir dann genaue Daten.	To that end, we shall need precise data.
Vielleicht haben wir dann zu diesem späteren Zeitpunkt die Mitentscheidung im Agrarbereich durchgesetzt, und Nizza hat ja entscheidende Weichen in Richtung der Mitentscheidung des Parlaments gestellt; wir müssen dies jetzt in der Post-Nizza-Diskussion nur noch umsetzen.	Perhaps by that time we shall have achieved codecision on matters of agricultural policy, because decisive moves were made at Nice in the direction of parliamentary codecision; we only have to ensure in the post-Nice discussions that these good intentions are put into practice.
Dann werden wir höchstwahrscheinlich eine andere Machtposition haben, und das sollte sich dann auch ausdrücken in dem Bananen-Bericht und in der Zielsetzung, die wir dann vorgeben.	We shall most probably be in a more powerful position then, and this should be reflected in the banana report and in the objectives we lay down.
