Herr Präsident! Grundsätzlich ist eine Zusammenarbeit mit den Schwellenländern zu befürworten.	Mr President, in principle, cooperation with the world's emerging economies is to be recommended.
Es wurde schon gesagt, daß diese Länder untereinander sehr unterschiedlich sind, aber auch in den Ländern selbst sind die Unterschiede zwischen Verteilung von Armut und Reichtum sehr groß.	It has already been pointed out that these countries differ widely from one another, but even within the countries themselves, the differences in the distribution of poverty and wealth are very great.
Deswegen ist es schwierig, einen Bericht zu verfassen, der sich auf alle Situationen bezieht, und das sieht man auch an diesem Bericht.	It is therefore difficult to draw up a report that is relevant to every situation, and that is evident from this report.
Grundbedürfnisse und Lebensbedingungen der gesamten Bevölkerung sollen berücksichtigt werden.	The basic needs and living conditions of the whole population are to be taken into consideration.
Das ist etwas Positives in diesem Bericht.	That is one positive feature of this report.
Ich frage mich in dem Zusammenhang, warum keine Teilfinanzierungen stattfinden sollen.	In this context, however, I wonder why there should be no partial financing.
Das führt dazu, daß nur große Forschungsprojekte unterstützt werden, und das führt zu einer Zentralisierung, und ob dann Arm und Reich zu einem Ausgleich kommen, ist fraglich.	This means that only large-scale research projects will be supported, and that leads to centralization, so that it is then questionable whether there will be any narrowing of the gap between rich and poor.
Ich bin der Ansicht, konkrete Projekte für die ärmere Bevölkerung und Technologien zur Verhinderung von Hungersituationen, z.B. in den Bereichen, die angesprochen werden, können auch da zu Synergieeffekten führen.	I take the view that specific projects for the poorer sections of the population, and technologies for the prevention of famine situations, e.g. in the areas identified, could also bring about synergistic effects.
Die Förderung regionaler Zusammenarbeit wird von uns befürwortet ebenso wie Programme zum Austausch von Wissenschaftlern, Forschern und Ingenieuren.	The encouragement of regional cooperation is also approved by us, as are programmes for exchanges of scientists, researchers and engineers.
Die Verbesserung der landwirtschaftlichen Situation ist ein ganz wichtiges Anliegen. Wir haben das auf der FAO-Konferenz diskutiert.	Improving the agricultural situation is a very important issue, and we discussed this at the FAO Conference.
Allerdings fehlt hier der Hinweis darauf, daß diese Situation oft durch die Eigentumsverhältnisse in diesen Ländern hervorgerufen wird.	However, there is no mention here of the fact that this situation is often the result of the property-ownership conditions in these countries.
Oft gibt es keine Hungersituation, sondern Hunger entsteht durch ungerechte Verteilung von Eigentum; auch das Bevölkerungswachstum, das in diesem Bericht angesprochen wird, ist nicht die Ursache.	Often there is no famine situation, but famine occurs because of the unfair distribution of property, and population growth, which is mentioned in this report, is not the cause.
Der BSE-Skandal zeigt uns, daß die Förderung von agro-industrieller Produktion ein falscher Ansatz für Schwellenländer und Entwicklungsländer ist.	The BSE scandal shows that the encouragement of agricultural production on an industrial scale is the wrong approach for the world's emerging economies and developing countries.
Es wurde eben gesagt, die Menschenrechtssituation ist zu berücksichtigen.	Someone has just pointed out that the human rights situation has to be taken into consideration.
Ich denke, sie gehört in solche Verträge hinein.	I believe that this should be included in agreements of this kind.
Wenn wir einen Vertrag mit China abschließen, dann müssen wir natürlich auf die Menschenrechtssituation achten.	If we conclude an agreement with China, then of course we must not forget about human rights.
Wenn das nicht möglich ist, - wir haben im Augenblick einen Konflikt mit Mexiko -, darf man diese Verträge nicht unterzeichnen.	If this is not possible - and at the moment we have a disagreement with Mexico here - then these agreements should not be signed.
Abschließend ist zu dem Bericht insgesamt zu sagen: Ich denke, er ist ein Blankoscheck für die Kommission.	Finally, on the report as a whole, I believe that it is a blank cheque for the Commission.
Die Frage ist, was daraus gemacht wird.	The question is, what will the Commission do with it?
Ich hoffe, Sie machen das Beste daraus, Herr Bangemann, damit wir nicht später einen Untersuchungsausschuß zu diesem Bericht einsetzen müssen!	I hope, Mr Bangemann, that you will do your best, so that we shall not, at some subsequent date, have to set up a committee of inquiry on this report!
