Frau Präsidentin, Frau Vizepräsidentin! Vielen Dank!	Madam President, Madam Vice-President of the Commission, many thanks.
Die Versorgungssicherheit im Erdgassektor kann sicher ein Thema in der Europäischen Union sein, denn die Union ist insgesamt zu etwa 75 % vom Import von Erdgas abhängig, aber anders als beim Öl gibt es hier kein Anbieterkartell der Lieferanten.	Security of supply in the natural gas sector can certainly be an issue for the European Union, which, taken as a whole, is dependent on imports for some 75% of its natural gas, although - unlike with oil - there is no suppliers' cartel.
Die Lieferantenländer sind im Übrigen selber abhängig von den Importen in die EU, denn Erdgas hat nur einen Wert, wenn es gefördert wird und verkauft wird.	I might add that the supplier countries are themselves dependent on exports to the EU, as natural gas is of any value only if it is transported and sold.
Andererseits sind unsere Lieferantenländer Russland, Algerien und Libyen, Kaspische See-Länder, um deren Stabilität sich die Union kümmert.	On the other hand, the countries supplying us are Russia, Algeria, Libya, and the countries around the Caspian Sea, the stability of which is a matter of concern to the EU.
Auf all das geht die Kommission in ihrem Vorschlag leider nicht ein.	It is regrettable that the Commission does not discuss all this in its proposal.
Stattdessen fußt dieser Vorschlag im Wesentlichen auf den Lieferunterbrechungen im EU-Markt.	What is behind the proposal instead is, in essence, interruptions in supplies to the EU market.
Frau Vizepräsidentin, es tut mir leid, aber ich muss es für den federführenden Ausschuss deutlich sagen: Der Vorschlag hat, so wie er ist, im Europäischen Parlament keine Freunde gefunden.	I regret having to say, Madam Vice-President, on behalf of the lead Committee, that the proposal, as it stands, has found no supporters in this House, and that some of us reject it outright.
Zum Teil wird er überhaupt abgelehnt. Der federführende Ausschuss übernimmt diese Position nicht; er schlägt dem Plenum vor, eine Botschaft zu verabschieden, eine Botschaft an Kommission, Rat, die Marktteilnehmer und auch an die Lieferanten- und Produzentenländer, das Thema neu und anders zu bearbeiten, den Vorschlag vom Kopf auf die Füße zu stellen und - und das sei besonders klar gesagt - eine dirigistische europäische Maßnahmenkategorie nicht vorzusehen.	That is not the position taken by the main Committee, which proposes that the plenary should send a message to the Commission, the Council, the participants in the market and also to the supplying and producing countries by dealing with the issue in a new and different way, turning the proposal upside down and - let me say this with particular clarity - refraining from creating a category of dirigiste European actions.
Es geht also um drei Punkte: erstens das Management nicht zu sehr und nicht primär im Halten und Verwalten von Reservemengen zu sehen, das heißt, Investoren von dem, was sie eigentlich tun sollen, abzuschrecken und die Verantwortung staatlicher Stellen zu betonen, sondern genau das Gegenteil zu tun, nämlich Unternehmen zu ermuntern, zu investieren, ihre Rolle zu betonen und zu berücksichtigen, dass die Unternehmen ja bereits eine Menge tun, um die Versorgungssicherheit sicherzustellen, zum Beispiel durch zahlreiche Instrumente wie Diversifizierung der Bezüge, internationale Leitungen und Speicher, langfristige Bezugsverträge und Ähnliches.	This, then, is about three things: one is not seeing management so much as being primarily about holding and administering reserve stocks, that is, deterring investors from doing what they are actually meant to do and emphasising the responsibility of state agencies, but rather doing the precise opposite by encouraging businesses to invest, by emphasising the role they play and taking into account the fact that they already do a great deal towards securing supply; the ways in which they do this are various, including the diversification of sources of supply, international pipelines and storage tanks, long-term supply contracts and the like.
Vor allem mangelt dem Kommissionsvorschlag die fundamentale Auseinandersetzung damit, dass die gesamte Vorsorge ja einen Preis hat.	Above all, the Commission proposal fails to engage at a fundamental level with the fact that supply as a whole does indeed have a price.
Es kann im Parlament keine Zustimmung finden, der europäischen Ebene, wahrgenommen durch die Kommission, Instrumente an die Hand zu geben, die den Preis des Marktes aussetzen, das Preissignal, das Knappheitssignal im Markt verhindern und die Preise der gesamten Vorsorgesystematik nicht erörtern.	Parliament cannot approve the handing over to the European level - represented by the Commission - of instruments that suspend the market price, prevent markets from signalling prices and shortages and make no reference to the prices obtaining in the system of supply as a whole.
Zweite wesentliche Stoßrichtung müsste es sein, die Verantwortung der Mitgliedstaaten anzusprechen, die ja in dieser Beziehung auch sehr viel getan haben und auch tun können.	The second essential approach should involve addressing the responsibilities of the Member States, which have done, and are able to do, a great deal in this area.
